"EFF_DATE","SITE_NO","SITE_TYPE_CODE","STATE_CODE","ARPT_ID","CITY","COUNTRY_CODE","SKED_SEQ_NO","MONTH","DAY","HOUR","File","Action","Mods"
"2026/04/16","00326.","A","AL","67A","FORT DEPOSIT","US","1","UNATNDD","","","2","Deleted",""
"2026/04/16","00934.","A","AR","0AR2","CRAWFORDSVILLE","US","1","ALL","ALL","DALGT","2","Deleted",""
"2026/04/16","02315.41","A","CA","6CL8","STOCKTON","US","1","UNATNDD","","","2","Deleted",""
"2026/04/16","02366.","A","CA","TRK","TRUCKEE","US","1","ALL","ALL","0700-2000","1","Modified","MONTH"
"2026/05/14","02366.","A","CA","TRK","TRUCKEE","US","1","NOV-FEB","ALL","0700-2000","2","Modified","MONTH"
"2026/04/16","02627.","A","CO","GXY","GREELEY","US","1","ALL","ALL","0600-1900","1","Modified","HOUR"
"2026/05/14","02627.","A","CO","GXY","GREELEY","US","1","ALL","ALL","0600-2000","2","Modified","HOUR"
"2026/04/16","03050.11","A","FL","55FD","BAKER","US","1","UNATNDD","","","2","Deleted",""
"2026/04/16","03153.","A","FL","54J","DEFUNIAK SPRINGS","US","1","ALL","MON-FRI","0800-1700","1","Modified","HOUR"
"2026/05/14","03153.","A","FL","54J","DEFUNIAK SPRINGS","US","1","ALL","MON-FRI","0900-1600","2","Modified","HOUR"
"2026/04/16","03270.11","A","FL","08FA","LA BELLE","US","1","UNATNDD","","","2","Deleted",""
"2026/04/16","04660.","A","IL","FEP","FREEPORT","US","1","ALL","MON-FRI","0800-1700","1","Modified","HOUR"
"2026/05/14","04660.","A","IL","FEP","FREEPORT","US","1","ALL","MON-FRI","0830-1630","2","Modified","HOUR"
"2026/04/16","05597.51","A","IN","II26","REMINGTON","US","1","UNATNDD","","","2","Deleted",""
"2026/04/16","07357.01","H","KY","6KY9","RUSSELL","US","1","ALL","ALL","ALL","2","Deleted",""
"2026/04/16","08011.","C","ME","ME30","GREENVILLE","US","1","APR-NOV","MON-SAT","0730-1700","2","Deleted",""
"2026/04/16","08095.1","C","ME","ME12","LIVERMORE","US","1","UNATNDD","","","2","Deleted",""
"2026/04/16","09654.","A","MI","CVX","CHARLEVOIX","US","2","JUN-AUG","ALL","0800-1900","1","Modified","MONTH HOUR"
"2026/05/14","09654.","A","MI","CVX","CHARLEVOIX","US","2","ALL","ALL","0800-1700","2","Modified","MONTH HOUR"
"2026/04/16","09654.","A","MI","CVX","CHARLEVOIX","US","3","SEP-MAY","ALL","0800-1700","2","Deleted",""
"2026/04/16","09704.","A","MI","12MI","DAVISON","US","1","UNATNDD","","","2","Deleted",""
"2026/04/16","10375.","A","MI","4MI6","THREE OAKS","US","1","IREG","","","2","Deleted",""
"2026/04/16","10534.52","A","MN","94MN","BARNESVILLE","US","1","UNATNDD","","","2","Deleted",""
"2026/04/16","10635.12","C","MN","01MN","COOK","US","1","JUN-OCT","ALL","DAWN-DUSK","2","Deleted",""
"2026/04/16","10779.03","C","MN","21MN","LEONARD","US","1","IREG","","","2","Deleted",""
"2026/04/16","11718.","A","MO","61MU","FAUCETT","US","1","MAY-SEP","ALL","0800-DUSK","2","Deleted",""
"2026/04/16","13042.01","A","NV","25NV","CARSON CITY","US","1","UNATNDD","","","2","Deleted",""
"2026/04/16","13091.","A","NV","MEV","MINDEN","US","2","ALL","ALL","0800-1700","1","Modified","DAY HOUR"
"2026/05/14","13091.","A","NV","MEV","MINDEN","US","2","ALL","MON-FRI","0730-1600","2","Modified","DAY HOUR"
"2026/04/16","13478.1","A","NJ","12N","ANDOVER","US","1","ALL","ALL","0900-1700","1","Modified","DAY"
"2026/05/14","13478.1","A","NJ","12N","ANDOVER","US","1","ALL","TUE - SUN","0900-1700","2","Modified","DAY"
"2026/04/16","16701.","A","NC","76NC","ENFIELD","US","1","UNATNDD","","","2","Deleted",""
"2026/04/16","16770.51","A","NC","62NC","HAVELOCK","US","1","UNATNDD","","","2","Deleted",""
"2026/04/16","16923.21","A","NC","5NC2","MOCKSVILLE","US","2","ALL","SUN","1300-1530","1","Modified","HOUR"
"2026/05/14","16923.21","A","NC","5NC2","MOCKSVILLE","US","2","ALL","SUN","CLOSED","2","Modified","HOUR"
"2026/04/16","17082.14","A","NC","NC00","SANFORD","US","1","UNATNDD","","","2","Deleted",""
"2026/04/16","18369.","A","OH","OXD","OXFORD","US","1","ALL","MON-FRI","0800-1600","1","Modified","MONTH DAY HOUR"
"2026/05/14","18369.","A","OH","OXD","OXFORD","US","1","UNATNDD","","","2","Modified","MONTH DAY HOUR"
"2026/04/16","18369.","A","OH","OXD","OXFORD","US","2","ALL","SAT-SUN","ON CALL","2","Deleted",""
"2026/04/16","19377.1","A","OR","81OR","BURNS","US","1","ALL","ALL","0700-1900","2","Deleted",""
"2026/04/16","19554.","A","OR","ONO","ONTARIO","US","1","NOV-MAR","M-F","1600-2200Z","1","Modified","HOUR"
"2026/05/14","19554.","A","OR","ONO","ONTARIO","US","1","NOV-MAR","M-F","0900-1500","2","Modified","HOUR"
"2026/04/16","19554.","A","OR","ONO","ONTARIO","US","3","APR-OCT","ALL","1500-0000Z","1","Modified","HOUR"
"2026/05/14","19554.","A","OR","ONO","ONTARIO","US","3","APR-OCT","ALL","0800-1700","2","Modified","HOUR"
"2026/04/16","20243.1","A","PA","DUJ","DUBOIS","US","4","ALL","SAT","0500-1900","1","Modified","HOUR"
"2026/05/14","20243.1","A","PA","DUJ","DUBOIS","US","4","ALL","SAT","0500-1800","2","Modified","HOUR"
"2026/04/16","20243.1","A","PA","DUJ","DUBOIS","US","5","ALL","SUN","0500-2300","1","Modified","HOUR"
"2026/05/14","20243.1","A","PA","DUJ","DUBOIS","US","5","ALL","SUN","0800-0000","2","Modified","HOUR"
"2026/04/16","21248.15","H","PA","5PS3","PITTSBURGH","US","1","UNATNDD","","","2","Deleted",""
"2026/04/16","22925.01","H","TN","23TN","COPPERHILL","US","1","ALL","ALL","ALL","2","Deleted",""
"2026/04/16","22930.01","A","TN","8TN9","COVINGTON","US","1","UNATNDD","","","2","Deleted",""
"2026/04/16","23057.2","A","TN","TN74","LENOIR CITY","US","1","UNATNDD","","","2","Deleted",""
"2026/04/16","23109.","H","TN","72TN","MORRISTOWN","US","1","UNATNDD","","","2","Deleted",""
"2026/04/16","23118.14","A","TN","TN65","MURFREESBURG","US","1","UNATNDD","","","1","Modified","CITY"
"2026/05/14","23118.14","A","TN","TN65","MURFREESBORO","US","1","UNATNDD","","","2","Modified","CITY"
"2026/04/16","23369.3","H","TX","04TA","AUSTIN","US","1","UNATNDD","","","2","Deleted",""
"2026/04/16","23398.1","A","TX","20TS","BANDERA","US","1","UNATNDD","","","2","Deleted",""
"2026/04/16","23506.","A","TX","CFD","BRYAN","US","2","ALL","SAT-SUN","0900-1700","1","Modified","HOUR"
"2026/05/14","23506.","A","TX","CFD","BRYAN","US","2","ALL","SAT-SUN","0900-1730","2","Modified","HOUR"
"2026/04/16","23752.02","A","TX","1TA5","DENVER CITY","US","1","ALL","MON-FRI","0800-1700","2","Deleted",""
"2026/04/16","23873.7","A","TX","01TE","FORNEY","US","1","ALL","MON-SAT","0800-1800","2","Deleted",""
"2026/04/16","23985.03","A","TX","0TX9","GREENVILLE","US","1","ALL","MON-SAT","DAWN-DUSK","1","Modified","MONTH DAY HOUR"
"2026/05/14","23985.03","A","TX","0TX9","GREENVILLE","US","1","UNATNDD","","","2","Modified","MONTH DAY HOUR"
"2026/04/16","24014.8","A","TX","10TE","HARWOOD","US","1","UNATNDD","","","2","Deleted",""
"2026/04/16","24015.7","U","TX","0TS2","HASLET","US","1","UNATNDD","","","2","Deleted",""
"2026/04/16","24060.5","A","TX","06TX","HOCKLEY","US","1","UNATNDD","","","2","Deleted",""
"2026/04/16","24061.5","A","TX","4TA5","HOLLIDAY","US","1","UNATNDD","","","2","Deleted",""
"2026/04/16","24137.7","A","TX","05TS","JUSTIN","US","1","IREG","","","2","Deleted",""
"2026/04/16","24141.","A","TX","28XS","KAUFMAN","US","1","UNATNDD","","","2","Deleted",""
"2026/04/16","24216.1","A","TX","T78","LIBERTY","US","1","ALL","MON-FRI","0800-1800","1","Modified","HOUR"
"2026/05/14","24216.1","A","TX","T78","LIBERTY","US","1","ALL","MON-FRI","0800-1600","2","Modified","HOUR"
"2026/04/16","24217.","A","TX","85TA","LILLIAN","US","1","UNATNDD","","","2","Deleted",""
"2026/04/16","24233.7","A","TX","9XS7","LONE OAK","US","1","UNATNDD","","","2","Deleted",""
"2026/04/16","24249.02","A","TX","2TA1","LUFKIN","US","1","ALL","ALL","DALGT","2","Deleted",""
"2026/04/16","24263.7","A","TX","19TA","MC CLENDON-CHISHOLM","US","1","UNATNDD","","","2","Deleted",""
"2026/04/16","24411.5","A","TX","1TX4","NEW GULF","US","1","UNATNDD","","","2","Deleted",""
"2026/04/16","24729.1","U","TX","1TS3","SAN LEON","US","1","ALL","ALL","0800-1800","2","Deleted",""
"2026/04/16","24881.1","A","TX","2F4","TAHOKA","US","1","IREG","","","1","Modified","MONTH HOUR"
"2026/05/14","24881.1","A","TX","2F4","TAHOKA","US","1","UNATNDD","","ON CALL","2","Modified","MONTH HOUR"
"2026/04/16","24935.2","A","TX","26TX","TRUSCOTT","US","1","UNATNDD","","","2","Deleted",""
"2026/04/16","24947.1","A","TX","16TS","TYLER","US","1","ALL","MON-FRI","0800-1800","2","Deleted",""
"2026/04/16","24950.1","A","TX","2XS6","UTOPIA","US","1","ALL","ALL","DALGT","2","Deleted",""
"2026/04/16","24982.36","A","TX","TA12","WALLER","US","1","UNATNDD","","","2","Deleted",""
"2026/04/16","25022.63","A","TX","36TX","WHITESBORO","US","1","ALL","ALL","ALL","2","Deleted",""
"2026/04/16","26104.05","A","WA","6WA3","BASIN CITY","US","1","ON CALL","","","2","Deleted",""
"2026/04/16","26357.11","H","WA","WN37","PORT ANGELES","US","1","ALL","MON-FRI","1500-0700","2","Deleted",""
"2026/04/16","26357.11","H","WA","WN37","PORT ANGELES","US","2","ALL","SAT-SUN","ALL","2","Deleted",""
"2026/04/16","27732.","A","WY","AFO","AFTON","US","1","ALL","MON-FRI","0800-1700","1","Modified","HOUR"
"2026/05/14","27732.","A","WY","AFO","AFTON","US","1","ALL","MON-FRI","0700-1600","2","Modified","HOUR"
"2026/04/16","27838.5","A","WY","WY41","LOVELL","US","1","UNATNDD","","","2","Deleted",""
"2026/04/16","27847.","A","WY","WY42","MEETEETSE","US","1","ALL","ALL","DALGT","2","Deleted",""
"2026/04/16","27870.1","A","WY","WY36","POWELL","US","1","UNATNDD","","","2","Deleted",""
"2026/04/16","27896.6","A","WY","WY39","THAYNE","US","1","UNATNDD","","","2","Deleted",""
"2026/04/16","52068.","A","HI","HI03","HANAMAULU","US","1","UNATNDD","","","2","Deleted",""
"2026/04/16","52149.","A","HI","HI05","HONOKAA","US","1","UNATNDD","","","2","Deleted",""
"2026/04/16","52499.","A","HI","HI27","PAAUILO","US","1","UNATNDD","","","2","Deleted",""
"2026/04/16","52500.","A","HI","HI28","PAHALA","US","1","UNATNDD","","","2","Deleted",""
"2026/04/16","52560.01","A","HI","HI46","PUHI","US","1","UNATNDD","","","2","Deleted",""
"2026/05/14","02366.","A","CA","TRK","TRUCKEE","US","2","MAR-OCT","ALL","0700-2100","2","Added",""
"2026/05/14","10361.19","H","MI","41MI","STURGIS","US","1","UNATNDD","","","2","Added",""
"2026/05/14","10377.20","H","MI","81MI","THREE RIVERS","US","1","UNATNDD","","","2","Added",""
"2026/05/14","11481.11","H","MS","95MS","WAYNESBORO","US","1","UNATNDD","","","2","Added",""
"2026/05/14","17030.21","A","NC","76NR","RAEFORD","US","1","UNATNDD","","","2","Added",""
"2026/05/14","22183.1","A","SC","SC61","CHERAW","US","1","UNATNDD","","","2","Added",""
"2026/05/14","23985.13","H","TX","53TX","GREENVILLE","US","1","UNATNDD","","","2","Added",""
"2026/05/14","23998.31","A","TX","1XA0","GUSTINE","US","1","UNATNDD","","","2","Added",""
"2026/05/14","24344.91","A","TX","24TT","MERTZON","US","1","UNATNDD","","","2","Added",""
"2026/05/14","24930.02","H","TX","TT15","TRENTON","US","1","UNATNDD","","","2","Added",""
"2026/05/14","27496.49","A","WI","35W","PORT WASHINGTON","US","1","UNATNDD","","","2","Added",""
