"EFF_DATE","SITE_NO","SITE_TYPE_CODE","STATE_CODE","ARPT_ID","CITY","COUNTRY_CODE","REGION_CODE","ADO_CODE","STATE_NAME","COUNTY_NAME","COUNTY_ASSOC_STATE","ARPT_NAME","OWNERSHIP_TYPE_CODE","FACILITY_USE_CODE","LAT_DEG","LAT_MIN","LAT_SEC","LAT_HEMIS","LAT_DECIMAL","LONG_DEG","LONG_MIN","LONG_SEC","LONG_HEMIS","LONG_DECIMAL","SURVEY_METHOD_CODE","ELEV","ELEV_METHOD_CODE","MAG_VARN","MAG_HEMIS","MAG_VARN_YEAR","TPA","CHART_NAME","DIST_CITY_TO_AIRPORT","DIRECTION_CODE","ACREAGE","RESP_ARTCC_ID","COMPUTER_ID","ARTCC_NAME","FSS_ON_ARPT_FLAG","FSS_ID","FSS_NAME","PHONE_NO","TOLL_FREE_NO","ALT_FSS_ID","ALT_FSS_NAME","ALT_TOLL_FREE_NO","NOTAM_ID","NOTAM_FLAG","ACTIVATION_DATE","ARPT_STATUS","FAR_139_TYPE_CODE","FAR_139_CARRIER_SER_CODE","ARFF_CERT_TYPE_DATE","NASP_CODE","ASP_ANLYS_DTRM_CODE","CUST_FLAG","LNDG_RIGHTS_FLAG","JOINT_USE_FLAG","MIL_LNDG_FLAG","INSPECT_METHOD_CODE","INSPECTOR_CODE","LAST_INSPECTION","LAST_INFO_RESPONSE","FUEL_TYPES","AIRFRAME_REPAIR_SER_CODE","PWR_PLANT_REPAIR_SER","BOTTLED_OXY_TYPE","BULK_OXY_TYPE","LGT_SKED","BCN_LGT_SKED","TWR_TYPE_CODE","SEG_CIRCLE_MKR_FLAG","BCN_LENS_COLOR","LNDG_FEE_FLAG","MEDICAL_USE_FLAG","ARPT_PSN_SOURCE","POSITION_SRC_DATE","ARPT_ELEV_SOURCE","ELEVATION_SRC_DATE","CONTR_FUEL_AVBL","TRNS_STRG_BUOY_FLAG","TRNS_STRG_HGR_FLAG","TRNS_STRG_TIE_FLAG","OTHER_SERVICES","WIND_INDCR_FLAG","ICAO_ID","MIN_OP_NETWORK","USER_FEE_FLAG","CTA","File","Action","Mods"
"2026/04/16","00146.","A","AL","AUO","AUBURN","US","ASO","JAN","ALABAMA","LEE","AL","AUBURN UNIVERSITY RGNL","PU","PU","32","36","54.4","N","32.61511111","85","26","2.4","W","-85.434","E","776.8","S","4","W","2015","","ATLANTA","2","E","423","ZTL","ZCT","ATLANTA","N","ANB","ANNISTON","","1-800-WX-BRIEF","","","","AUO","Y","1941/03","O","","","","NGY3","NOT ANALYZED","N","N","N","Y","S","S","2025/03/21","","100LL,A,A+","NONE","NONE","NONE","NONE","SEE RMK","SS-SR","ATCT","Y","WG","N","","3RD PARTY SURVEY","2006/05/22","3RD PARTY SURVEY","2006/05/22","","","N","Y","CHTR,INSTR,RNTL,SALES","Y-L","KAUO","N","","","1","Modified","LAST_INSPECTION"
"2026/05/14","00146.","A","AL","AUO","AUBURN","US","ASO","JAN","ALABAMA","LEE","AL","AUBURN UNIVERSITY RGNL","PU","PU","32","36","54.4","N","32.61511111","85","26","2.4","W","-85.434","E","776.8","S","4","W","2015","","ATLANTA","2","E","423","ZTL","ZCT","ATLANTA","N","ANB","ANNISTON","","1-800-WX-BRIEF","","","","AUO","Y","1941/03","O","","","","NGY3","NOT ANALYZED","N","N","N","Y","S","S","2026/03/09","","100LL,A,A+","NONE","NONE","NONE","NONE","SEE RMK","SS-SR","ATCT","Y","WG","N","","3RD PARTY SURVEY","2006/05/22","3RD PARTY SURVEY","2006/05/22","","","N","Y","CHTR,INSTR,RNTL,SALES","Y-L","KAUO","N","","","2","Modified","LAST_INSPECTION"
"2026/04/16","00228.","H","AL","35AL","CITRONELLE","US","ASO","JAN","ALABAMA","MOBILE","AL","SILCOX MEML","PR","PR","31","5","22.55","N","31.08959722","88","14","42.26","W","-88.24507222","E","339","E","","","","","NEW ORLEANS","2","N","","ZHU","ZCH","HOUSTON","","ANB","ANNISTON","","1-800-WX-BRIEF","","","","","","2012/01","O","","","","","CONDL","","","","","2","N","","2022/01/21","","","","","","SS-SR","","NON-ATCT","","","","Y","FAA-EST IMAGERY","2016/01/04","OWNER","2011/09/02","","","","","","Y","","N","","","1","Modified","LAST_INFO_RESPONSE"
"2026/05/14","00228.","H","AL","35AL","CITRONELLE","US","ASO","JAN","ALABAMA","MOBILE","AL","SILCOX MEML","PR","PR","31","5","22.55","N","31.08959722","88","14","42.26","W","-88.24507222","E","339","E","","","","","NEW ORLEANS","2","N","","ZHU","ZCH","HOUSTON","","ANB","ANNISTON","","1-800-WX-BRIEF","","","","","","2012/01","O","","","","","CONDL","","","","","2","N","","2026/03/20","","","","","","SS-SR","","NON-ATCT","","","","Y","FAA-EST IMAGERY","2016/01/04","OWNER","2011/09/02","","","","","","Y","","N","","","2","Modified","LAST_INFO_RESPONSE"
"2026/04/16","00239.25","A","AL","9AL6","COLUMBIA","US","ASO","JAN","ALABAMA","HOUSTON","AL","FLYING HOG FARM","PR","PR","31","14","9.9852","N","31.236107","85","8","30.1395","W","-85.14170541","E","241","E","","","","","NEW ORLEANS","4","SSW","","ZJX","ZCJ","JACKSONVILLE","","ANB","ANNISTON","","1-800-WX-BRIEF","","","","","","2024/06","O","","","","","CONDL","","","","","","N","","","","","","","","","","NON-ATCT","","","","","OWNER","2024/06/12","OWNER","2024/06/12","","","","","","","","N","","","1","Modified","LAST_INFO_RESPONSE"
"2026/05/14","00239.25","A","AL","9AL6","COLUMBIA","US","ASO","JAN","ALABAMA","HOUSTON","AL","FLYING HOG FARM","PR","PR","31","14","9.9852","N","31.236107","85","8","30.1395","W","-85.14170541","E","241","E","","","","","NEW ORLEANS","4","SSW","","ZJX","ZCJ","JACKSONVILLE","","ANB","ANNISTON","","1-800-WX-BRIEF","","","","","","2024/06","O","","","","","CONDL","","","","","","N","","2026/04/08","","","","","","","","NON-ATCT","","","","","OWNER","2024/06/12","OWNER","2024/06/12","","","","","","","","N","","","2","Modified","LAST_INFO_RESPONSE"
"2026/04/16","00254.","A","AL","DYA","DEMOPOLIS","US","ASO","JAN","ALABAMA","MARENGO","AL","DEMOPOLIS RGNL","PU","PU","32","27","49.8","N","32.46383333","87","57","14.6","W","-87.95405555","E","111.7","S","2","W","2010","","ATLANTA","6","SW","438","ZME","ZCM","MEMPHIS","N","ANB","ANNISTON","","1-800-WX-BRIEF","","","","ANB","Y","1943/10","O","","","","NGY3","NO OBJECTION","N","N","N","Y","S","S","2025/03/27","","100LL,A+","MINOR","MINOR","NONE","NONE","SEE RMK","SS-SR","NON-ATCT","N","WG","N","","3RD PARTY SURVEY","2003/03/20","NACO","2003/03/20","","","Y","Y","INSTR,RNTL","Y-L","KDYA","N","","","1","Modified","LAST_INSPECTION OTHER_SERVICES"
"2026/05/14","00254.","A","AL","DYA","DEMOPOLIS","US","ASO","JAN","ALABAMA","MARENGO","AL","DEMOPOLIS RGNL","PU","PU","32","27","49.8","N","32.46383333","87","57","14.6","W","-87.95405555","E","111.7","S","2","W","2010","","ATLANTA","6","SW","438","ZME","ZCM","MEMPHIS","N","ANB","ANNISTON","","1-800-WX-BRIEF","","","","ANB","Y","1943/10","O","","","","NGY3","NO OBJECTION","N","N","N","Y","S","S","2026/02/27","","100LL,A+","MINOR","MINOR","NONE","NONE","SEE RMK","SS-SR","NON-ATCT","N","WG","N","","3RD PARTY SURVEY","2003/03/20","NACO","2003/03/20","","","Y","Y","INSTR,RNTL,SURV","Y-L","KDYA","N","","","2","Modified","LAST_INSPECTION OTHER_SERVICES"
"2026/04/16","00326.","A","AL","67A","FORT DEPOSIT","US","ASO","JAN","ALABAMA","LOWNDES","AL","FORT DEPOSIT-LOWNDES COUNTY","PU","PU","31","58","20.535","N","31.97237083","86","35","29.909","W","-86.59164138","E","490","E","0","E","1985","","NEW ORLEANS","1","SW","55","ZTL","ZCT","ATLANTA","N","ANB","ANNISTON","","1-800-WX-BRIEF","","","","ANB","Y","","CI","","","","","NO OBJECTION","","","","","S","S","2018/01/23","","","NONE","NONE","","","SS-SR","SS-SR","NON-ATCT","N","WG","N","","","","","","","","","Y","","N","","N","","","2","Deleted",""
"2026/04/16","00328.","A","AL","2AL5","FORT PAYNE","US","ASO","JAN","ALABAMA","DE KALB","AL","FLYING H RANCH","PR","PR","34","23","34","N","34.39277777","85","39","54","W","-85.665","E","1430","E","1","W","1990","","ATLANTA","5","SE","38","ZTL","ZCT","ATLANTA","N","ANB","ANNISTON","","1-800-WX-BRIEF","","","","","N","2003/06","O","","","","","CONDL","","","","","2","N","","2025/10/06","","","","","","","SS-SR","NON-ATCT","N","WG","","","","","","","","","","","","Y","","N","","","1","Modified","LAST_INFO_RESPONSE"
