"EFF_DATE","SITE_NO","SITE_TYPE_CODE","STATE_CODE","ARPT_ID","CITY","COUNTRY_CODE","LEGACY_ELEMENT_NUMBER","TAB_NAME","REF_COL_NAME","ELEMENT","REF_COL_SEQ_NO","REMARK","File","Action","Mods"
"2026/04/16","00326.","A","AL","67A","FORT DEPOSIT","US","A80","AIRPORT","BCN_LENS_COLOR","","1","ROTG BCN OTS INDEFLY.","2","Deleted",""
"2026/04/16","00326.","A","AL","67A","FORT DEPOSIT","US","A110-1","AIRPORT","GENERAL_REMARK","","1","FOR CD CTC MONTGOMERY APCH AT 334-284-4575. WHEN APCH CLSD FOR CD CTC ATLANTA ARTCC AT 770-210-7692. ","2","Deleted",""
"2026/04/16","00326.","A","AL","67A","FORT DEPOSIT","US","A40-15/33","RUNWAY","RWY_LGT_CODE","15/33","1","MIRL RY 15/33 OTS INDEFLY.","2","Deleted",""
"2026/04/16","00326.","A","AL","67A","FORT DEPOSIT","US","A42-15_COND","RUNWAY_END","RWY_MARKING_COND","15","1","MARKINGS ARE FADED ","2","Deleted",""
"2026/04/16","00326.","A","AL","67A","FORT DEPOSIT","US","A42-33_COND","RUNWAY_END","RWY_MARKING_COND","33","1","MARKINGS ARE FADED ","2","Deleted",""
"2026/04/16","00326.","A","AL","67A","FORT DEPOSIT","US","A33-15/33_COND","RUNWAY_SURFACE_TYPE","COND","15/33","1","WIDESPREAD JOINT CRACKING WITH VEGETATION. BUSH GROWING THROUGH PAVEMENT ON RWY 33 IDENTIFIERS.","2","Deleted",""
"2026/04/16","00521.01","H","NY","0NY2","STONY POINT","US","A14","AIRPORT_CONTACT","NAME","MANAGER","1","ADDITIONAL CONTACT: RAJA R. AMAR 914-309-8899","1","Modified","REMARK"
"2026/05/14","00521.01","H","NY","0NY2","STONY POINT","US","A14","AIRPORT_CONTACT","NAME","MANAGER","1","ADDL CTC: RAJA R. AMAR 914-309-8899.","2","Modified","REMARK"
"2026/04/16","00624.02","A","AZ","28AZ","AGUILA","US","A110-1","AIRPORT","GENERAL_REMARK","","1","CAUTION: PVT ARPT 1 MILE EAST AND PVT ARPT 3 MILES NORTH.","1","Modified","REMARK"
"2026/05/14","00624.02","A","AZ","28AZ","AGUILA","US","A110-1","AIRPORT","GENERAL_REMARK","","1","CTN: ARPT 1 MI E & 3 MI N.","2","Modified","REMARK"
"2026/04/16","00624.02","A","AZ","28AZ","AGUILA","US","A110-2","AIRPORT","GENERAL_REMARK","","2","MINUS 1 FT DITCHES ALONG EAST AND WEST SIDES OF RWY 17/35.","2","Deleted",""
"2026/04/16","00624.02","A","AZ","28AZ","AGUILA","US","A31-17/35","RUNWAY","RWY_LEN","17/35","1","200 FT OVRN ON RWY END 17.","2","Deleted",""
"2026/04/16","00624.02","A","AZ","28AZ","AGUILA","US","A32-17/35","RUNWAY","RWY_WIDTH","17/35","1","125 FT WIDTH AVBL. SIDES PACKED CLAY/DIRT.","1","Modified","REMARK"
"2026/05/14","00624.02","A","AZ","28AZ","AGUILA","US","A32-17/35","RUNWAY","RWY_WIDTH","17/35","1","125 FT WID AVBL; PACKED CLAY/DIRT SIDES.","2","Modified","REMARK"
"2026/04/16","00624.02","A","AZ","28AZ","AGUILA","US","A33-17/35_SURF","RUNWAY_SURFACE_TYPE","SURFACE_TYPE_CODE","17/35","1","GLUED FINE GRVL, 2400 FT FROM RWY 35.","1","Modified","REMARK"
"2026/05/14","00624.02","A","AZ","28AZ","AGUILA","US","A33-17/35_SURF","RUNWAY_SURFACE_TYPE","SURFACE_TYPE_CODE","17/35","1","GLUED FINE GRVL 2400 FT FM RWY 35 END.","2","Modified","REMARK"
"2026/04/16","00642.71","A","AZ","19AZ","CAMP VERDE","US","A110-3","AIRPORT","GENERAL_REMARK","","3","PVT; INVITED GUESTS ONLY; ACFT OPS PPR. ","1","Modified","REMARK"
"2026/05/14","00642.71","A","AZ","19AZ","CAMP VERDE","US","A110-3","AIRPORT","GENERAL_REMARK","","3","PVT; ALL OPS PPR - AMGR.","2","Modified","REMARK"
"2026/04/16","00689.","A","AZ","GXF","GILA BEND","US","A110-18","AIRPORT","GENERAL_REMARK","","18","CTN: UNLGT OBST ON FLD.","1","Modified","REMARK"
"2026/05/14","00689.","A","AZ","GXF","GILA BEND","US","A110-18","AIRPORT","GENERAL_REMARK","","18","CTN: UNLGTD OBST ON AFLD. WHEN AFLD LGTS OFF, OB LGTS ON BAK-12 SHELTERS AND WIND CONE UNIT.","2","Modified","REMARK"
"2026/04/16","00702.07","H","AZ","AZ69","GREEN VALLEY","US","A81-APT","AIRPORT","LGT_SKED","","1","PHONE REQ","1","Modified","REMARK"
"2026/05/14","00702.07","H","AZ","AZ69","GREEN VALLEY","US","A81-APT","AIRPORT","LGT_SKED","","1","ACTVT - AMGR.","2","Modified","REMARK"
"2026/04/16","00702.07","H","AZ","AZ69","GREEN VALLEY","US","A14","AIRPORT_CONTACT","NAME","MANAGER","1","ADMIN ASSIST: GAIL FOSTER 520-393-4782 GFOSTER@GREENVALLEYHOSPITAL.COM","1","Modified","REMARK"
"2026/05/14","00702.07","H","AZ","AZ69","GREEN VALLEY","US","A14","AIRPORT_CONTACT","NAME","MANAGER","1","GAIL FOSTER - 520-393-4782.","2","Modified","REMARK"
"2026/04/16","00732.","A","AZ","0AZ4","MOBILE","US","A110-1","AIRPORT","GENERAL_REMARK","","1","1920 FT MTN E OF ARPT.","1","Modified","REMARK"
"2026/05/14","00732.","A","AZ","0AZ4","MOBILE","US","A110-1","AIRPORT","GENERAL_REMARK","","1","1920 FT MT E.","2","Modified","REMARK"
"2026/04/16","00751.23","H","AZ","67AZ","PHOENIX","US","A18","AIRPORT","FACILITY_USE_CODE","","1","MEDICAL.","2","Deleted",""
"2026/04/16","00777.","A","AZ","48AZ","RIMROCK","US","A110-1","AIRPORT","GENERAL_REMARK","","1","DOWNDRAFTS.","1","Modified","REMARK"
"2026/05/14","00777.","A","AZ","48AZ","RIMROCK","US","A110-1","AIRPORT","GENERAL_REMARK","","1","EXP DOWNDRAFTS.","2","Modified","REMARK"
"2026/04/16","00777.","A","AZ","48AZ","RIMROCK","US","A110-4","AIRPORT","GENERAL_REMARK","","4","RWY 23 DEP RWY HEADING UNTIL 4500 FT BEFORE LEFT TURN.","2","Deleted",""
"2026/04/16","00777.","A","AZ","48AZ","RIMROCK","US","A110-5","AIRPORT","GENERAL_REMARK","","5","HEAVY TWINS PROHIBITED.","1","Modified","REMARK"
"2026/05/14","00777.","A","AZ","48AZ","RIMROCK","US","A110-5","AIRPORT","GENERAL_REMARK","","5","HVY TWINS NA.","2","Modified","REMARK"
"2026/04/16","00777.","A","AZ","48AZ","RIMROCK","US","A110-6","AIRPORT","GENERAL_REMARK","","6","EDGES OF RWY ARE USED AS ROADS FOR VEHICULAR TRAFFIC. BACK TAXI ON RWY ONLY.","1","Modified","REMARK"
"2026/05/14","00777.","A","AZ","48AZ","RIMROCK","US","A110-6","AIRPORT","GENERAL_REMARK","","6","CTN: VEHICLES USE RWY EDGES. BACK TAX RWY ONLY.","2","Modified","REMARK"
