"EFF_DATE","SITE_NO","SITE_TYPE_CODE","STATE_CODE","ARPT_ID","CITY","COUNTRY_CODE","RWY_ID","RWY_LEN","RWY_WIDTH","SURFACE_TYPE_CODE","COND","TREATMENT_CODE","PCN","PAVEMENT_TYPE_CODE","SUBGRADE_STRENGTH_CODE","TIRE_PRES_CODE","DTRM_METHOD_CODE","RWY_LGT_CODE","RWY_LEN_SOURCE","LENGTH_SOURCE_DATE","GROSS_WT_SW","GROSS_WT_DW","GROSS_WT_DTW","GROSS_WT_DDTW","File","Action","Mods"
"2026/04/16","00326.","A","AL","67A","FORT DEPOSIT","US","15/33","3593","78","ASPH","POOR","NONE","","","","","","MED","","","15","","","","2","Deleted",""
"2026/04/16","00788.3","A","AZ","SEZ","SEDONA","US","03/21","5132","100","ASPH","GOOD","NONE","","","","","","MED","3RD PARTY SURVEY","2011/02/16","15","30","","","1","Modified","GROSS_WT_SW GROSS_WT_DW"
"2026/05/14","00788.3","A","AZ","SEZ","SEDONA","US","03/21","5132","100","ASPH","GOOD","NONE","","","","","","MED","3RD PARTY SURVEY","2011/02/16","30","75","","","2","Modified","GROSS_WT_SW GROSS_WT_DW"
"2026/04/16","00904.1","A","AR","4M2","BOONEVILLE","US","09/27","3254","50","ASPH","FAIR","NONE","","","","","","MED","3RD PARTY SURVEY","2009/08/25","","","","","1","Modified","COND"
"2026/05/14","00904.1","A","AR","4M2","BOONEVILLE","US","09/27","3254","50","ASPH","GOOD","NONE","","","","","","MED","3RD PARTY SURVEY","2009/08/25","","","","","2","Modified","COND"
"2026/04/16","00934.","A","AR","0AR2","CRAWFORDSVILLE","US","18/36","2800","60","TURF-GRVL","","NONE","","","","","","","","","","","","","2","Deleted",""
"2026/04/16","01578.9","A","CA","A28","FORT BIDWELL","US","16/34","3660","50","GRVL-DIRT","GOOD","NONE","","","","","","","","","","","","","1","Modified","COND"
"2026/05/14","01578.9","A","CA","A28","FORT BIDWELL","US","16/34","3660","50","GRVL-DIRT","FAIR","NONE","","","","","","","","","","","","","2","Modified","COND"
"2026/04/16","02089.","A","CA","RDD","REDDING","US","12/30","5067","150","ASPH","POOR","NONE","","","","","","MED","3RD PARTY SURVEY","2022/08/27","60","72","110","","2","Deleted",""
"2026/04/16","02089.","A","CA","RDD","REDDING","US","16/34","7003","150","ASPH","POOR","GRVD","","","","","","HIGH","3RD PARTY SURVEY","2022/08/27","98","128","195","","2","Deleted",""
"2026/04/16","02110.9","A","CA","O88","RIO VISTA","US","07/25","4199","75","ASPH","GOOD","NONE","","","","","","MED","3RD PARTY SURVEY","2012/05/16","30","","","","1","Modified","LENGTH_SOURCE_DATE"
"2026/05/14","02110.9","A","CA","O88","RIO VISTA","US","07/25","4199","75","ASPH","GOOD","NONE","","","","","","MED","3RD PARTY SURVEY","2025/04/14","30","","","","2","Modified","LENGTH_SOURCE_DATE"
"2026/04/16","02110.9","A","CA","O88","RIO VISTA","US","15/33","2199","60","ASPH","GOOD","NONE","","","","","","MED","3RD PARTY SURVEY","2012/05/16","12.5","","","","1","Modified","LENGTH_SOURCE_DATE"
"2026/05/14","02110.9","A","CA","O88","RIO VISTA","US","15/33","2199","60","ASPH","GOOD","NONE","","","","","","MED","3RD PARTY SURVEY","2025/04/14","12.5","","","","2","Modified","LENGTH_SOURCE_DATE"
