"EFF_DATE","SITE_NO","SITE_TYPE_CODE","STATE_CODE","ARPT_ID","CITY","COUNTRY_CODE","RWY_ID","RWY_END_ID","TRUE_ALIGNMENT","ILS_TYPE","RIGHT_HAND_TRAFFIC_PAT_FLAG","RWY_MARKING_TYPE_CODE","RWY_MARKING_COND","RWY_END_LAT_DEG","RWY_END_LAT_MIN","RWY_END_LAT_SEC","RWY_END_LAT_HEMIS","LAT_DECIMAL","RWY_END_LONG_DEG","RWY_END_LONG_MIN","RWY_END_LONG_SEC","RWY_END_LONG_HEMIS","LONG_DECIMAL","RWY_END_ELEV","THR_CROSSING_HGT","VISUAL_GLIDE_PATH_ANGLE","DISPLACED_THR_LAT_DEG","DISPLACED_THR_LAT_MIN","DISPLACED_THR_LAT_SEC","DISPLACED_THR_LAT_HEMIS","LAT_DISPLACED_THR_DECIMAL","DISPLACED_THR_LONG_DEG","DISPLACED_THR_LONG_MIN","DISPLACED_THR_LONG_SEC","DISPLACED_THR_LONG_HEMIS","LONG_DISPLACED_THR_DECIMAL","DISPLACED_THR_ELEV","DISPLACED_THR_LEN","TDZ_ELEV","VGSI_CODE","RWY_VISUAL_RANGE_EQUIP_CODE","RWY_VSBY_VALUE_EQUIP_FLAG","APCH_LGT_SYSTEM_CODE","RWY_END_LGTS_FLAG","CNTRLN_LGTS_AVBL_FLAG","TDZ_LGT_AVBL_FLAG","OBSTN_TYPE","OBSTN_MRKD_CODE","FAR_PART_77_CODE","OBSTN_CLNC_SLOPE","OBSTN_HGT","DIST_FROM_THR","CNTRLN_OFFSET","CNTRLN_DIR_CODE","RWY_GRAD","RWY_GRAD_DIRECTION","RWY_END_PSN_SOURCE","RWY_END_PSN_DATE","RWY_END_ELEV_SOURCE","RWY_END_ELEV_DATE","DSPL_THR_PSN_SOURCE","RWY_END_DSPL_THR_PSN_DATE","DSPL_THR_ELEV_SOURCE","RWY_END_DSPL_THR_ELEV_DATE","TDZ_ELEV_SOURCE","RWY_END_TDZ_ELEV_DATE","TKOF_RUN_AVBL","TKOF_DIST_AVBL","ACLT_STOP_DIST_AVBL","LNDG_DIST_AVBL","LAHSO_ALD","RWY_END_INTERSECT_LAHSO","LAHSO_DESC","LAHSO_LAT","LAT_LAHSO_DECIMAL","LAHSO_LONG","LONG_LAHSO_DECIMAL","LAHSO_PSN_SOURCE","RWY_END_LAHSO_PSN_DATE","File","Action","Mods"
"2026/04/16","00146.","A","AL","AUO","AUBURN","US","11/29","11","107","","N","NPI","GOOD","32","37","10.4919","N","32.61958108","85","26","14.4647","W","-85.4373513","774.9","","","","","","","","","","","","","","","774.9","","","","","","","","TREES","","C","8","22","379","193","L","","","3RD PARTY SURVEY","2006/05/22","3RD PARTY SURVEY","2006/05/22","","","","","AVN","2011/04/11","","","","","","","","","","","","","","1","Modified","OBSTN_CLNC_SLOPE DIST_FROM_THR CNTRLN_OFFSET"
"2026/05/14","00146.","A","AL","AUO","AUBURN","US","11/29","11","107","","N","NPI","GOOD","32","37","10.4919","N","32.61958108","85","26","14.4647","W","-85.4373513","774.9","","","","","","","","","","","","","","","774.9","","","","","","","","TREES","","C","7","22","372","192","L","","","3RD PARTY SURVEY","2006/05/22","3RD PARTY SURVEY","2006/05/22","","","","","AVN","2011/04/11","","","","","","","","","","","","","","2","Modified","OBSTN_CLNC_SLOPE DIST_FROM_THR CNTRLN_OFFSET"
"2026/04/16","00146.","A","AL","AUO","AUBURN","US","11/29","29","287","","N","NPI","GOOD","32","36","58.7148","N","32.61630966","85","25","29.82","W","-85.42495","766.3","22","3","32","36","59.5906","N","32.61655294","85","25","33.138","W","-85.42587166","764.4","297","770.4","P4L","","","","","","","TREE","","C","13","62","1014","373","R","","","3RD PARTY SURVEY","2006/05/22","3RD PARTY SURVEY","2006/05/22","3RD PARTY SURVEY","2006/05/22","3RD PARTY SURVEY","2006/05/22","AVN","2011/04/11","","","","","","","","","","","","","","1","Modified","OBSTN_CLNC_SLOPE OBSTN_HGT DIST_FROM_THR CNTRLN_OFFSET"
"2026/05/14","00146.","A","AL","AUO","AUBURN","US","11/29","29","287","","N","NPI","GOOD","32","36","58.7148","N","32.61630966","85","25","29.82","W","-85.42495","766.3","22","3","32","36","59.5906","N","32.61655294","85","25","33.138","W","-85.42587166","764.4","297","770.4","P4L","","","","","","","TREE","","C","11","63","954","379","R","","","3RD PARTY SURVEY","2006/05/22","3RD PARTY SURVEY","2006/05/22","3RD PARTY SURVEY","2006/05/22","3RD PARTY SURVEY","2006/05/22","AVN","2011/04/11","","","","","","","","","","","","","","2","Modified","OBSTN_CLNC_SLOPE OBSTN_HGT DIST_FROM_THR CNTRLN_OFFSET"
"2026/04/16","00146.","A","AL","AUO","AUBURN","US","18/36","18","181","","N","PIR","GOOD","32","37","12.7247","N","32.6202013","85","26","9.7285","W","-85.43603569","776.8","","","","","","","","","","","","","","","776.8","","","","","","","N","TREE","","C","24","41","1213","415","R","","","3RD PARTY SURVEY","2006/05/22","3RD PARTY SURVEY","2006/05/22","","","","","AVN","2011/04/11","","","","","","","","","","","","","","1","Modified","OBSTN_CLNC_SLOPE OBSTN_HGT DIST_FROM_THR CNTRLN_OFFSET"
"2026/05/14","00146.","A","AL","AUO","AUBURN","US","18/36","18","181","","N","PIR","GOOD","32","37","12.7247","N","32.6202013","85","26","9.7285","W","-85.43603569","776.8","","","","","","","","","","","","","","","776.8","","","","","","","N","TREE","","C","23","43","1204","367","R","","","3RD PARTY SURVEY","2006/05/22","3RD PARTY SURVEY","2006/05/22","","","","","AVN","2011/04/11","","","","","","","","","","","","","","2","Modified","OBSTN_CLNC_SLOPE OBSTN_HGT DIST_FROM_THR CNTRLN_OFFSET"
"2026/04/16","00146.","A","AL","AUO","AUBURN","US","18/36","36","1","ILS/DME","N","PIR","GOOD","32","36","20.6524","N","32.60573677","85","26","10.8443","W","-85.43634563","731.1","44","3","","","","","","","","","","","","","759.1","P4L","","","MALSF","","","N","TREE","","PIR","36","9","524","335","R","","","3RD PARTY SURVEY","2006/05/22","3RD PARTY SURVEY","2006/05/22","","","","","AVN","2011/04/11","","","","","","","","","","","","","","1","Modified","OBSTN_CLNC_SLOPE OBSTN_HGT DIST_FROM_THR CNTRLN_OFFSET"
"2026/05/14","00146.","A","AL","AUO","AUBURN","US","18/36","36","1","ILS/DME","N","PIR","GOOD","32","36","20.6524","N","32.60573677","85","26","10.8443","W","-85.43634563","731.1","44","3","","","","","","","","","","","","","759.1","P4L","","","MALSF","","","N","TREE","","PIR","1","8","212","300","R","","","3RD PARTY SURVEY","2006/05/22","3RD PARTY SURVEY","2006/05/22","","","","","AVN","2011/04/11","","","","","","","","","","","","","","2","Modified","OBSTN_CLNC_SLOPE OBSTN_HGT DIST_FROM_THR CNTRLN_OFFSET"
"2026/04/16","00254.","A","AL","DYA","DEMOPOLIS","US","04/22","04","43","","N","NPI","FAIR","32","27","31.5994","N","32.45877761","87","57","34.4163","W","-87.95956008","111.7","43","3.25","","","","","","","","","","","","","111.7","P2R","","","","","","","TREE","","C","13","11","345","274","L","","","NACO","2003/03/20","3RD PARTY SURVEY","2010/01/10","","","","","3RD PARTY SURVEY","2010/01/10","","","","","","","","","","","","","","1","Modified","RWY_MARKING_COND OBSTN_CLNC_SLOPE OBSTN_HGT DIST_FROM_THR CNTRLN_OFFSET"
"2026/05/14","00254.","A","AL","DYA","DEMOPOLIS","US","04/22","04","43","","N","NPI","GOOD","32","27","31.5994","N","32.45877761","87","57","34.4163","W","-87.95956008","111.7","43","3.25","","","","","","","","","","","","","111.7","P2R","","","","","","","TREE","","C","14","16","430","221","L","","","NACO","2003/03/20","3RD PARTY SURVEY","2010/01/10","","","","","3RD PARTY SURVEY","2010/01/10","","","","","","","","","","","","","","2","Modified","RWY_MARKING_COND OBSTN_CLNC_SLOPE OBSTN_HGT DIST_FROM_THR CNTRLN_OFFSET"
