"EFF_DATE","SITE_NO","SITE_TYPE_CODE","FACILITY_TYPE","STATE_CODE","FACILITY_ID","CITY","COUNTRY_CODE","LEGACY_ELEMENT_NUMBER","TAB_NAME","REF_COL_NAME","REMARK_NO","REMARK","File","Action","Mods"
"2026/04/16","50703.","A","NON-ATCT","AK","SIT","SITKA","US","2","ARPT_CTL_REMARK","ATC_REMARK","2","COAST GUARD AIR OPERATIONS (SITKA AIR) B.345.0X 8980X C. 5692X C. 2182","1","Modified","REMARK"
"2026/05/14","50703.","A","NON-ATCT","AK","SIT","SITKA","US","2","ARPT_CTL_REMARK","ATC_REMARK","2","COAST GUARD AIR OPERATIONS (SITKA AIR) VHF FM-21A 121.05 OR MAINTENANCE CONTROL 345.0 OTHER CG FREQS AVBL O/R.","2","Modified","REMARK"
"2026/05/14","20622.11","H","NON-ATCT","PA","4PN4","JERSEY SHORE","US","1","ARPT_CTL_REMARK","ATC_REMARK","1","APCH/DEP SVC PRVDD BY NEW YORK ARTCC ON FREQ 124.9/270.25 (WILLIAMSPORT RCAG).","2","Added",""
"2026/05/14","22754.21","A","NON-ATCT","SD","8V3","PARKSTON","US","1","ARPT_CTL_REMARK","ATC_REMARK","1","APCH/DEP SVC PRVDD BY MINNEAPOLIS ARTCC (ZMP) ON FREQS 128.0/257.95 (O'NEILL RCAG).","2","Added",""
"2026/05/14","08750.","A","ATCT","MA","BED","BEDFORD","US","1","ARPT_CTL_REMARK","ATC_REMARK","1","SAID IN USE. OPERATE TRANSPONDERS WITH ALTITUDE REPORTING MODE AND ADS-B (IF EQUIPPED) ENABLED ON ALL AIRPORT SURFACES.","2","Added",""
"2026/05/14","25385.","A","ATCT-TRACON","VT","BTV","BURLINGTON","US","2","ARPT_CTL_REMARK","ATC_REMARK","2","SAID IN USE. OPERATE TRANSPONDERS WITH ALTITUDE REPORTING MODE AND ADS-B (IF EQUIPPED) ENABLED ON ALL AIRPORT SURFACES.","2","Added",""
"2026/05/14","17521.","A","ATCT","OH","CAK","AKRON","US","2","ARPT_CTL_REMARK","ATC_REMARK","2","SAID IN USE. OPERATE TRANSPONDERS WITH ALTITUDE REPORTING MODE AND ADS-B (IF EQUIPPED) ENABLED ON ALL AIRPORT SURFACES.","2","Added",""
"2026/05/14","05282.","A","ATCT-TRACON","IN","FWA","FORT WAYNE","US","1","ARPT_CTL_REMARK","ATC_REMARK","1","SAID IN USE. OPERATE TRANSPONDERS WITH ALTITUDE REPORTING MODE AND ADS-B (IF EQUIPPED) ENABLED ON ALL AIRPORT SURFACES.","2","Added",""
"2026/05/14","03194.","A","ATCT","FL","FXE","FORT LAUDERDALE","US","2","ARPT_CTL_REMARK","ATC_REMARK","2","SAID IN USE. OPERATE TRANSPONDERS WITH ALTITUDE REPORTING MODE AND ADS-B (IF EQUIPPED) ENABLED ON ALL AIRPORT SURFACES.","2","Added",""
"2026/05/14","03475.","A","ATCT","FL","PIE","ST PETERSBURG-CLEARWATER","US","1","ARPT_CTL_REMARK","ATC_REMARK","1","SAID IN USE. OPERATE TRANSPONDERS WITH ALTITUDE REPORTING MODE AND ADS-B (IF EQUIPPED) ENABLED ON ALL AIRPORT SURFACES.","2","Added",""
"2026/05/14","04974.","A","ATCT-TRACON","IL","RFD","CHICAGO/ROCKFORD","US","1","ARPT_CTL_REMARK","ATC_REMARK","1","SAID IN USE. OPERATE TRANSPONDERS WITH ALTITUDE REPORTING MODE AND ADS-B (IF EQUIPPED) ENABLED ON ALL AIRPORT SURFACES.","2","Added",""
"2026/05/14","19279.1","A","ATCT","OK","RVS","TULSA","US","3","ARPT_CTL_REMARK","ATC_REMARK","3","SAID IN USE. OPERATE TRANSPONDERS WITH ALTITUDE REPORTING MODE AND ADS-B (IF EQUIPPED) ENABLED ON ALL AIRPORT SURFACES.","2","Added",""
"2026/05/14","16269.","A","ATCT-TRACON","NY","SYR","SYRACUSE","US","1","ARPT_CTL_REMARK","ATC_REMARK","1","SAID IN USE. OPERATE TRANSPONDERS WITH ALTITUDE REPORTING MODE AND ADS-B (IF EQUIPPED) ENABLED ON ALL AIRPORT SURFACES.","2","Added",""
"2026/05/14","03509.1","A","ATCT-TRACON","FL","TLH","TALLAHASSEE","US","3","ARPT_CTL_REMARK","ATC_REMARK","3","SAID IN USE. OPERATE TRANSPONDERS WITH ALTITUDE REPORTING MODE AND ADS-B (IF EQUIPPED) ENABLED ON ALL AIRPORT SURFACES.","2","Added",""
