"EFF_DATE","ASOS_AWOS_ID","ASOS_AWOS_TYPE","STATE_CODE","CITY","COUNTRY_CODE","COMMISSIONED_DATE","NAVAID_FLAG","LAT_DEG","LAT_MIN","LAT_SEC","LAT_HEMIS","LAT_DECIMAL","LONG_DEG","LONG_MIN","LONG_SEC","LONG_HEMIS","LONG_DECIMAL","ELEV","SURVEY_METHOD_CODE","PHONE_NO","SECOND_PHONE_NO","SITE_NO","SITE_TYPE_CODE","REMARK","File","Action","Mods"
"2026/04/16","01M","AWOS-3PT","MS","BELMONT","US","2014/08/08","N","34","29","37.3316","N","34.49370322","88","12","12.4839","W","-88.20346775","569","S","662-454-9557","","11142.4","A","","1","Modified","PHONE_NO"
"2026/05/14","01M","AWOS-3PT","MS","BELMONT","US","2014/08/08","N","34","29","37.3316","N","34.49370322","88","12","12.4839","W","-88.20346775","569","S","575-530-9788","","11142.4","A","","2","Modified","PHONE_NO"
"2026/04/16","0J4","ASOS","AL","FLORALA","US","","N","31","2","41.15","N","31.04476388","86","18","43","W","-86.31194444","314","S","334-858-4843","","00308.5","A","","1","Modified","PHONE_NO"
"2026/05/14","0J4","ASOS","AL","FLORALA","US","","N","31","2","41.15","N","31.04476388","86","18","43","W","-86.31194444","314","S","251-216-1056","","00308.5","A","","2","Modified","PHONE_NO"
"2026/04/16","ALS","ASOS","CO","ALAMOSA","US","1992/09/01","N","37","26","21.6265","N","37.43934069","105","51","42.3995","W","-105.86177763","7537.6","S","719-589-5669","","02510.","A","","1","Modified","PHONE_NO"
"2026/05/14","ALS","ASOS","CO","ALAMOSA","US","1992/09/01","N","37","26","21.6265","N","37.43934069","105","51","42.3995","W","-105.86177763","7537.6","S","719-223-0010","","02510.","A","","2","Modified","PHONE_NO"
"2026/04/16","ARA","ASOS","LA","NEW IBERIA","US","","N","30","2","15","N","30.0375","91","53","2","W","-91.88388888","","","337-365-0128","","07670.","A","","1","Modified","PHONE_NO"
"2026/05/14","ARA","ASOS","LA","NEW IBERIA","US","","N","30","2","15","N","30.0375","91","53","2","W","-91.88388888","","","337-492-4830","","07670.","A","","2","Modified","PHONE_NO"
"2026/04/16","ART","ASOS","NY","WATERTOWN","US","2001/01/24","N","43","59","30.8","N","43.99188888","76","1","14.4","W","-76.02066666","327.9","S","315-639-4002","","16367.","A","","1","Modified","PHONE_NO"
"2026/05/14","ART","ASOS","NY","WATERTOWN","US","2001/01/24","N","43","59","30.8","N","43.99188888","76","1","14.4","W","-76.02066666","327.9","S","315-918-7016","","16367.","A","","2","Modified","PHONE_NO"
"2026/04/16","BCR","ASOS","FL","BONIFAY","US","2019/12/05","N","30","50","35.34","N","30.84315","85","36","15.51","W","-85.60430833","103","E","850-547-1431","","03063.51","A","","1","Modified","PHONE_NO"
"2026/05/14","BCR","ASOS","FL","BONIFAY","US","2019/12/05","N","30","50","35.34","N","30.84315","85","36","15.51","W","-85.60430833","103","E","850-949-3178","","03063.51","A","","2","Modified","PHONE_NO"
"2026/04/16","BKX","AWOS-3PT","SD","BROOKINGS","US","1991/06/05","N","44","18","17","N","44.30472222","96","49","1","W","-96.81694444","1647.5","","605-692-1809","","22631.","A","","1","Modified","PHONE_NO"
"2026/05/14","BKX","AWOS-3PT","SD","BROOKINGS","US","1991/06/05","N","44","18","17","N","44.30472222","96","49","1","W","-96.81694444","1647.5","","605-979-7892","","22631.","A","","2","Modified","PHONE_NO"
"2026/04/16","CDD","AWOS-3","MN","CRANE LAKE","US","1990/11/28","N","48","15","59.658","N","48.26657166","92","29","0.568","W","-92.48349111","1119","","218-993-2467","","10637.3","C","","2","Deleted",""
"2026/04/16","COD","AWOS-3PT","WY","CODY","US","1990/12/13","N","44","31","12.7","N","44.52019444","109","1","25.7","W","-109.02380555","5102.2","S","307-527-5197","","27765.","A","","1","Modified","PHONE_NO"
"2026/05/14","COD","AWOS-3PT","WY","CODY","US","1990/12/13","N","44","31","12.7","N","44.52019444","109","1","25.7","W","-109.02380555","5102.2","S","307-474-0682","","27765.","A","","2","Modified","PHONE_NO"
"2026/04/16","CVN","AWOS-3PT","NM","CLOVIS","US","1991/11/14","N","34","25","35.7249","N","34.42659025","103","4","39.2881","W","-103.07758002","4215.8","E","575-389-1056","","14578.","A","","1","Modified","PHONE_NO"
"2026/05/14","CVN","AWOS-3PT","NM","CLOVIS","US","1991/11/14","N","34","25","35.7249","N","34.42659025","103","4","39.2881","W","-103.07758002","4215.8","E","575-530-9788","","14578.","A","","2","Modified","PHONE_NO"
"2026/04/16","DIJ","AWOS-3PT","ID","DRIGGS","US","2005/11/14","N","43","44","30.95","N","43.74193055","111","5","52.299","W","-111.09786083","6230.5","","208-354-6661","","04184.","A","(COMM_DECOMM_DATE) AWSS.","1","Modified","PHONE_NO"
"2026/05/14","DIJ","AWOS-3PT","ID","DRIGGS","US","2005/11/14","N","43","44","30.95","N","43.74193055","111","5","52.299","W","-111.09786083","6230.5","","208-423-0089","","04184.","A","(COMM_DECOMM_DATE) AWSS.","2","Modified","PHONE_NO"
"2026/04/16","DTN","ASOS","LA","SHREVEPORT","US","1997/05/20","N","32","32","23.4492","N","32.539847","93","44","46.2724","W","-93.74618677","172.2","S","318-425-7967","","07739.","A","","1","Modified","LAT_SEC LAT_DECIMAL LONG_SEC LONG_DECIMAL ELEV"
"2026/05/14","DTN","ASOS","LA","SHREVEPORT","US","1997/05/20","N","32","32","23.5267","N","32.53986852","93","44","46.1308","W","-93.74614744","172.3","S","318-425-7967","","07739.","A","","2","Modified","LAT_SEC LAT_DECIMAL LONG_SEC LONG_DECIMAL ELEV"
"2026/04/16","DUX","AWOS-3","TX","DUMAS","US","","N","35","51","38.9","N","35.86080555","102","0","34.15","W","-102.00948611","3705","","806-934-3390","","23785.1","A","","2","Deleted",""
