"EFF_DATE","REGULATORY","AWY_DESIGNATION","AWY_LOCATION","AWY_ID","UPDATE_DATE","REMARK","AIRWAY_STRING","File","Action","Mods"
"2026/03/19","Y","J","C","J162","2017/05/22","","DJB GAABE MAINE SPOOL AIR MGW BAABY LIZIO MRB","1","Modified","UPDATE_DATE"
"2026/05/14","Y","J","C","J162","2026/03/26","","DJB GAABE MAINE SPOOL AIR MGW BAABY LIZIO MRB","2","Modified","UPDATE_DATE"
"2026/03/19","Y","J","C","J34","2017/05/22","","HQM OLM RADDY MWH ODESS HLN BIL RECAP DPR RWF HARPI ODI HILRO DLL BAE ADALE VIO HASTE ALPHE CRL WOOST RIEKE DJB GAABE MAINE SPOOL AIR BUCKO SHAAR ESL DRUZZ TRIXY","1","Modified","UPDATE_DATE"
"2026/05/14","Y","J","C","J34","2026/03/25","","HQM OLM RADDY MWH ODESS HLN BIL RECAP DPR RWF HARPI ODI HILRO DLL BAE ADALE VIO HASTE ALPHE CRL WOOST RIEKE DJB GAABE MAINE SPOOL AIR BUCKO SHAAR ESL DRUZZ TRIXY","2","Modified","UPDATE_DATE"
"2026/03/19","Y","J","C","J517","2020/03/25","","BOI GEG EDGES BZXIV","2","Deleted",""
"2026/03/19","Y","J","C","J60","2025/04/21","","LAX PDZ CIVET RESOR HEC BLD BCE HVE DBL DVV HCT DRABS LNK CNOTA IOW VORIN JOT DJB CANCR HAGUD TYSUN MIDST PSB DOOTH FORTT DANNR GYNTS NEWEL CANDR SAX","1","Modified","UPDATE_DATE"
"2026/05/14","Y","J","C","J60","2026/03/23","","LAX PDZ CIVET RESOR HEC BLD BCE HVE DBL DVV HCT DRABS LNK CNOTA IOW VORIN JOT DJB CANCR HAGUD TYSUN MIDST PSB DOOTH FORTT DANNR GYNTS NEWEL CANDR SAX","2","Modified","UPDATE_DATE"
"2026/03/19","Y","J","C","J74","2017/05/23","","LAX PDZ YCDIL PKE NICKT NABOB PAYSO CHEAR SJN DRYHT MAXXO CNX TXO IRW","1","Modified","UPDATE_DATE"
"2026/05/14","Y","J","C","J74","2026/03/27","","LAX PDZ YCDIL PKE NICKT NABOB PAYSO CHEAR SJN DRYHT MAXXO CNX TXO IRW","2","Modified","UPDATE_DATE"
"2026/03/19","Y","RN","C","Q121","2019/10/04","","PARZZ PIH SWTHN","1","Modified","UPDATE_DATE AIRWAY_STRING"
