"EFF_DATE","REGULATORY","AWY_LOCATION","AWY_ID","POINT_SEQ","FROM_POINT","FROM_PT_TYPE","NAV_NAME","NAV_CITY","ARTCC","ICAO_REGION_CODE","STATE_CODE","COUNTRY_CODE","TO_POINT","MAG_COURSE","OPP_MAG_COURSE","MAG_COURSE_DIST","CHGOVR_PT","CHGOVR_PT_NAME","CHGOVR_PT_DIST","AWY_SEG_GAP_FLAG","SIGNAL_GAP_FLAG","DOGLEG","NEXT_MEA_PT","MIN_ENROUTE_ALT","MIN_ENROUTE_ALT_DIR","MIN_ENROUTE_ALT_OPPOSITE","MIN_ENROUTE_ALT_OPPOSITE_DIR","GPS_MIN_ENROUTE_ALT","GPS_MIN_ENROUTE_ALT_DIR","GPS_MIN_ENROUTE_ALT_OPPOSITE","GPS_MEA_OPPOSITE_DIR","DD_IRU_MEA","DD_IRU_MEA_DIR","DD_I_MEA_OPPOSITE","DD_I_MEA_OPPOSITE_DIR","MIN_OBSTN_CLNC_ALT","MIN_CROSS_ALT","MIN_CROSS_ALT_DIR","MIN_CROSS_ALT_NAV_PT","MIN_CROSS_ALT_OPPOSITE","MIN_CROSS_ALT_OPPOSITE_DIR","MIN_RECEP_ALT","MAX_AUTH_ALT","MEA_GAP","REQD_NAV_PERFORMANCE","REMARK","File","Action","Mods"
"2026/03/19","N","C","A216","10","MONPI","WP   ","","","ZAK","P","OP","US","OATSS","163.32","342.18","269.2","","","","N","N","N","OATSS","18000","","","","","","","","","","","","","","","","","","","60000","","","","1","Modified","MAG_COURSE OPP_MAG_COURSE"
"2026/05/14","N","C","A216","10","MONPI","WP   ","","","ZAK","P","OP","US","OATSS","163.39","342.23","269.2","","","","N","N","N","OATSS","18000","","","","","","","","","","","","","","","","","","","60000","","","","2","Modified","MAG_COURSE OPP_MAG_COURSE"
"2026/03/19","N","C","A216","20","OATSS","WP   ","","","ZAK","P","OP","US","RIDLL","161.74","341.54","43.21","","","","N","N","N","RIDLL","18000","","","","","","","","","","","","","","","","","","","60000","","","","1","Modified","MAG_COURSE OPP_MAG_COURSE"
"2026/05/14","N","C","A216","20","OATSS","WP   ","","","ZAK","P","OP","US","RIDLL","161.79","341.59","43.21","","","","N","N","N","RIDLL","18000","","","","","","","","","","","","","","","","","","","60000","","","","2","Modified","MAG_COURSE OPP_MAG_COURSE"
"2026/03/19","N","C","A216","30","RIDLL","WP   ","","","ZAK","P","OP","US","LOEBB","177.15","356.07","229.1","","","","N","N","N","LOEBB","18000","","","","","","","","","","","","","","","","","","","60000","","","","1","Modified","MAG_COURSE OPP_MAG_COURSE"
"2026/05/14","N","C","A216","30","RIDLL","WP   ","","","ZAK","P","OP","US","LOEBB","177.2","356.13","229.1","","","","N","N","N","LOEBB","18000","","","","","","","","","","","","","","","","","","","60000","","","","2","Modified","MAG_COURSE OPP_MAG_COURSE"
"2026/03/19","N","C","A216","40","LOEBB","WP   ","","","ZAK","P","OP","US","HOOVR","176.07","355.46","139.29","","","","N","N","N","HOOVR","18000","","","","","","","","","","","","","","","","","","","60000","","","","1","Modified","MAG_COURSE OPP_MAG_COURSE"
"2026/05/14","N","C","A216","40","LOEBB","WP   ","","","ZAK","P","OP","US","HOOVR","176.13","355.51","139.29","","","","N","N","N","HOOVR","18000","","","","","","","","","","","","","","","","","","","60000","","","","2","Modified","MAG_COURSE OPP_MAG_COURSE"
"2026/03/19","N","C","A216","50","HOOVR","WP   ","","","ZAK","P","OP","US","GALEE","170.12","348.86","297.19","","","","N","N","N","GALEE","18000","","","","","","","","","","","","","","","","","","","60000","","","","1","Modified","MAG_COURSE OPP_MAG_COURSE"
"2026/05/14","N","C","A216","50","HOOVR","WP   ","","","ZAK","P","OP","US","GALEE","170.17","348.93","297.19","","","","N","N","N","GALEE","18000","","","","","","","","","","","","","","","","","","","60000","","","","2","Modified","MAG_COURSE OPP_MAG_COURSE"
"2026/03/19","N","C","A216","60","GALEE","WP   ","","","ZAK","P","OP","US","FACED","173.43","352.35","299.42","","","","N","N","N","FACED","18000","","","","","","","","","","","","","","","","","","","60000","","","","1","Modified","MAG_COURSE OPP_MAG_COURSE"
"2026/05/14","N","C","A216","60","GALEE","WP   ","","","ZAK","P","OP","US","FACED","173.5","352.4","299.42","","","","N","N","N","FACED","18000","","","","","","","","","","","","","","","","","","","60000","","","","2","Modified","MAG_COURSE OPP_MAG_COURSE"
"2026/03/19","N","C","A220","10","MAEVA","WP   ","","","ZOA","P","OP","US","CRONN","14.01","194.27","341.03","","","","N","N","N","CRONN","5500","","","","","","","","","","","","","","","","","","","","","","","1","Modified","MAG_COURSE OPP_MAG_COURSE"
"2026/05/14","N","C","A220","10","MAEVA","WP   ","","","ZOA","P","OP","US","CRONN","14.03","194.29","341.03","","","","N","N","N","CRONN","5500","","","","","","","","","","","","","","","","","","","","","","","2","Modified","MAG_COURSE OPP_MAG_COURSE"
