"RCode","Orig","Dest","DepFix","Route String","DCNTR","ACNTR","TCNTRs","CoordReq","Play","NavEqp","Length","File","Action","Mods"
"ABECLTGV","KABE","KCLT","LRP","KABE LRP EMI GVE AIROW CHSLY6 KCLT","ZNY","ZTL","ZDC ZNY ZTL","N","","1","426","1","Modified","Route String Length"
"ABECLTGV","KABE","KCLT","LRP","KABE LRP EMI GVE AIROW CHSLY7 KCLT","ZNY","ZTL","ZDC ZNY ZTL","N","","1","421","2","Modified","Route String Length"
"ABECLTHV","KABE","KCLT","ETX","KABE ETX RAV J64 BURNI TYROO QUARM AIR HVQ LNDIZ PARQR4 KCLT","ZNY","ZTL","ZID ZNY ZOB ZTL","N","","1","573","1","Modified","Route String Length"
"ABECLTHV","KABE","KCLT","ETX","KABE ETX RAV J64 BURNI TYROO QUARM AIR HVQ LNDIZ PARQR5 KCLT","ZNY","ZTL","ZID ZNY ZOB ZTL","N","","1","565","2","Modified","Route String Length"
"ABQBWICE","KABQ","KBWI","CNX","KABQ CNX J15 CME FST J86 IAH J2 CEW ALLMA TEEEM Q99 OGRAE GOOOB THHMP RAVNN8 KBWI","ZAB","ZDC","ZAB ZDC ZFW ZHU ZJX","Y","CEW","1","1950","1","Modified","Route String Length"
"ABQBWICE","KABQ","KBWI","CNX","KABQ CNX J15 CME FST J86 IAH J2 CEW ALLMA TEEEM Q99 OGRAE GOOOB THHMP RAVNN9 KBWI","ZAB","ZDC","ZAB ZDC ZFW ZHU ZJX","Y","CEW","1","1925","2","Modified","Route String Length"
"ABQBWIFR","KABQ","KBWI","FTI","KABQ FTI J18 SLN J24 STL ENL IIU ZIEBR SITTR CJAAE RAVNN8 KBWI","ZAB","ZDC","ZAB ZDC ZID ZKC","Y","MCI","1","1545","1","Modified","Route String Length"
"ABQBWIFR","KABQ","KBWI","FTI","KABQ FTI J18 SLN J24 STL ENL IIU ZIEBR SITTR CJAAE RAVNN9 KBWI","ZAB","ZDC","ZAB ZDC ZID ZKC","Y","MCI","1","1505","2","Modified","Route String Length"
"ABQBWILL","KABQ","KBWI","FTI","KABQ FTI EZEEE MMB PER SGF J98 FAM J78 IIU ZIEBR SITTR CJAAE RAVNN8 KBWI","ZAB","ZDC","ZAB ZDC ZID ZKC","Y","IIU","1","1516","1","Modified","Route String Length"
"ABQBWILL","KABQ","KBWI","FTI","KABQ FTI EZEEE MMB PER SGF J98 FAM J78 IIU ZIEBR SITTR CJAAE RAVNN9 KBWI","ZAB","ZDC","ZAB ZDC ZID ZKC","Y","IIU","1","1476","2","Modified","Route String Length"
