"EFF_DATE","DP_NAME","ARTCC","DP_COMPUTER_CODE","BODY_NAME","BODY_SEQ","ARPT_ID","RWY_END_ID","File","Action","Mods"
"2026/03/19","ANAHEIM","ZLA","ANAHM1.SLI","SLI","1","FUL","06","2","Deleted",""
"2026/03/19","ANAHEIM","ZLA","ANAHM1.SLI","SLI","1","FUL","24","2","Deleted",""
"2026/03/19","ANAHEIM","ZLA","ANAHM1.SLI","SLI","1","LGB","08L","2","Deleted",""
"2026/03/19","ANAHEIM","ZLA","ANAHM1.SLI","SLI","1","LGB","08R","2","Deleted",""
"2026/03/19","ANAHEIM","ZLA","ANAHM1.SLI","SLI","1","LGB","12","2","Deleted",""
"2026/03/19","ANAHEIM","ZLA","ANAHM1.SLI","SLI","1","LGB","26L","2","Deleted",""
"2026/03/19","ANAHEIM","ZLA","ANAHM1.SLI","SLI","1","LGB","26R","2","Deleted",""
"2026/03/19","ANAHEIM","ZLA","ANAHM1.SLI","SLI","1","LGB","30","2","Deleted",""
"2026/03/19","ANAHEIM","ZLA","ANAHM1.SLI","SLI","1","SNA","02L","2","Deleted",""
"2026/03/19","ANAHEIM","ZLA","ANAHM1.SLI","SLI","1","SNA","02R","2","Deleted",""
"2026/03/19","ANAHEIM","ZLA","ANAHM1.SLI","SLI","1","SNA","20R","2","Deleted",""
"2026/03/19","BARMY","ZTL","BARMY5.BARMY","MESHY-BARMY","1","AKH","03","2","Deleted",""
"2026/03/19","BARMY","ZTL","BARMY5.BARMY","MESHY-BARMY","1","AKH","21","2","Deleted",""
"2026/03/19","BARMY","ZTL","BARMY5.BARMY","MESHY-BARMY","1","CLT","18C","2","Deleted",""
"2026/03/19","BARMY","ZTL","BARMY5.BARMY","MESHY-BARMY","1","CLT","18L","2","Deleted",""
"2026/03/19","BARMY","ZTL","BARMY5.BARMY","MESHY-BARMY","1","CLT","18R","2","Deleted",""
"2026/03/19","BARMY","ZTL","BARMY5.BARMY","MESHY-BARMY","1","CLT","36C","2","Deleted",""
"2026/03/19","BARMY","ZTL","BARMY5.BARMY","MESHY-BARMY","1","CLT","36L","2","Deleted",""
"2026/03/19","BARMY","ZTL","BARMY5.BARMY","MESHY-BARMY","1","CLT","36R","2","Deleted",""
"2026/03/19","BARMY","ZTL","BARMY5.BARMY","MESHY-BARMY","1","EQY","ALL","2","Deleted",""
"2026/03/19","BARMY","ZTL","BARMY5.BARMY","MESHY-BARMY","1","IPJ","05","2","Deleted",""
"2026/03/19","BARMY","ZTL","BARMY5.BARMY","MESHY-BARMY","1","IPJ","23","2","Deleted",""
"2026/03/19","BARMY","ZTL","BARMY5.BARMY","MESHY-BARMY","1","JQF","02","2","Deleted",""
"2026/03/19","BARMY","ZTL","BARMY5.BARMY","MESHY-BARMY","1","JQF","20","2","Deleted",""
"2026/03/19","BARMY","ZTL","BARMY5.BARMY","MESHY-BARMY","1","LKR","ALL","2","Deleted",""
"2026/03/19","BARMY","ZTL","BARMY5.BARMY","MESHY-BARMY","1","RUQ","02","2","Deleted",""
"2026/03/19","BARMY","ZTL","BARMY5.BARMY","MESHY-BARMY","1","RUQ","20","2","Deleted",""
"2026/03/19","BARMY","ZTL","BARMY5.BARMY","MESHY-BARMY","1","UZA","ALL","2","Deleted",""
"2026/03/19","BARMY","ZTL","BARMY5.BARMY","MESHY-BARMY","1","VUJ","04R","2","Deleted",""
"2026/03/19","BARMY","ZTL","BARMY5.BARMY","MESHY-BARMY","1","VUJ","22L","2","Deleted",""
"2026/03/19","BEAVY","ZTL","BEAVY6.BEAVY","UGANG-BEAVY","1","AKH","03","2","Deleted",""
"2026/03/19","BEAVY","ZTL","BEAVY6.BEAVY","UGANG-BEAVY","1","AKH","21","2","Deleted",""
"2026/03/19","BEAVY","ZTL","BEAVY6.BEAVY","UGANG-BEAVY","1","CLT","18C","2","Deleted",""
"2026/03/19","BEAVY","ZTL","BEAVY6.BEAVY","UGANG-BEAVY","1","CLT","18L","2","Deleted",""
"2026/03/19","BEAVY","ZTL","BEAVY6.BEAVY","UGANG-BEAVY","1","CLT","18R","2","Deleted",""
"2026/03/19","BEAVY","ZTL","BEAVY6.BEAVY","UGANG-BEAVY","1","CLT","36C","2","Deleted",""
"2026/03/19","BEAVY","ZTL","BEAVY6.BEAVY","UGANG-BEAVY","1","CLT","36L","2","Deleted",""
"2026/03/19","BEAVY","ZTL","BEAVY6.BEAVY","UGANG-BEAVY","1","CLT","36R","2","Deleted",""
"2026/03/19","BEAVY","ZTL","BEAVY6.BEAVY","UGANG-BEAVY","1","EQY","ALL","2","Deleted",""
"2026/03/19","BEAVY","ZTL","BEAVY6.BEAVY","UGANG-BEAVY","1","IPJ","05","2","Deleted",""
"2026/03/19","BEAVY","ZTL","BEAVY6.BEAVY","UGANG-BEAVY","1","IPJ","23","2","Deleted",""
"2026/03/19","BEAVY","ZTL","BEAVY6.BEAVY","UGANG-BEAVY","1","JQF","02","2","Deleted",""
"2026/03/19","BEAVY","ZTL","BEAVY6.BEAVY","UGANG-BEAVY","1","JQF","20","2","Deleted",""
"2026/03/19","BEAVY","ZTL","BEAVY6.BEAVY","UGANG-BEAVY","1","LKR","ALL","2","Deleted",""
"2026/03/19","BEAVY","ZTL","BEAVY6.BEAVY","UGANG-BEAVY","1","RUQ","02","2","Deleted",""
"2026/03/19","BEAVY","ZTL","BEAVY6.BEAVY","UGANG-BEAVY","1","RUQ","20","2","Deleted",""
"2026/03/19","BEAVY","ZTL","BEAVY6.BEAVY","UGANG-BEAVY","1","UZA","ALL","2","Deleted",""
"2026/03/19","BEAVY","ZTL","BEAVY6.BEAVY","UGANG-BEAVY","1","VUJ","04R","2","Deleted",""
"2026/03/19","BEAVY","ZTL","BEAVY6.BEAVY","UGANG-BEAVY","1","VUJ","22L","2","Deleted",""
"2026/03/19","BOBZY","ZTL","BOBZY5.BOBZY","LACHN-BOBZY","1","AKH","03","2","Deleted",""
"2026/03/19","BOBZY","ZTL","BOBZY5.BOBZY","LACHN-BOBZY","1","AKH","21","2","Deleted",""
"2026/03/19","BOBZY","ZTL","BOBZY5.BOBZY","LACHN-BOBZY","1","CLT","18C","2","Deleted",""
"2026/03/19","BOBZY","ZTL","BOBZY5.BOBZY","LACHN-BOBZY","1","CLT","18L","2","Deleted",""
"2026/03/19","BOBZY","ZTL","BOBZY5.BOBZY","LACHN-BOBZY","1","CLT","18R","2","Deleted",""
"2026/03/19","BOBZY","ZTL","BOBZY5.BOBZY","LACHN-BOBZY","1","CLT","36C","2","Deleted",""
"2026/03/19","BOBZY","ZTL","BOBZY5.BOBZY","LACHN-BOBZY","1","CLT","36L","2","Deleted",""
"2026/03/19","BOBZY","ZTL","BOBZY5.BOBZY","LACHN-BOBZY","1","CLT","36R","2","Deleted",""
"2026/03/19","BOBZY","ZTL","BOBZY5.BOBZY","LACHN-BOBZY","1","EQY","ALL","2","Deleted",""
"2026/03/19","BOBZY","ZTL","BOBZY5.BOBZY","LACHN-BOBZY","1","IPJ","05","2","Deleted",""
"2026/03/19","BOBZY","ZTL","BOBZY5.BOBZY","LACHN-BOBZY","1","IPJ","23","2","Deleted",""
"2026/03/19","BOBZY","ZTL","BOBZY5.BOBZY","LACHN-BOBZY","1","JQF","02","2","Deleted",""
"2026/03/19","BOBZY","ZTL","BOBZY5.BOBZY","LACHN-BOBZY","1","JQF","20","2","Deleted",""
"2026/03/19","BOBZY","ZTL","BOBZY5.BOBZY","LACHN-BOBZY","1","LKR","ALL","2","Deleted",""
"2026/03/19","BOBZY","ZTL","BOBZY5.BOBZY","LACHN-BOBZY","1","RUQ","02","2","Deleted",""
"2026/03/19","BOBZY","ZTL","BOBZY5.BOBZY","LACHN-BOBZY","1","RUQ","20","2","Deleted",""
"2026/03/19","BOBZY","ZTL","BOBZY5.BOBZY","LACHN-BOBZY","1","UZA","ALL","2","Deleted",""
"2026/03/19","BOBZY","ZTL","BOBZY5.BOBZY","LACHN-BOBZY","1","VUJ","04R","2","Deleted",""
"2026/03/19","BOBZY","ZTL","BOBZY5.BOBZY","LACHN-BOBZY","1","VUJ","22L","2","Deleted",""
"2026/03/19","BOTCH","ZFW","BOTCH1.BOTCH","DEMII-BOTCH","1","50F","17","2","Deleted",""
"2026/03/19","BOTCH","ZFW","BOTCH1.BOTCH","DEMII-BOTCH","1","50F","35","2","Deleted",""
"2026/03/19","BOTCH","ZFW","BOTCH1.BOTCH","DEMII-BOTCH","1","ADS","16","2","Deleted",""
"2026/03/19","BOTCH","ZFW","BOTCH1.BOTCH","DEMII-BOTCH","1","ADS","34","2","Deleted",""
"2026/03/19","BOTCH","ZFW","BOTCH1.BOTCH","DEMII-BOTCH","1","AFW","16L","2","Deleted",""
"2026/03/19","BOTCH","ZFW","BOTCH1.BOTCH","DEMII-BOTCH","1","AFW","16R","2","Deleted",""
"2026/03/19","BOTCH","ZFW","BOTCH1.BOTCH","DEMII-BOTCH","1","AFW","34L","2","Deleted",""
"2026/03/19","BOTCH","ZFW","BOTCH1.BOTCH","DEMII-BOTCH","1","AFW","34R","2","Deleted",""
"2026/03/19","BOTCH","ZFW","BOTCH1.BOTCH","DEMII-BOTCH","1","CPT","15","2","Deleted",""
"2026/03/19","BOTCH","ZFW","BOTCH1.BOTCH","DEMII-BOTCH","1","CPT","33","2","Deleted",""
"2026/03/19","BOTCH","ZFW","BOTCH1.BOTCH","DEMII-BOTCH","1","DAL","13L","2","Deleted",""
"2026/03/19","BOTCH","ZFW","BOTCH1.BOTCH","DEMII-BOTCH","1","DAL","13R","2","Deleted",""
"2026/03/19","BOTCH","ZFW","BOTCH1.BOTCH","DEMII-BOTCH","1","DAL","31L","2","Deleted",""
"2026/03/19","BOTCH","ZFW","BOTCH1.BOTCH","DEMII-BOTCH","1","DAL","31R","2","Deleted",""
"2026/03/19","BOTCH","ZFW","BOTCH1.BOTCH","DEMII-BOTCH","1","DFW","13L","2","Deleted",""
"2026/03/19","BOTCH","ZFW","BOTCH1.BOTCH","DEMII-BOTCH","1","DFW","13R","2","Deleted",""
"2026/03/19","BOTCH","ZFW","BOTCH1.BOTCH","DEMII-BOTCH","1","DFW","17C","2","Deleted",""
"2026/03/19","BOTCH","ZFW","BOTCH1.BOTCH","DEMII-BOTCH","1","DFW","17L","2","Deleted",""
"2026/03/19","BOTCH","ZFW","BOTCH1.BOTCH","DEMII-BOTCH","1","DFW","17R","2","Deleted",""
"2026/03/19","BOTCH","ZFW","BOTCH1.BOTCH","DEMII-BOTCH","1","DFW","18L","2","Deleted",""
"2026/03/19","BOTCH","ZFW","BOTCH1.BOTCH","DEMII-BOTCH","1","DFW","18R","2","Deleted",""
"2026/03/19","BOTCH","ZFW","BOTCH1.BOTCH","DEMII-BOTCH","1","DFW","31L","2","Deleted",""
"2026/03/19","BOTCH","ZFW","BOTCH1.BOTCH","DEMII-BOTCH","1","DFW","31R","2","Deleted",""
"2026/03/19","BOTCH","ZFW","BOTCH1.BOTCH","DEMII-BOTCH","1","DFW","35C","2","Deleted",""
