"EFF_DATE","DP_NAME","ARTCC","DP_COMPUTER_CODE","ROUTE_PORTION_TYPE","ROUTE_NAME","BODY_SEQ","TRANSITION_COMPUTER_CODE","POINT_SEQ","POINT","ICAO_REGION_CODE","POINT_TYPE","NEXT_POINT","ARPT_RWY_ASSOC","File","Action","Mods"
"2026/03/19","ANAHEIM","ZLA","ANAHM1.SLI","BODY","SLI","1","","10","SLI","","VORTAC","","FUL/06, FUL/24, LGB/08L, LGB/08R, LGB/12, LGB/26L, LGB/26R, LGB/30, SNA/02L, SNA/02R, SNA/20R","2","Deleted",""
"2026/03/19","ANAHEIM","ZLA","ANAHM1.SLI","TRANSITION","HECTOR TRANSITION","1","ANAHM1.HEC","10","HEC","","VORTAC","APLES","","2","Deleted",""
"2026/03/19","ANAHEIM","ZLA","ANAHM1.SLI","TRANSITION","HECTOR TRANSITION","1","ANAHM1.HEC","20","APLES","K2","RP   ","PDZ","","2","Deleted",""
"2026/03/19","ANAHEIM","ZLA","ANAHM1.SLI","TRANSITION","HECTOR TRANSITION","1","ANAHM1.HEC","30","PDZ","","VORTAC","SLI","","2","Deleted",""
"2026/03/19","ANAHEIM","ZLA","ANAHM1.SLI","TRANSITION","HECTOR TRANSITION","1","ANAHM1.HEC","40","SLI","","VORTAC","","","2","Deleted",""
"2026/03/19","ANAHEIM","ZLA","ANAHM1.SLI","TRANSITION","LAKE HUGHES TRANSITION","1","ANAHM1.LHS","10","LHS","","VORTAC","DARTS","","2","Deleted",""
"2026/03/19","ANAHEIM","ZLA","ANAHM1.SLI","TRANSITION","LAKE HUGHES TRANSITION","1","ANAHM1.LHS","20","DARTS","K2","RP   ","BAYJY","","2","Deleted",""
"2026/03/19","ANAHEIM","ZLA","ANAHM1.SLI","TRANSITION","LAKE HUGHES TRANSITION","1","ANAHM1.LHS","30","BAYJY","K2","RP   ","POXKU","","2","Deleted",""
"2026/03/19","ANAHEIM","ZLA","ANAHM1.SLI","TRANSITION","LAKE HUGHES TRANSITION","1","ANAHM1.LHS","40","POXKU","K2","RP   ","SLI","","2","Deleted",""
"2026/03/19","ANAHEIM","ZLA","ANAHM1.SLI","TRANSITION","LAKE HUGHES TRANSITION","1","ANAHM1.LHS","50","SLI","","VORTAC","","","2","Deleted",""
"2026/03/19","ANAHEIM","ZLA","ANAHM1.SLI","TRANSITION","VENTURA TRANSITION","1","ANAHM1.VTU","10","VTU","","VOR/DME","SADDE","","2","Deleted",""
"2026/03/19","ANAHEIM","ZLA","ANAHM1.SLI","TRANSITION","VENTURA TRANSITION","1","ANAHM1.VTU","20","SADDE","K2","RP   ","LAX","","2","Deleted",""
"2026/03/19","ANAHEIM","ZLA","ANAHM1.SLI","TRANSITION","VENTURA TRANSITION","1","ANAHM1.VTU","30","LAX","","VORTAC","WILMA","","2","Deleted",""
"2026/03/19","ANAHEIM","ZLA","ANAHM1.SLI","TRANSITION","VENTURA TRANSITION","1","ANAHM1.VTU","40","WILMA","K2","RP   ","SLI","","2","Deleted",""
