"EFF_DATE","FIX_ID","ICAO_REGION_CODE","STATE_CODE","COUNTRY_CODE","LAT_DEG","LAT_MIN","LAT_SEC","LAT_HEMIS","LAT_DECIMAL","LONG_DEG","LONG_MIN","LONG_SEC","LONG_HEMIS","LONG_DECIMAL","FIX_ID_OLD","CHARTING_REMARK","FIX_USE_CODE","ARTCC_ID_HIGH","ARTCC_ID_LOW","PITCH_FLAG","CATCH_FLAG","SUA_ATCAA_FLAG","MIN_RECEP_ALT","COMPULSORY","CHARTS","File","Action","Mods"
"2026/04/16","ACIGE","PA","AK","US","60","26","23.3","N","60.43980555","151","46","8.04","W","-151.7689","","RNAV","RP   ","ZAN","ZAN","N","N","N","","","AREA,CONTROLLER,ENROUTE LOW,IAP","1","Modified","CHARTS"
"2026/05/14","ACIGE","PA","AK","US","60","26","23.3","N","60.43980555","151","46","8.04","W","-151.7689","","RNAV","RP   ","ZAN","ZAN","N","N","N","","","AREA,CONTROLLER LOW,ENROUTE LOW,IAP,SPECIAL IAP","2","Modified","CHARTS"
"2026/04/16","ACUNO","K6","VA","US","36","51","22.96","N","36.85637777","76","14","12.27","W","-76.23674166","","","RP   ","ZDC","ZDC","N","N","N","","","CONTROLLER,IAP","1","Modified","CHARTS"
"2026/05/14","ACUNO","K6","VA","US","36","51","22.96","N","36.85637777","76","14","12.27","W","-76.23674166","","","RP   ","ZDC","ZDC","N","N","N","","","IAP","2","Modified","CHARTS"
"2026/04/16","AGAST","K3","MO","US","38","55","3.19","N","38.91755277","92","2","12.98","W","-92.03693888","","","RP   ","ZKC","ZKC","N","N","N","","","IAP","2","Deleted",""
"2026/04/16","AGBAH","K3","SD","US","44","9","52.85","N","44.16468055","103","7","40.96","W","-103.12804444","","","MR   ","ZDV","ZDV","N","N","N","","","MILITARY IAP","1","Modified","LAT_SEC LAT_DECIMAL LONG_SEC LONG_DECIMAL"
"2026/05/14","AGBAH","K3","SD","US","44","9","52.9","N","44.16469444","103","7","40.87","W","-103.12801944","","","MR   ","ZDV","ZDV","N","N","N","","","MILITARY IAP","2","Modified","LAT_SEC LAT_DECIMAL LONG_SEC LONG_DECIMAL"
"2026/04/16","AGUBE","K5","IN","US","40","11","16.1","N","40.18780555","84","48","46.19","W","-84.81283055","","","WP   ","ZID","ZID","N","N","N","","","IAP","1","Modified","LAT_SEC LAT_DECIMAL LONG_SEC LONG_DECIMAL"
"2026/05/14","AGUBE","K5","IN","US","40","11","16.14","N","40.18781666","84","48","46.13","W","-84.81281388","","","WP   ","ZID","ZID","N","N","N","","","IAP","2","Modified","LAT_SEC LAT_DECIMAL LONG_SEC LONG_DECIMAL"
"2026/04/16","AIRER","K6","VA","US","36","39","50.69","N","36.66408055","80","5","44.01","W","-80.09555833","","","WP   ","ZDC","ZDC","N","N","N","","","IAP","1","Modified","LAT_SEC LAT_DECIMAL LONG_SEC LONG_DECIMAL"
"2026/05/14","AIRER","K6","VA","US","36","39","52.6","N","36.66461111","80","5","48.42","W","-80.09678333","","","WP   ","ZDC","ZDC","N","N","N","","","IAP","2","Modified","LAT_SEC LAT_DECIMAL LONG_SEC LONG_DECIMAL"
"2026/04/16","AJAYS","K5","IN","US","40","34","47.98","N","40.57999444","85","17","58.04","W","-85.29945555","","RNAV","RP   ","ZAU","ZID","N","N","N","","","CONTROLLER LOW,ENROUTE LOW,IAP","1","Modified","CHARTING_REMARK FIX_USE_CODE CHARTS"
"2026/05/14","AJAYS","K5","IN","US","40","34","47.98","N","40.57999444","85","17","58.04","W","-85.29945555","","","WP   ","ZAU","ZID","N","N","N","","","IAP","2","Modified","CHARTING_REMARK FIX_USE_CODE CHARTS"
"2026/04/16","AMDEE","K5","MI","US","45","47","47.19","N","45.79644166","84","38","26.24","W","-84.64062222","","","RP   ","ZMP","ZMP","N","N","N","","","IAP","2","Deleted",""
"2026/04/16","AMOSE","K5","OH","US","40","50","41.56","N","40.84487777","81","46","44.67","W","-81.779075","","","RP   ","ZOB","ZOB","N","N","N","","","IAP","2","Deleted",""
"2026/04/16","ANARE","K4","OK","US","36","38","1.21","N","36.63366944","97","11","51.38","W","-97.19760555","","","RP   ","ZKC","ZKC","N","N","N","","","IAP","2","Deleted",""
"2026/04/16","ANDOE","K3","MN","US","46","50","16.23","N","46.83784166","92","3","14.66","W","-92.05407222","TATTY","","RP   ","ZMP","ZMP","N","N","N","","","IAP","1","Modified","LAT_SEC LAT_DECIMAL LONG_SEC LONG_DECIMAL CHARTS"
"2026/05/14","ANDOE","K3","MN","US","46","50","15.87","N","46.83774166","92","3","2.05","W","-92.05056944","TATTY","","RP   ","ZMP","ZMP","N","N","N","","","IAP,MILITARY IAP","2","Modified","LAT_SEC LAT_DECIMAL LONG_SEC LONG_DECIMAL CHARTS"
"2026/04/16","ANDYS","K7","SC","US","34","22","14.7","N","34.37075","81","8","37.81","W","-81.14383611","","RNAV","RP   ","ZJX","ZJX","N","N","N","","","CONTROLLER LOW,ENROUTE LOW,SID","1","Modified","CHARTING_REMARK FIX_USE_CODE"
