"EFF_DATE","FIX_ID","ICAO_REGION_CODE","STATE_CODE","COUNTRY_CODE","CHARTING_TYPE_DESC","File","Action","Mods"
"2026/04/16","ACIGE","PA","AK","US","CONTROLLER","2","Deleted",""
"2026/04/16","ACUNO","K6","VA","US","CONTROLLER","2","Deleted",""
"2026/04/16","AGAST","K3","MO","US","IAP","2","Deleted",""
"2026/04/16","AJAYS","K5","IN","US","CONTROLLER LOW","2","Deleted",""
"2026/04/16","AJAYS","K5","IN","US","ENROUTE LOW","2","Deleted",""
"2026/04/16","AMDEE","K5","MI","US","IAP","2","Deleted",""
"2026/04/16","AMOSE","K5","OH","US","IAP","2","Deleted",""
"2026/04/16","ANARE","K4","OK","US","IAP","2","Deleted",""
"2026/04/16","ANUNE","K7","NC","US","SPECIAL DP","2","Deleted",""
"2026/04/16","ANUNE","K7","NC","US","SPECIAL IAP","2","Deleted",""
"2026/04/16","ARCAD","K5","OH","US","IAP","2","Deleted",""
"2026/04/16","AWJUB","K3","IA","US","IAP","2","Deleted",""
"2026/04/16","AYSHA","K3","IA","US","IAP","2","Deleted",""
"2026/04/16","BAABE","K5","OH","US","IAP","2","Deleted",""
"2026/04/16","BAFEL","K5","OH","US","IAP","2","Deleted",""
"2026/04/16","BAIZA","K5","IN","US","IAP","2","Deleted",""
"2026/04/16","BAKDE","K2","CA","US","SPECIAL DP","2","Deleted",""
"2026/04/16","BAKDE","K2","CA","US","SPECIAL IAP","2","Deleted",""
"2026/04/16","BALEY","K3","MN","US","IAP","2","Deleted",""
"2026/04/16","BAYJY","K2","CA","US","CONTROLLER","2","Deleted",""
"2026/04/16","BEDAY","K5","WI","US","IAP","2","Deleted",""
"2026/04/16","BETAY","K5","MI","US","CONTROLLER LOW","2","Deleted",""
"2026/04/16","BETAY","K5","MI","US","ENROUTE LOW","2","Deleted",""
"2026/04/16","BETAY","K5","MI","US","IAP","2","Deleted",""
"2026/04/16","BLOON","K3","NE","US","IAP","2","Deleted",""
"2026/04/16","BOAGY","K2","UT","US","IAP","2","Deleted",""
"2026/04/16","BOART","K1","WY","US","IAP","2","Deleted",""
"2026/04/16","BOHUW","K5","IN","US","IAP","2","Deleted",""
"2026/04/16","BONVL","K1","OR","US","CONTROLLER","2","Deleted",""
"2026/04/16","BONVL","K1","OR","US","ENROUTE LOW","2","Deleted",""
"2026/04/16","BUCRA","K5","IN","US","IAP","2","Deleted",""
"2026/04/16","BUDPY","K2","NM","US","ENROUTE LOW","2","Deleted",""
"2026/04/16","BUNTS","K6","PA","US","CONTROLLER","2","Deleted",""
"2026/04/16","BURGE","K4","TX","US","IAP","2","Deleted",""
"2026/04/16","BYRNS","K5","IL","US","IAP","2","Deleted",""
"2026/04/16","BZXIV","K1","ID","US","ENROUTE HIGH","2","Deleted",""
"2026/04/16","BZXIV","K1","ID","US","ENROUTE LOW","2","Deleted",""
"2026/04/16","CABIS","K6","PA","US","NOT REQUIRED","2","Deleted",""
"2026/04/16","CADAY","K5","OH","US","IAP","2","Deleted",""
"2026/04/16","CAGYA","K4","LA","US","IAP","2","Deleted",""
"2026/04/16","CAKRO","K4","TX","US","IAP","2","Deleted",""
"2026/04/16","CAMPO","K6","ME","US","IAP","2","Deleted",""
"2026/04/16","CASTA","K2","CA","US","CONTROLLER","2","Deleted",""
"2026/04/16","CASTY","K5","OH","US","IAP","2","Deleted",""
"2026/04/16","CASUP","K4","OK","US","IAP","2","Deleted",""
"2026/04/16","CAVOK","K5","MI","US","IAP","2","Deleted",""
"2026/04/16","CAVOX","K7","NC","US","SPECIAL DP","2","Deleted",""
"2026/04/16","CAVOX","K7","NC","US","SPECIAL IAP","2","Deleted",""
"2026/04/16","CAVRN","K4","TX","US","CONTROLLER","2","Deleted",""
"2026/04/16","CEGUL","K3","MN","US","IAP","2","Deleted",""
"2026/04/16","CEPED","K4","LA","US","IAP","2","Deleted",""
"2026/04/16","CERIN","K6","VA","US","IAP","2","Deleted",""
"2026/04/16","CEXUD","K5","IL","US","IAP","2","Deleted",""
"2026/04/16","CFBCX","K5","OH","US","IAP","2","Deleted",""
"2026/04/16","CFCDM","K5","WI","US","IAP","2","Deleted",""
"2026/04/16","CFDWQ","K6","ME","US","IAP","2","Deleted",""
"2026/04/16","CFDXS","K3","IA","US","IAP","2","Deleted",""
"2026/04/16","CFDZL","K6","ME","US","NOT REQUIRED","2","Deleted",""
"2026/04/16","CFVFZ","K5","IN","US","IAP","2","Deleted",""
"2026/04/16","CHEVY","K4","TX","US","IAP","2","Deleted",""
"2026/04/16","CHEZE","K5","OH","US","IAP","2","Deleted",""
"2026/04/16","CHOWE","K5","OH","US","IAP","2","Deleted",""
"2026/04/16","CIBAY","K3","MN","US","IAP","2","Deleted",""
"2026/04/16","CILSO","K3","MN","US","IAP","2","Deleted",""
"2026/04/16","CINDR","K2","UT","US","IAP","2","Deleted",""
"2026/04/16","CINEN","K4","TX","US","IAP","2","Deleted",""
