"EFF_DATE","FIX_ID","ICAO_REGION_CODE","STATE_CODE","COUNTRY_CODE","NAV_ID","NAV_TYPE","BEARING","DISTANCE","File","Action","Mods"
"2026/04/16","ACUNO","K6","VA","US","ORF","LOC","226.79","3.88","1","Modified","BEARING DISTANCE"
"2026/05/14","ACUNO","K6","VA","US","ORF","LOC","226.78","3.87","2","Modified","BEARING DISTANCE"
"2026/04/16","AGAST","K3","MO","US","COU","VOR/DME","52.97","","2","Deleted",""
"2026/04/16","AGAST","K3","MO","US","HLV","VORTAC","154","12.5","2","Deleted",""
"2026/04/16","AGBAH","K3","SD","US","ELR","LOC","310.06","","1","Modified","BEARING"
"2026/05/14","AGBAH","K3","SD","US","ELR","LOC","310.09","","2","Modified","BEARING"
"2026/04/16","AJAYS","K5","IN","US","MIE","VOR/DME","14.88","21","2","Deleted",""
"2026/04/16","AJAYS","K5","IN","US","MZZ","VOR/DME","76.23","","2","Deleted",""
"2026/04/16","AMDEE","K5","MI","US","PLN","VORTAC","11.66","10","2","Deleted",""
"2026/04/16","AMOSE","K5","OH","US","BSV","VOR/DME","295.67","17","2","Deleted",""
"2026/04/16","ANARE","K4","OK","US","PER","VORTAC","189.98","7","2","Deleted",""
"2026/04/16","ANDOE","K3","MN","US","DLH","VORTAC","","6.49","1","Modified","BEARING DISTANCE"
"2026/05/14","ANDOE","K3","MN","US","DLH","VORTAC","66.15","6.63","2","Modified","BEARING DISTANCE"
"2026/04/16","ANDYS","K7","SC","US","CLT","VOR/DME","196","50.01","2","Deleted",""
"2026/04/16","APDAG","K4","LA","US","BAD","LOC","149.44","","1","Modified","BEARING"
"2026/05/14","APDAG","K4","LA","US","BAD","LOC","149.42","","2","Modified","BEARING"
"2026/04/16","APDAG","K4","LA","US","EMG","VORTAC","","5.4","1","Modified","BEARING"
"2026/05/14","APDAG","K4","LA","US","EMG","VORTAC","323.37","5.4","2","Modified","BEARING"
"2026/04/16","APLES","K2","CA","US","VCV","VOR/DME","88.87","","2","Deleted",""
"2026/04/16","ASUBE","K3","IA","US","SPW","VOR/DME","5","6","2","Deleted",""
"2026/04/16","AWJUB","K3","IA","US","BRL","VOR/DME","253.25","14","2","Deleted",""
"2026/04/16","AYSHA","K3","IA","US","CID","VOR/DME","99.44","14","2","Deleted",""
