"EFF_DATE","FACILITY","FAC_NAME","FACILITY_TYPE","ARTCC_OR_FSS_ID","CPDLC","TOWER_HRS","SERVICED_FACILITY","SERVICED_FAC_NAME","SERVICED_SITE_TYPE","LAT_DECIMAL","LONG_DECIMAL","SERVICED_CITY","SERVICED_STATE","SERVICED_COUNTRY","TOWER_OR_COMM_CALL","PRIMARY_APPROACH_RADIO_CALL","FREQ","SECTORIZATION","FREQ_USE","REMARK","File","Action","Mods"
"2026/04/16","04TA","CAPITOL NTL BANK BUILDING","NON-ATCT","","","","04TA","CAPITOL NTL BANK BUILDING","HELIPORT","30.27104166","-97.7447275","AUSTIN","TX","US","","","123.05","","UNICOM","","2","Deleted",""
"2026/04/16","1G0","WOOD COUNTY","NON-ATCT","","","","1G0","WOOD COUNTY","AIRPORT","41.391","-83.63013888","BOWLING GREEN","OH","US","","","122.975","","CTAF","ACTVT REIL RWY 18, 10, & 28; MIRL RWY 10/28 & 18/36 - CTAF. PAPI RWY 18, 10, & 28 OPR CONSLY.","1","Modified","FAC_NAME SERVICED_FAC_NAME"
"2026/05/14","1G0","WOOD COUNTY RGNL","NON-ATCT","","","","1G0","WOOD COUNTY RGNL","AIRPORT","41.391","-83.63013888","BOWLING GREEN","OH","US","","","122.975","","CTAF","ACTVT REIL RWY 18, 10, & 28; MIRL RWY 10/28 & 18/36 - CTAF. PAPI RWY 18, 10, & 28 OPR CONSLY.","2","Modified","FAC_NAME SERVICED_FAC_NAME"
"2026/04/16","1G0","WOOD COUNTY","NON-ATCT","","","","1G0","WOOD COUNTY","AIRPORT","41.391","-83.63013888","BOWLING GREEN","OH","US","","","122.975","","UNICOM","","1","Modified","FAC_NAME SERVICED_FAC_NAME"
"2026/05/14","1G0","WOOD COUNTY RGNL","NON-ATCT","","","","1G0","WOOD COUNTY RGNL","AIRPORT","41.391","-83.63013888","BOWLING GREEN","OH","US","","","122.975","","UNICOM","","2","Modified","FAC_NAME SERVICED_FAC_NAME"
"2026/04/16","1GA6","GRAND OAK PLANTATION","NON-ATCT","","","","1GA6","GRAND OAK PLANTATION","AIRPORT","31.72525277","-84.31088055","SASSER","GA","US","","","122.9","","CTAF","","1","Modified","FAC_NAME SERVICED_FAC_NAME"
"2026/05/14","1GA6","GRAND OAKS PLANTATION","NON-ATCT","","","","1GA6","GRAND OAKS PLANTATION","AIRPORT","31.72525277","-84.31088055","SASSER","GA","US","","","122.9","","CTAF","","2","Modified","FAC_NAME SERVICED_FAC_NAME"
"2026/04/16","1H2","EFFINGHAM COUNTY RGNL","NON-ATCT","","","","1H2","EFFINGHAM COUNTY RGNL","AIRPORT","39.07044444","-88.53352777","EFFINGHAM","IL","US","","","122.725","","CTAF","DUSK-DAWN.  ACTVT REIL RWY 11 & 29; PSIL RWY 01 & 19; MIRL RWY 01/19, MIRL RWY 11/29 PRESET LOW INTST, TO INCR INTST & ACTVT - CTAF.","1","Modified","LAT_DECIMAL LONG_DECIMAL"
"2026/05/14","1H2","EFFINGHAM COUNTY RGNL","NON-ATCT","","","","1H2","EFFINGHAM COUNTY RGNL","AIRPORT","39.07017611","-88.5325475","EFFINGHAM","IL","US","","","122.725","","CTAF","DUSK-DAWN.  ACTVT REIL RWY 11 & 29; PSIL RWY 01 & 19; MIRL RWY 01/19, MIRL RWY 11/29 PRESET LOW INTST, TO INCR INTST & ACTVT - CTAF.","2","Modified","LAT_DECIMAL LONG_DECIMAL"
"2026/04/16","1H2","EFFINGHAM COUNTY RGNL","NON-ATCT","","","","1H2","EFFINGHAM COUNTY RGNL","AIRPORT","39.07044444","-88.53352777","EFFINGHAM","IL","US","","","122.725","","UNICOM","","1","Modified","LAT_DECIMAL LONG_DECIMAL"
"2026/05/14","1H2","EFFINGHAM COUNTY RGNL","NON-ATCT","","","","1H2","EFFINGHAM COUNTY RGNL","AIRPORT","39.07017611","-88.5325475","EFFINGHAM","IL","US","","","122.725","","UNICOM","","2","Modified","LAT_DECIMAL LONG_DECIMAL"
"2026/04/16","1N7","BLAIRSTOWN","NON-ATCT","","","","1N7","BLAIRSTOWN","AIRPORT","40.97113313","-74.99750405","BLAIRSTOWN","NJ","US","","","123.0","","CTAF","ACTVT MIRL RY 07/25-CTAF.","1","Modified","REMARK"
"2026/05/14","1N7","BLAIRSTOWN","NON-ATCT","","","","1N7","BLAIRSTOWN","AIRPORT","40.97113313","-74.99750405","BLAIRSTOWN","NJ","US","","","123.0","","CTAF","","2","Modified","REMARK"
"2026/04/16","25NV","PARKER CARSON","NON-ATCT","","","","25NV","PARKER CARSON","AIRPORT","39.20157838","-119.68344086","CARSON CITY","NV","US","","","122.9","","CTAF","","2","Deleted",""
"2026/04/16","36NY","MASSENA SUBSTATION","NON-ATCT","","","","36NY","MASSENA SUBSTATION","HELIPORT","44.92148055","-74.83466388","MASSENA","NY","US","","","122.9","","CTAF","","2","Deleted",""
"2026/04/16","37IA"," NEMO FLD","NON-ATCT","","","","37IA"," NEMO FLD","AIRPORT","41.84966547","-90.47735161","DE WITT","IA","US","","","122.9","","CTAF","","1","Modified","FAC_NAME SERVICED_FAC_NAME"
"2026/05/14","37IA","NEMO FLD","NON-ATCT","","","","37IA","NEMO FLD","AIRPORT","41.84966547","-90.47735161","DE WITT","IA","US","","","122.9","","CTAF","","2","Modified","FAC_NAME SERVICED_FAC_NAME"
"2026/04/16","3W9","MIDDLE BASS-EAST POINT","NON-ATCT","","","","3W9","MIDDLE BASS-EAST POINT","AIRPORT","41.69444444","-82.79655555","MIDDLE BASS ISLAND","OH","US","","","122.9","","CTAF","","2","Deleted",""
"2026/04/16","47FL","RANCHAERO GRAND VISTA","NON-ATCT","","","","47FL","RANCHAERO GRAND VISTA","AIRPORT","28.53985833","-82.30471944","BROOKSVILLE","FL","US","","","122.9","","CTAF","","1","Modified","LAT_DECIMAL LONG_DECIMAL"
"2026/05/14","47FL","RANCHAERO GRAND VISTA","NON-ATCT","","","","47FL","RANCHAERO GRAND VISTA","AIRPORT","28.5399098","-82.30444755","BROOKSVILLE","FL","US","","","122.9","","CTAF","","2","Modified","LAT_DECIMAL LONG_DECIMAL"
"2026/04/16","4T2","KENNETH COPELAND","NON-ATCT","","","","4T2","KENNETH COPELAND","AIRPORT","32.97763172","-97.49229366","FORT WORTH","TX","US","","","123.075","","CTAF","ACTVT LIRL RWY 17/35; TWY - CTAF.","1","Modified","REMARK"
"2026/05/14","4T2","KENNETH COPELAND","NON-ATCT","","","","4T2","KENNETH COPELAND","AIRPORT","32.97763172","-97.49229366","FORT WORTH","TX","US","","","123.075","","CTAF","ACTVT LIRL RWY 17/35; TWY LTS - CTAF.","2","Modified","REMARK"
"2026/04/16","50F","BOURLAND FLD","NON-ATCT","","","","50F","BOURLAND FLD","AIRPORT","32.58183333","-97.59077777","FORT WORTH","TX","US","","","123.0","","CTAF","ACTVT MIRL RWY 17/35 - CTAF. VASI RWYS 17 & 35 OPR CONSLY.","1","Modified","REMARK"
"2026/05/14","50F","BOURLAND FLD","NON-ATCT","","","","50F","BOURLAND FLD","AIRPORT","32.58183333","-97.59077777","FORT WORTH","TX","US","","","123.0","","CTAF","ACTVT MIRL RWY 17/35 - CTAF.","2","Modified","REMARK"
"2026/04/16","53W","WOODRUFF LAKE","NON-ATCT","","","","53W","WOODRUFF LAKE","AIRPORT","43.55460277","-84.97896388","WINN","MI","US","","","122.9","","CTAF","ACTVT LIRL RWY 09/27 - CTAF (3 CLICKS OFF).","1","Modified","REMARK"
"2026/05/14","53W","WOODRUFF LAKE","NON-ATCT","","","","53W","WOODRUFF LAKE","AIRPORT","43.55460277","-84.97896388","WINN","MI","US","","","122.9","","CTAF","","2","Modified","REMARK"
"2026/04/16","54T","RWJ AIRPARK","NON-ATCT","","","","54T","RWJ AIRPARK","AIRPORT","29.76189444","-94.84793888","BAYTOWN","TX","US","","","122.7","","CTAF","","1","Modified","LAT_DECIMAL LONG_DECIMAL"
"2026/05/14","54T","RWJ AIRPARK","NON-ATCT","","","","54T","RWJ AIRPARK","AIRPORT","29.76182361","-94.84842638","BAYTOWN","TX","US","","","122.7","","CTAF","","2","Modified","LAT_DECIMAL LONG_DECIMAL"
"2026/04/16","54T","RWJ AIRPARK","NON-ATCT","","","","54T","RWJ AIRPARK","AIRPORT","29.76189444","-94.84793888","BAYTOWN","TX","US","","","122.7","","UNICOM","","1","Modified","LAT_DECIMAL LONG_DECIMAL"
