"EFF_DATE","HP_NAME","HP_NO","STATE_CODE","COUNTRY_CODE","FIX_ID","ICAO_REGION_CODE","NAV_ID","NAV_TYPE","HOLD_DIRECTION","HOLD_DEG_OR_CRS","AZIMUTH","COURSE_INBOUND_DEG","TURN_DIRECTION","LEG_LENGTH_DIST","File","Action","Mods"
"2026/04/16","ABERDEEN VOR/DME*SD","2","SD","US","","","ABR","VOR/DME","SE","125","RAD","305","R","","2","Deleted",""
"2026/04/16","AGAST INT*MO*K3","1","MO","US","AGAST","K3","HLV","VORTAC","NW","154","RAD","154","L","","2","Deleted",""
"2026/04/16","AKRON LOM*OH","2","OH","US","AKRON","K5","AK","NDB","E","69","BRG","249","R","","2","Deleted",""
"2026/04/16","ALBAS INT*CA*K2","1","CA","US","ALBAS","K2","LAX","VORTAC","S","171","RAD","351","L","","1","Modified","NAV_ID"
"2026/05/14","ALBAS INT*CA*K2","1","CA","US","ALBAS","K2","SLI","VORTAC","S","171","RAD","351","L","","2","Modified","NAV_ID"
"2026/04/16","ALBERT LEA VOR/DME*MN","1","MN","US","","","AEL","VOR/DME","S","173","RAD","353","R","","2","Deleted",""
"2026/04/16","ALBERT LEA VOR/DME*MN","2","MN","US","","","AEL","VOR/DME","N","342","RAD","162","R","","2","Deleted",""
"2026/04/16","ALLEGHENY VOR/DME*PA","6","","","","","","","SW","236","RNAV","56","R","4","1","Modified","STATE_CODE COUNTRY_CODE NAV_ID NAV_TYPE"
"2026/05/14","ALLEGHENY VOR/DME*PA","6","PA","US","","","AGC","VOR/DME","SW","236","RNAV","56","R","4","2","Modified","STATE_CODE COUNTRY_CODE NAV_ID NAV_TYPE"
"2026/04/16","AMASON NDB*TX","1","TX","US","","","CZJ","NDB","NW","337","BRG","157","R","","2","Deleted",""
"2026/04/16","AMDEE INT*MI*K5","1","MI","US","AMDEE","K5","PLN","VORTAC","S","192","RAD","12","R","4","2","Deleted",""
"2026/04/16","ATLANTA NDB*TX","1","TX","US","","","ATA","NDB","SW","233","BRG","53","L","","2","Deleted",""
"2026/04/16","BADGER VOR/DME*WI","3","WI","US","","","BAE","VOR/DME","NE","67","RAD","247","R","","1","Modified","HOLD_DIRECTION HOLD_DEG_OR_CRS AZIMUTH COURSE_INBOUND_DEG LEG_LENGTH_DIST"
"2026/05/14","BADGER VOR/DME*WI","3","WI","US","","","BAE","VOR/DME","W","270","RNAV","90","R","4","2","Modified","HOLD_DIRECTION HOLD_DEG_OR_CRS AZIMUTH COURSE_INBOUND_DEG LEG_LENGTH_DIST"
"2026/04/16","BADGER VOR/DME*WI","4","WI","US","","","BAE","VOR/DME","W","270","RNAV","90","R","4","2","Deleted",""
"2026/04/16","BAFEL INT*OH*K5","1","OH","US","BAFEL","K5","AIR","VOR/DME","E","274","RAD","274","R","","2","Deleted",""
"2026/04/16","BALEY INT*MN*K3","1","MN","US","BALEY","K3","RWF","VOR/DME","NW","332","RAD","152","R","","2","Deleted",""
"2026/04/16","BASTROP NDB*LA","1","LA","US","","","BQP","NDB","SE","150","BRG","330","R","","2","Deleted",""
"2026/04/16","BEATRICE VOR*NE","1","NE","US","","","BIE","VOR","S","170","RAD","350","R","","2","Deleted",""
"2026/04/16","BEATRICE VOR*NE","2","NE","US","","","BIE","VOR","N","356","RAD","176","R","","2","Deleted",""
"2026/04/16","BEDAY INT*WI*K5","1","WI","US","BEDAY","K5","IWD","VOR/DME","W","259","RAD","79","R","","2","Deleted",""
