"EFF_DATE","HP_NAME","HP_NO","STATE_CODE","COUNTRY_CODE","CHARTING_TYPE_DESC","File","Action","Mods"
"2026/04/16","ABERDEEN VOR/DME*SD","2","SD","US","IAP","2","Deleted",""
"2026/04/16","AGAST INT*MO*K3","1","MO","US","IAP","2","Deleted",""
"2026/04/16","AKRON LOM*OH","2","OH","US","IAP","2","Deleted",""
"2026/04/16","AKRON VOR/DME*OH","4","OH","US","IAP","2","Deleted",""
"2026/04/16","ALBERT LEA VOR/DME*MN","1","MN","US","IAP","2","Deleted",""
"2026/04/16","ALBERT LEA VOR/DME*MN","2","MN","US","IAP","2","Deleted",""
"2026/04/16","ALLEGHENY VOR/DME*PA","6","","","IAP","1","Modified","STATE_CODE COUNTRY_CODE"
"2026/05/14","ALLEGHENY VOR/DME*PA","6","PA","US","IAP","2","Modified","STATE_CODE COUNTRY_CODE"
"2026/04/16","AMASON NDB*TX","1","TX","US","NOT REQUIRED","2","Deleted",""
"2026/04/16","AMDEE INT*MI*K5","1","MI","US","IAP","2","Deleted",""
"2026/04/16","ARCAD INT*OH*K5","1","OH","US","IAP","2","Deleted",""
"2026/04/16","ATLANTA NDB*TX","1","TX","US","IAP","2","Deleted",""
"2026/04/16","BADGER VOR/DME*WI","4","WI","US","IAP","2","Deleted",""
"2026/04/16","BAFEL INT*OH*K5","1","OH","US","IAP","2","Deleted",""
"2026/04/16","BALEY INT*MN*K3","1","MN","US","IAP","2","Deleted",""
"2026/04/16","BARTLESVILLE VOR/DME*OK","2","OK","US","IAP","2","Deleted",""
"2026/04/16","BASTROP NDB*LA","1","LA","US","IAP","2","Deleted",""
"2026/04/16","BEATRICE VOR*NE","1","NE","US","IAP","2","Deleted",""
"2026/04/16","BEATRICE VOR*NE","2","NE","US","IAP","2","Deleted",""
"2026/04/16","BEDAY INT*WI*K5","1","WI","US","IAP","2","Deleted",""
"2026/04/16","BEKLOF NDB*NE","1","NE","US","IAP","2","Deleted",""
"2026/04/16","BEKLOF NDB*NE","2","NE","US","IAP","2","Deleted",""
"2026/04/16","BLOON INT*NE*K3","1","NE","US","IAP","2","Deleted",""
"2026/04/16","BRIGGS VOR/DME*OH","5","OH","US","IAP","2","Deleted",""
"2026/04/16","BUDKE INT*NC*K7","1","NC","US","IAP","2","Deleted",""
"2026/04/16","BUDKE WP*NC*K7","3","NC","US","IAP","2","Deleted",""
"2026/04/16","BUTLER VORTAC*MO","1","MO","US","IAP","2","Deleted",""
"2026/04/16","CAMPO WP*ME*K6","1","ME","US","IAP","2","Deleted",""
"2026/04/16","CAPE CHARLES VORTAC*VA","1","VA","US","IAP","2","Deleted",""
"2026/04/16","CARLSBAD VORTAC*NM","2","NM","US","IAP","2","Deleted",""
"2026/04/16","CAVERNS NDB*VA","1","VA","US","IAP","2","Deleted",""
"2026/04/16","CEDAR RAPIDS VOR/DME*IA","2","IA","US","IAP","2","Deleted",""
"2026/04/16","CHICAGO HEIGHTS VORTAC*IL","7","IL","US","IAP","2","Deleted",""
