"EFF_DATE","HP_NAME","HP_NO","STATE_CODE","COUNTRY_CODE","SPEED_RANGE","ALTITUDE","File","Action","Mods"
"2026/04/16","ABERDEEN VOR/DME*SD","2","SD","US","200","30/60","2","Deleted",""
"2026/04/16","AGAST INT*MO*K3","1","MO","US","200","26/100","2","Deleted",""
"2026/04/16","AKPUC WP*OH*K5","1","OH","US","200","30/60","2","Deleted",""
"2026/04/16","AKPUC WP*OH*K5","1","OH","US","230","60/80","2","Deleted",""
"2026/04/16","AKRON LOM*OH","2","OH","US","200","30/60","2","Deleted",""
"2026/04/16","AKRON LOM*OH","2","OH","US","310","30/60","2","Deleted",""
"2026/04/16","ALBERT LEA VOR/DME*MN","1","MN","US","200","29/60","2","Deleted",""
"2026/04/16","ALBERT LEA VOR/DME*MN","2","MN","US","200","29/60","2","Deleted",""
"2026/04/16","ALIXX INT*CT*K6","1","CT","US","200","33/80","2","Deleted",""
"2026/04/16","ALLEGHENY VOR/DME*PA","6","","","200","30/60","1","Modified","STATE_CODE COUNTRY_CODE"
"2026/05/14","ALLEGHENY VOR/DME*PA","6","PA","US","200","30/60","2","Modified","STATE_CODE COUNTRY_CODE"
"2026/04/16","ALLEGHENY VOR/DME*PA","6","","","310","30/60","1","Modified","STATE_CODE COUNTRY_CODE"
"2026/05/14","ALLEGHENY VOR/DME*PA","6","PA","US","310","30/60","2","Modified","STATE_CODE COUNTRY_CODE"
"2026/04/16","ALMAA WP*VA*K6","1","VA","US","200","55/80","2","Deleted",""
"2026/04/16","AMASON NDB*TX","1","TX","US","200","30/60","2","Deleted",""
"2026/04/16","AMDEE INT*MI*K5","1","MI","US","200","24/60","2","Deleted",""
"2026/04/16","ATLANTA NDB*TX","1","TX","US","200","20/60","2","Deleted",""
"2026/04/16","BADGER VOR/DME*WI","3","WI","US","200","27/80","2","Deleted",""
"2026/04/16","BADGER VOR/DME*WI","4","WI","US","200","28/60","2","Deleted",""
"2026/04/16","BAFEL INT*OH*K5","1","OH","US","200","30/60","2","Deleted",""
"2026/04/16","BALEY INT*MN*K3","1","MN","US","200","27/60","2","Deleted",""
"2026/04/16","BARGS INT*LA*K4","1","LA","US","310","21/130","2","Deleted",""
"2026/04/16","BASTROP NDB*LA","1","LA","US","200/230","20/140","2","Deleted",""
"2026/04/16","BEATRICE VOR*NE","1","NE","US","200","30/60","2","Deleted",""
"2026/04/16","BEATRICE VOR*NE","2","NE","US","200","33/60","2","Deleted",""
"2026/04/16","BEDAY INT*WI*K5","1","WI","US","200","34/60","2","Deleted",""
"2026/04/16","BEKLOF NDB*NE","1","NE","US","200","32/100","2","Deleted",""
"2026/04/16","BEKLOF NDB*NE","2","NE","US","200","32/100","2","Deleted",""
"2026/04/16","BIROW WP*ME*K6","1","ME","US","200","30/60","2","Deleted",""
"2026/04/16","BLOON INT*NE*K3","1","NE","US","200/230","31/100","2","Deleted",""
"2026/04/16","BRIGGS VOR/DME*OH","3","OH","US","200","28/60","2","Deleted",""
"2026/04/16","BRIGGS VOR/DME*OH","5","OH","US","200","30/60","2","Deleted",""
"2026/04/16","BUDKE INT*NC*K7","1","NC","US","200","40/60","2","Deleted",""
"2026/04/16","BUDKE WP*NC*K7","3","NC","US","200","40/60","2","Deleted",""
