"EFF_DATE","SITE_NO","SITE_TYPE_CODE","STATE_CODE","ARPT_ID","CITY","COUNTRY_CODE","RWY_END_ID","ILS_LOC_ID","SYSTEM_TYPE_CODE","TAB_NAME","ILS_COMP_TYPE_CODE","REF_COL_NAME","REF_COL_SEQ_NO","REMARK","File","Action","Mods"
"2026/04/16","02089.","A","CA","RDD","REDDING","US","34","RDD","LD","ILS","","GENERAL_REMARK","3","ILS UNMONITORED WHEN ATCT CLSD.","2","Deleted",""
"2026/04/16","02089.","A","CA","RDD","REDDING","US","34","RDD","LD","ILS","","GENERAL_REMARK","4","LOC BC UNUSBL WI 2 DME ABV 2000 FT.","2","Deleted",""
"2026/04/16","02089.","A","CA","RDD","REDDING","US","34","RDD","LD","ILS","","GENERAL_REMARK","5","ILS CLASSIFICATION CODE IE.","2","Deleted",""
"2026/04/16","03001.","A","DC","DCA","WASHINGTON","US","19","ASO","DD","ILS","","GENERAL_REMARK","4","DME UNUSBL BYD 14 NM BLW 1600 FT; BYD 25 DEGS R OF CRS.","2","Deleted",""
"2026/04/16","03001.","A","DC","DCA","WASHINGTON","US","19","ASO","DD","ILS","","GENERAL_REMARK","5","LOC UNUSBL BYD 20 DEGS R OF CRS.","2","Deleted",""
"2026/04/16","03650.","A","GA","AGS","AUGUSTA","US","35","AGS","LS","ILS","","GENERAL_REMARK","2","ILS CLASSIFICATION CODE IB.","1","Modified","REMARK"
"2026/05/14","03650.","A","GA","AGS","AUGUSTA","US","35","AGS","LS","ILS","","GENERAL_REMARK","2","ILS CLASSIFICATION CODE IE.","2","Modified","REMARK"
"2026/04/16","14052.","A","NJ","EWR","NEWARK","US","11","GPR","LD","ILS","","GENERAL_REMARK","2","LOC UNUSBL BYD 25 DEG LEFT OF CRS.","1","Modified","REMARK"
"2026/05/14","14052.","A","NJ","EWR","NEWARK","US","11","GPR","LD","ILS","","GENERAL_REMARK","2","LOC UNUSBL BYD 20 DEG LEFT OF CRS.","2","Modified","REMARK"
"2026/04/16","16608.","A","NC","CLT","CHARLOTTE","US","18R","RGS","LD","ILS","","GENERAL_REMARK","1","ILS CLASSIFICATION CODE IIIE.","2","Deleted",""
"2026/04/16","16608.","A","NC","CLT","CHARLOTTE","US","36L","XUU","LD","ILS","","GENERAL_REMARK","1","ILS CLASSIFICATION CODE IIIE.","2","Deleted",""
"2026/04/16","16985.","A","NC","UKF","NORTH WILKESBORO","US","01","UKF","LD","ILS","","GENERAL_REMARK","1","ILS CLASSIFICATION CODE IB","1","Modified","REMARK"
"2026/05/14","16985.","A","NC","UKF","NORTH WILKESBORO","US","01","UKF","LD","ILS","","GENERAL_REMARK","1","ILS CLASSIFICATION CODE IA.","2","Modified","REMARK"
"2026/04/16","22505.","A","SC","UZA","ROCK HILL","US","02","UZA","LD","ILS","","GENERAL_REMARK","1","ILS CLASSIFICATION CODE IA","1","Modified","REMARK"
"2026/05/14","22505.","A","SC","UZA","ROCK HILL","US","02","UZA","LD","ILS","","GENERAL_REMARK","1","ILS CLASSIFICATION CODE IE","2","Modified","REMARK"
"2026/04/16","23635.","A","TX","CLL","COLLEGE STATION","US","35","CLL","LD","ILS","","GENERAL_REMARK","7","LOM UNMONITORED.","2","Deleted",""
"2026/04/16","25600.","A","VA","VJI","ABINGDON","US","24","VJI","LE","ILS","","GENERAL_REMARK","4","LOC UNUSBL WITHIN 2.9 NM DME; BYD 2.9 NM DME ABV 4000 FT; BYD 3.9 NM DME ABV 6500 FT.","1","Modified","REMARK"
"2026/05/14","25600.","A","VA","VJI","ABINGDON","US","24","VJI","LE","ILS","","GENERAL_REMARK","4","LOC UNUSBL WITHIN 2.9 NM; BYD 2.9 NM ABV 4000 FT; BYD 3.9 NM ABV 6500 FT.","2","Modified","REMARK"
"2026/05/14","01327.","A","CA","BIH","BISHOP","US","17","BIH","DD","ILS","","GENERAL_REMARK","2","LOC UNUSBL BYD 25 DEGS LEFT OF CRS.","2","Added",""
"2026/05/14","01886.","A","CA","MCE","MERCED","US","30","MCE","LD","ILS","","GENERAL_REMARK","3","LOC UNUSBL BYD 34 DEGS RIGHT OF CRS.","2","Added",""
"2026/05/14","01886.","A","CA","MCE","MERCED","US","30","MCE","LD","ILS","","GENERAL_REMARK","4","DME UNUSBL BYD 6 DEGS LEFT OF CRS ON LOC BC.","2","Added",""
"2026/05/14","01886.","A","CA","MCE","MERCED","US","30","MCE","LD","ILS","","GENERAL_REMARK","5","DME UNUSBL BYD 3.8 NM ON LOC BC.","2","Added",""
"2026/05/14","02089.","A","CA","RDD","REDDING","US","35","RDD","LD","ILS","","GENERAL_REMARK","3","ILS UNMONITORED WHEN ATCT CLSD.","2","Added",""
"2026/05/14","02089.","A","CA","RDD","REDDING","US","35","RDD","LD","ILS","","GENERAL_REMARK","4","LOC BC UNUSBL WI 2 DME ABV 2000 FT.","2","Added",""
"2026/05/14","02089.","A","CA","RDD","REDDING","US","35","RDD","LD","ILS","","GENERAL_REMARK","5","ILS CLASSIFICATION CODE IE.","2","Added",""
