"EFF_DATE","COUNTRY_CODE","LOC_ID","REGION_CODE","STATE","CITY","LID_GROUP","FAC_TYPE","FAC_NAME","RESP_ARTCC_ID","ARTCC_COMPUTER_ID","FSS_ID","File","Action","Mods"
"2026/04/16","US","01MN","AGL","MN","COOK","LANDING FACILITY","C","BARNES","ZMP","ZCP","PNM","2","Deleted",""
"2026/04/16","US","01TE","ASW","TX","FORNEY","LANDING FACILITY","A","SMITH FLD","ZFW","ZCF","FTW","2","Deleted",""
"2026/04/16","US","04TA","ASW","TX","AUSTIN","LANDING FACILITY","H","CAPITOL NTL BANK BUILDING","ZHU","ZCH","SJT","2","Deleted",""
"2026/04/16","US","05TS","ASW","TX","JUSTIN","LANDING FACILITY","A","DEW DROP","ZFW","ZCF","FTW","2","Deleted",""
"2026/04/16","US","06TX","ASW","TX","HOCKLEY","LANDING FACILITY","A","DIAMOND N RANCH","ZHU","ZCH","CXO","2","Deleted",""
"2026/04/16","US","08FA","ASO","FL","LA BELLE","LANDING FACILITY","A","DUDA AIRSTRIP","ZMA","ZCR","MIA","2","Deleted",""
"2026/04/16","US","08NJ","AEA","NJ","LIVINGSTON","LANDING FACILITY","H","ST BARNABAS MEDICAL CENTER","ZNY","ZCN","MIV","1","Modified","FAC_NAME"
"2026/05/14","US","08NJ","AEA","NJ","LIVINGSTON","LANDING FACILITY","H","COOPERMAN BARNABAS MEDICAL CENTER","ZNY","ZCN","MIV","2","Modified","FAC_NAME"
"2026/04/16","US","0AR2","ASW","AR","CRAWFORDSVILLE","LANDING FACILITY","A","MISSION FLD-MAROTTI MEML","ZME","ZCM","JBR","2","Deleted",""
"2026/04/16","US","0TS2","ASW","TX","HASLET","LANDING FACILITY","U","ULTRALIGHT INTL","ZFW","ZCF","FTW","2","Deleted",""
"2026/04/16","US","10TE","ASW","TX","HARWOOD","LANDING FACILITY","A","GOTTWALD FLD","ZHU","ZCH","SJT","2","Deleted",""
"2026/04/16","US","12MI","AGL","MI","DAVISON","LANDING FACILITY","A","JOHN'S","ZOB","ZCC","LAN","2","Deleted",""
"2026/04/16","US","16TS","ASW","TX","TYLER","LANDING FACILITY","A","PINERIDGE","ZFW","ZCF","FTW","2","Deleted",""
"2026/04/16","US","19TA","ASW","TX","MC CLENDON-CHISHOLM","LANDING FACILITY","A","LAGRONE RANCH","ZFW","ZCF","FTW","2","Deleted",""
"2026/04/16","US","1G0","AGL","OH","BOWLING GREEN","LANDING FACILITY","A","WOOD COUNTY","ZOB","ZCC","CLE","1","Modified","FAC_NAME"
"2026/05/14","US","1G0","AGL","OH","BOWLING GREEN","LANDING FACILITY","A","WOOD COUNTY RGNL","ZOB","ZCC","CLE","2","Modified","FAC_NAME"
"2026/04/16","US","1GA6","ASO","GA","SASSER","LANDING FACILITY","A","GRAND OAK PLANTATION","ZJX","ZCJ","MCN","1","Modified","FAC_NAME"
"2026/05/14","US","1GA6","ASO","GA","SASSER","LANDING FACILITY","A","GRAND OAKS PLANTATION","ZJX","ZCJ","MCN","2","Modified","FAC_NAME"
