"EFF_DATE","ROUTE_TYPE_CODE","ROUTE_ID","ARTCC","AGENCY_TYPE","AGENCY_NAME","STATION","ADDRESS","CITY","STATE_CODE","ZIP_CODE","COMMERCIAL_NO","DSN_NO","HOURS","File","Action","Mods"
"2026/03/19","IR","034","ZMA","O","598TH RANS/RMDS","AVON PARK AFR, FL","","","FL","33825","813-828-4643/42/41","968-4643/42/41","","1","Modified","STATION COMMERCIAL_NO DSN_NO HOURS"
"2026/05/14","IR","034","ZMA","O","598TH RANS/RMDS","AVON PARK AFR","","","FL","33825","813-828-0480/4642/4641","968-0480/4642/4641","0600-2400 LOCAL","2","Modified","STATION COMMERCIAL_NO DSN_NO HOURS"
"2026/03/19","IR","034","ZMA","S1","598TH RANS/RMDS","AVON PARK AFR","","AVON PARK AFR","FL","33825","C813-828-4643/42/41","968-4643/42/41","","1","Modified","CITY COMMERCIAL_NO DSN_NO HOURS"
"2026/05/14","IR","034","ZMA","S1","598TH RANS/RMDS","AVON PARK AFR","","","FL","33825","813-828-0480/4642/4641","968-0480/4642/4641","0600-2400 LOCAL","2","Modified","CITY COMMERCIAL_NO DSN_NO HOURS"
"2026/03/19","IR","046","ZJX ZMA","O","598TH RANS/RMDS","AVON PARK AFR","","","FL","33825","C813-828-4643/42/41","968-4643/42/41","AVONPARKAIRSPACE@US.AF.MIL","1","Modified","COMMERCIAL_NO DSN_NO HOURS"
"2026/05/14","IR","046","ZJX ZMA","O","598TH RANS/RMDS","AVON PARK AFR","","","FL","33825","813-828-0480/4642/4641","968-0480/4642/4641","0600-2400 LOCAL","2","Modified","COMMERCIAL_NO DSN_NO HOURS"
"2026/03/19","IR","046","ZJX ZMA","S1","598TH RANS/RMDS","AVON PARK AFR","","","FL","33825","C813-828-4643/42/41","968-4643/42/41","AVONPARKAIRSPACE@US.AF.MIL","1","Modified","COMMERCIAL_NO DSN_NO HOURS"
"2026/05/14","IR","046","ZJX ZMA","S1","598TH RANS/RMDS","AVON PARK AFR","","","FL","33825","813-828-0480/4642/4641","968-0480/4642/4641","0600-2400 LOCAL","2","Modified","COMMERCIAL_NO DSN_NO HOURS"
"2026/03/19","IR","047","ZMA","O","598TH RANS/RMDS","AVON PARK AFR","","","FL","33825","C813-828-4643/42/41","968-4643/42/41","AVONPARKAIRSPACE@US.AF.MIL","1","Modified","COMMERCIAL_NO DSN_NO HOURS"
"2026/05/14","IR","047","ZMA","O","598TH RANS/RMDS","AVON PARK AFR","","","FL","33825","813-828-0480/4642/4641","968-0480/4642/4641","0600-2400 LOCAL","2","Modified","COMMERCIAL_NO DSN_NO HOURS"
"2026/03/19","IR","047","ZMA","S1","598TH RANS/RMDS","AVON PARK AFR","","","FL","33825","C813-828-4643/42/41","968-4643/42/41","AVONPARKAIRSPACE@US.AF.MIL","1","Modified","COMMERCIAL_NO DSN_NO HOURS"
"2026/05/14","IR","047","ZMA","S1","598TH RANS/RMDS","AVON PARK AFR","","","FL","33825","813-828-0480/4642/4641","968-0480/4642/4641","0600-2400 LOCAL","2","Modified","COMMERCIAL_NO DSN_NO HOURS"
"2026/03/19","IR","048","ZMA","O","598TH RANS/RMDS","AVON PARK AFR","","","FL","33825","C813-828-4643/42/41","968-4643/42/41","AVONPARKAIRSPACE@US.AF.MIL","1","Modified","COMMERCIAL_NO DSN_NO HOURS"
"2026/05/14","IR","048","ZMA","O","598TH RANS/RMDS","AVON PARK AFR","","","FL","33825","813-828-0480/4642/4641","968-0480/4642/4641","0600-2400 LOCAL","2","Modified","COMMERCIAL_NO DSN_NO HOURS"
"2026/03/19","IR","048","ZMA","S1","598TH RANS/RMDS","AVON PARK AFR","","","FL","33825","C813-828-4643/42/41","968-4643/42/41","AVONPARKAIRSPACE@US.AF.MIL","1","Modified","COMMERCIAL_NO DSN_NO HOURS"
"2026/05/14","IR","048","ZMA","S1","598TH RANS/RMDS","AVON PARK AFR","","","FL","33825","813-828-0480/4642/4641","968-0480/4642/4641","0600-2400 LOCAL","2","Modified","COMMERCIAL_NO DSN_NO HOURS"
"2026/03/19","IR","049","ZMA","O","598TH RANS/RMDS","AVON PARK AFR","","","FL","33825","C813-828-4643/42/41","968-4643/42/41","AVONPARKAIRSPACE@US.AF.MIL","1","Modified","COMMERCIAL_NO DSN_NO HOURS"
"2026/05/14","IR","049","ZMA","O","598TH RANS/RMDS","AVON PARK AFR","","","FL","33825","813-828-0480/4642/4641","968-0480/4642/4641","0600-2400 LOCAL","2","Modified","COMMERCIAL_NO DSN_NO HOURS"
"2026/03/19","IR","049","ZMA","S1","598TH RANS/RMDS","AVON PARK AFR","","","FL","33825","C813-828-4643/42/41","968-4643/42/41","AVONPARKAIRSPACE@US.AF.MIL","1","Modified","COMMERCIAL_NO DSN_NO HOURS"
"2026/05/14","IR","049","ZMA","S1","598TH RANS/RMDS","AVON PARK AFR","","","FL","33825","813-828-0480/4642/4641","968-0480/4642/4641","0600-2400 LOCAL","2","Modified","COMMERCIAL_NO DSN_NO HOURS"
"2026/03/19","IR","050","ZMA","O","598TH RANS/RMDS","AVON PARK AFR","","","FL","33825","C813-828-4643/42/41","968-4643/42/41","AVONPARKAIRSPACE@US.AF.MIL","1","Modified","COMMERCIAL_NO DSN_NO HOURS"
"2026/05/14","IR","050","ZMA","O","598TH RANS/RMDS","AVON PARK AFR","","","FL","33825","813-828-0480/4642/4641","968-0480/4642/4641","0600-2400 LOCAL","2","Modified","COMMERCIAL_NO DSN_NO HOURS"
"2026/03/19","IR","050","ZMA","S1","598TH RANS/RMDS","AVON PARK AFR","","","FL","33825","C813-828-4643/42/41","968-4643/42/41","AVONPARKAIRSPACE@US.AF.MIL","1","Modified","COMMERCIAL_NO DSN_NO HOURS"
"2026/05/14","IR","050","ZMA","S1","598TH RANS/RMDS","AVON PARK AFR","","","FL","33825","813-828-0480/4642/4641","968-0480/4642/4641","0600-2400 LOCAL","2","Modified","COMMERCIAL_NO DSN_NO HOURS"
"2026/03/19","IR","051","ZMA","O","598TH RANS/RMDS","AVON PARK AFR","","","FL","33825","C813-828-4643/42/41","968-4643/42/41","AVONPARKAIRSPACE@US.AF.MIL","1","Modified","COMMERCIAL_NO DSN_NO HOURS"
"2026/05/14","IR","051","ZMA","O","598TH RANS/RMDS","AVON PARK AFR","","","FL","33825","813-828-0480/4642/4641","968-0480/4642/4641","0600-2400 LOCAL","2","Modified","COMMERCIAL_NO DSN_NO HOURS"
"2026/03/19","IR","051","ZMA","S1","598TH RANS/RMDS","AVON PARK AFR","","","FL","33825","C813-828-4643/42/41","968-4643/42/41","AVONPARKAIRSPACE@US.AF.MIL","1","Modified","COMMERCIAL_NO DSN_NO HOURS"
"2026/05/14","IR","051","ZMA","S1","598TH RANS/RMDS","AVON PARK AFR","","","FL","33825","813-828-0480/4642/4641","968-0480/4642/4641","0600-2400 LOCAL","2","Modified","COMMERCIAL_NO DSN_NO HOURS"
"2026/03/19","IR","053","ZMA","O","598TH RANS/RMDS","AVON PARK AFR","","","FL","33825","C813-828-4643/42/41","968-4643/42/41","AVONPARKAIRSPACE@US.AF.MIL","1","Modified","COMMERCIAL_NO DSN_NO HOURS"
"2026/05/14","IR","053","ZMA","O","598TH RANS/RMDS","AVON PARK AFR","","","FL","33825","813-828-0480/4642/4641","968-0480/4642/4641","0600-2400 LOCAL","2","Modified","COMMERCIAL_NO DSN_NO HOURS"
"2026/03/19","IR","053","ZMA","S1","598TH RANS/RMDS","AVON PARK AFR","","","FL","33825","C813-828-4643/42/41","968-4643/42/41","AVONPARKAIRSPACE@US.AF.MIL","1","Modified","COMMERCIAL_NO DSN_NO HOURS"
"2026/05/14","IR","053","ZMA","S1","598TH RANS/RMDS","AVON PARK AFR","","","FL","33825","813-828-0480/4642/4641","968-0480/4642/4641","0600-2400 LOCAL","2","Modified","COMMERCIAL_NO DSN_NO HOURS"
"2026/03/19","IR","055","ZMA","O","598TH RANS/RMDS","AVON PARK AFR","","","FL","33825","C813-828-4643/42/41","968-4643/42/41","AVONPARKAIRSPACE@US.AF.MIL","1","Modified","COMMERCIAL_NO DSN_NO HOURS"
"2026/05/14","IR","055","ZMA","O","598TH RANS/RMDS","AVON PARK AFR","","","FL","33825","813-828-0480/4642/4641","968-0480/4642/4641","0600-2400 LOCAL","2","Modified","COMMERCIAL_NO DSN_NO HOURS"
"2026/03/19","IR","055","ZMA","S1","598TH RANS/RMDS","AVON PARK AFR","","","FL","33825","C813-828-4643/42/41","968-4643/42/41","AVONPARKAIRSPACE@US.AF.MIL","1","Modified","COMMERCIAL_NO DSN_NO HOURS"
"2026/05/14","IR","055","ZMA","S1","598TH RANS/RMDS","AVON PARK AFR","","","FL","33825","813-828-0480/4642/4641","968-0480/4642/4641","0600-2400 LOCAL","2","Modified","COMMERCIAL_NO DSN_NO HOURS"
"2026/03/19","IR","056","ZMA","O","598TH RANS/RMDS","AVON PARK AFR","","","FL","33825","C813-828-4643/42/41","968-4643/42/41","AVONPARKAIRSPACE@US.AF.MIL","1","Modified","COMMERCIAL_NO DSN_NO HOURS"
"2026/05/14","IR","056","ZMA","O","598TH RANS/RMDS","AVON PARK AFR","","","FL","33825","813-828-0480/4642/4641","968-0480/4642/4641","0600-2400 LOCAL","2","Modified","COMMERCIAL_NO DSN_NO HOURS"
"2026/03/19","IR","056","ZMA","S1","598TH RANS/RMDS","AVON PARK AFR","","","FL","33825","C813-828-4643/42/41","968-4643/42/41","AVONPARKAIRSPACE@US.AF.MIL","1","Modified","COMMERCIAL_NO DSN_NO HOURS"
"2026/05/14","IR","056","ZMA","S1","598TH RANS/RMDS","AVON PARK AFR","","","FL","33825","813-828-0480/4642/4641","968-0480/4642/4641","0600-2400 LOCAL","2","Modified","COMMERCIAL_NO DSN_NO HOURS"
"2026/03/19","IR","123","ZFW ZHU","S1","560 FTS","","1450 5TH STREET  EAST","RANDOLPH AFB","TX","78150-4333","210-652-3518","487-3518","","1","Modified","AGENCY_NAME ADDRESS CITY ZIP_CODE"
"2026/05/14","IR","123","ZFW ZHU","S1","435 FTS","","","JBSA-RANDOLPH","TX","78150","210-652-3518","487-3518","","2","Modified","AGENCY_NAME ADDRESS CITY ZIP_CODE"
"2026/03/19","VR","1087","ZMA","O","598TH RANS/RMDS","AVON PARK AFR","","","FL","33825","C813-828-4643/42/41","968-4643/42/41","AVONPARKAIRSPACE@US.AF.MIL","1","Modified","COMMERCIAL_NO DSN_NO HOURS"
"2026/05/14","VR","1087","ZMA","O","598TH RANS/RMDS","AVON PARK AFR","","","FL","33825","813-828-0480/4642/4641","968-0480/4642/4641","","2","Modified","COMMERCIAL_NO DSN_NO HOURS"
"2026/03/19","VR","1087","ZMA","S1","598TH RANS/RMDS","AVON PARK AFR","","","FL","33825","C813-828-4643/42/41","968-4643/42/41","AVONPARKAIRSPACE@US.AF.MIL","1","Modified","COMMERCIAL_NO DSN_NO HOURS"
"2026/05/14","VR","1087","ZMA","S1","598TH RANS/RMDS","AVON PARK AFR","","","FL","33825","813-828-0480/4642/4641","968-0480/4642/4641","","2","Modified","COMMERCIAL_NO DSN_NO HOURS"
"2026/03/19","VR","1088","ZMA","O","598TH RANS/RMDS","AVON PARK AFR","","","FL","33825","C813-828-4643/42/41","968-4643/42/41","AVONPARKAIRSPACE@US.AF.MIL","1","Modified","COMMERCIAL_NO DSN_NO HOURS"
"2026/05/14","VR","1088","ZMA","O","598TH RANS/RMDS","AVON PARK AFR","","","FL","33825","813-828-0480/4642/4641","968-0480/4642/4641","","2","Modified","COMMERCIAL_NO DSN_NO HOURS"
"2026/03/19","VR","1088","ZMA","S1","598TH RANS/RMDS","AVON PARK AFR","","","FL","33825","C813-828-4643/42/41","968-4643/42/41","AVONPARKAIRSPACE@US.AF.MIL","1","Modified","COMMERCIAL_NO DSN_NO HOURS"
"2026/05/14","VR","1088","ZMA","S1","598TH RANS/RMDS","AVON PARK AFR","","","FL","33825","813-828-0480/4642/4641","968-0480/4642/4641","","2","Modified","COMMERCIAL_NO DSN_NO HOURS"
"2026/03/19","VR","1089","ZMA","O","598TH RANS/RMDS","AVON PARK AFR","","","FL","33825","C813-828-4643/42/41","968-4643/42/41","AVONPARKAIRSPACE@US.AF.MIL","1","Modified","COMMERCIAL_NO DSN_NO HOURS"
"2026/05/14","VR","1089","ZMA","O","598TH RANS/RMDS","AVON PARK AFR","","","FL","33825","813-828-0480/4642/4641","968-0480/4642/4641","","2","Modified","COMMERCIAL_NO DSN_NO HOURS"
"2026/03/19","VR","1089","ZMA","S1","598TH RANS/RMDS","AVON PARK AFR","","","FL","33825","C813-828-4643/42/41","968-4643/42/41","AVONPARKAIRSPACE@US.AF.MIL","1","Modified","COMMERCIAL_NO DSN_NO HOURS"
"2026/05/14","VR","1089","ZMA","S1","598TH RANS/RMDS","AVON PARK AFR","","","FL","33825","813-828-0480/4642/4641","968-0480/4642/4641","","2","Modified","COMMERCIAL_NO DSN_NO HOURS"
"2026/03/19","VR","1097","ZJX","O","347 WG, DETACHMENT 1/RO","","8707 NORTH GOLF COURSE ST.","MACDILL AFB","FL","33621-5205","813-828-2902/4642","968-2902/4642","","1","Modified","AGENCY_NAME STATION ADDRESS CITY ZIP_CODE COMMERCIAL_NO DSN_NO"
"2026/05/14","VR","1097","ZJX","O","598TH RANS/RMDS","AVON PARK AFR","","","FL","33825","813-828-0480/4642/4641","968-0480/4642/4641","","2","Modified","AGENCY_NAME STATION ADDRESS CITY ZIP_CODE COMMERCIAL_NO DSN_NO"
"2026/03/19","VR","1097","ZJX","S1","347 WG, DETACHMENT 1/ROA","","8707 NORTH GOLF COURSE ST.","MACDILL AFB","FL","33621-5205","813-828-4642","968-4642","","1","Modified","AGENCY_NAME STATION ADDRESS CITY ZIP_CODE COMMERCIAL_NO DSN_NO"
"2026/05/14","VR","1097","ZJX","S1","598TH RANS/RMDS","AVON PARK AFR","","","FL","33825","813-828-0480/4642/4641","968-0480/4642/4641","","2","Modified","AGENCY_NAME STATION ADDRESS CITY ZIP_CODE COMMERCIAL_NO DSN_NO"
"2026/03/19","VR","1098","ZMA","O","598TH RANS/RMDS","AVON PARK AFR","","","FL","33825","C813-828-4643/42/41","968-4643/42/41","AVONPARKAIRSPACE@US.AF.MIL","1","Modified","COMMERCIAL_NO DSN_NO HOURS"
"2026/05/14","VR","1098","ZMA","O","598TH RANS/RMDS","AVON PARK AFR","","","FL","33825","813-828-0480/4642/4641","968-0480/4642/4641","","2","Modified","COMMERCIAL_NO DSN_NO HOURS"
"2026/03/19","VR","1098","ZMA","S1","598TH RANS/RMDS","AVON PARK AFR","","","FL","33825","C813-828-4643/42/41","968-4643/42/41","AVONPARKAIRSPACE@US.AF.MIL","1","Modified","COMMERCIAL_NO DSN_NO HOURS"
