"EFF_DATE","ROUTE_TYPE_CODE","ROUTE_ID","ARTCC","FSS","TIME_OF_USE","File","Action","Mods"
"2026/03/19","VR","1087","ZMA","","NORMALLY 0900-2400Z++ DAILY, AVAILABLE OT","1","Modified","TIME_OF_USE"
"2026/05/14","VR","1087","ZMA","","0600-2400 LOCAL","2","Modified","TIME_OF_USE"
"2026/03/19","VR","1088","ZMA","","NORMALLY 0900-2400++ DAILY, AVAILABLE OT","1","Modified","TIME_OF_USE"
"2026/05/14","VR","1088","ZMA","","0600-2400 LOCAL","2","Modified","TIME_OF_USE"
"2026/03/19","VR","1089","ZMA","","NORMALLY 0900-2400Z++ DAILY, AVAILABLE OT","1","Modified","TIME_OF_USE"
"2026/05/14","VR","1089","ZMA","","0600-2400 LOCAL","2","Modified","TIME_OF_USE"
"2026/03/19","VR","1097","ZJX","","CONTINUOUS","1","Modified","TIME_OF_USE"
"2026/05/14","VR","1097","ZJX","","0600-2400 LOCAL","2","Modified","TIME_OF_USE"
"2026/03/19","VR","1098","ZMA","","CONTINUOUS","1","Modified","TIME_OF_USE"
"2026/05/14","VR","1098","ZMA","","0600-2400 LOCAL","2","Modified","TIME_OF_USE"
