"EFF_DATE","ROUTE_TYPE_CODE","ROUTE_ID","ARTCC","ROUTE_PT_SEQ","ROUTE_PT_ID","NEXT_ROUTE_PT_ID","SEGMENT_TEXT","LAT_DEG","LAT_MIN","LAT_SEC","LAT_HEMIS","LAT_DECIMAL","LONG_DEG","LONG_MIN","LONG_SEC","LONG_HEMIS","LONG_DECIMAL","NAV_ID","NAVAID_BEARING","NAVAID_DIST","File","Action","Mods"
"2026/03/19","IR","034","ZMA","70","G","H","(1) 01 AGL B 30 MSL TO","26","37","48","N","26.63","80","54","30","W","-80.90833333","PBI","269","44","1","Modified","NAV_ID NAVAID_BEARING NAVAID_DIST"
"2026/05/14","IR","034","ZMA","70","G","H","(1) 01 AGL B 30 MSL TO","26","37","48","N","26.63","80","54","30","W","-80.90833333","","","","2","Modified","NAV_ID NAVAID_BEARING NAVAID_DIST"
"2026/03/19","IR","034","ZMA","80","H","I","(1) 01 AGL B 30 MSL TO","26","42","0","N","26.7","80","48","0","W","-80.8","PBI","275","38","1","Modified","NAV_ID NAVAID_BEARING NAVAID_DIST"
"2026/05/14","IR","034","ZMA","80","H","I","(1) 01 AGL B 30 MSL TO","26","42","0","N","26.7","80","48","0","W","-80.8","","","","2","Modified","NAV_ID NAVAID_BEARING NAVAID_DIST"
"2026/03/19","IR","034","ZMA","90","I","J","(1) 01 AGL B 20 MSL TO","26","58","0","N","26.96666666","80","54","12","W","-80.90333333","PBI","295","47","1","Modified","NAV_ID NAVAID_BEARING NAVAID_DIST"
"2026/05/14","IR","034","ZMA","90","I","J","(1) 01 AGL B 20 MSL TO","26","58","0","N","26.96666666","80","54","12","W","-80.90333333","","","","2","Modified","NAV_ID NAVAID_BEARING NAVAID_DIST"
"2026/03/19","IR","049","ZMA","20","B","C","(1) 05 AGL B 30 MSL TO","27","21","43.2","N","27.362","81","59","58.8","W","-81.99966666","LBV","314","46","1","Modified","NAV_ID NAVAID_BEARING NAVAID_DIST"
"2026/05/14","IR","049","ZMA","20","B","C","(1) 05 AGL B 30 MSL TO","27","21","43.2","N","27.362","81","59","58.8","W","-81.99966666","","","","2","Modified","NAV_ID NAVAID_BEARING NAVAID_DIST"
"2026/03/19","IR","049","ZMA","30","C","D","(1) 05 AGL B 30 MSL TO","27","18","1.2","N","27.30033333","81","49","58.8","W","-81.833","LBV","319","37","1","Modified","NAV_ID NAVAID_BEARING NAVAID_DIST"
"2026/05/14","IR","049","ZMA","30","C","D","(1) 05 AGL B 30 MSL TO","27","18","1.2","N","27.30033333","81","49","58.8","W","-81.833","","","","2","Modified","NAV_ID NAVAID_BEARING NAVAID_DIST"
