"EFF_DATE","ROUTE_TYPE_CODE","ROUTE_ID","ARTCC","SOP_SEQ_NO","SOP_TEXT","File","Action","Mods"
"2026/03/19","IR","034","ZMA","5","(1)     VISUAL ROAD RECONNAISSANCE (RC) OR PHOTO RECONNAISSANCE","1","Modified","SOP_TEXT"
"2026/05/14","IR","034","ZMA","5","VISUAL ROAD RECONNAISSANCE (RC) OR PHOTO RECONNAISSANCE","2","Modified","SOP_TEXT"
"2026/03/19","IR","036","","355","         (B) 250' AGL (400' MSL) N33-02.00 W80-30.50;","2","Deleted",""
"2026/03/19","IR","036","","360","         (C) 400' AGL (500' MSL) N33-13.50 W80-18.00;","2","Deleted",""
"2026/03/19","IR","036","","365","         (D) 200' AGL (350' MSL) N33-13.00 W80-59.00;","1","Modified","SOP_TEXT"
"2026/05/14","IR","036","","365","(B) 200' AGL (350' MSL) N33-13.00 W80-59.00;","2","Modified","SOP_TEXT"
"2026/03/19","IR","036","","370","         (E) 300' AGL N33-55.65 W78-20.07;","1","Modified","SOP_TEXT"
"2026/05/14","IR","036","","370","(C) 300' AGL N33-55.65 W78-20.07;","2","Modified","SOP_TEXT"
"2026/03/19","IR","036","","375","         (F) 300' AGL N33-56.23 W78-18.17;","1","Modified","SOP_TEXT"
"2026/05/14","IR","036","","375","(D) 300' AGL N33-56.23 W78-18.17;","2","Modified","SOP_TEXT"
"2026/03/19","IR","036","","380","         (G) 300' AGL N34-21.66 W79-05.68;","1","Modified","SOP_TEXT"
"2026/05/14","IR","036","","380","(E) 300' AGL N34-21.66 W79-05.68;","2","Modified","SOP_TEXT"
"2026/03/19","IR","036","","385","         (H) 300' AGL N33-56.17 W79-54.36.","1","Modified","SOP_TEXT"
"2026/05/14","IR","036","","385","(F) 300' AGL N33-56.17 W79-54.36.","2","Modified","SOP_TEXT"
"2026/03/19","IR","036","","390","(I) 100' AGL N33-13.22 W80-58.72","1","Modified","SOP_TEXT"
"2026/05/14","IR","036","","390","(G) 100' AGL N33-13.22 W80-58.72","2","Modified","SOP_TEXT"
"2026/03/19","IR","046","ZJX ZMA","5","(1)     WHEN ENTERING THE ROUTE FROM THE NORTH ENTER AT A. REFER","1","Modified","SOP_TEXT"
"2026/05/14","IR","046","ZJX ZMA","5","WHEN ENTERING THE ROUTE FROM THE NORTH ENTER AT A. REFER","2","Modified","SOP_TEXT"
"2026/03/19","IR","047","ZMA","5","(1) ALL REQUESTS FOR USE OF THIS ROUTE MUST BE APPROVED BY THE","1","Modified","SOP_TEXT"
"2026/05/14","IR","047","ZMA","5","ALL REQUESTS FOR USE OF THIS ROUTE MUST BE APPROVED BY THE","2","Modified","SOP_TEXT"
"2026/03/19","IR","048","ZMA","5","(1)     ALL REQUESTS FOR USE OF THIS ROUTE MUST BE APPROVED BY THE","1","Modified","SOP_TEXT"
"2026/05/14","IR","048","ZMA","5","ALL REQUESTS FOR USE OF THIS ROUTE MUST BE APPROVED BY THE","2","Modified","SOP_TEXT"
"2026/03/19","IR","049","ZMA","5","(1)    ALL REQUESTS FOR USE OF THIS ROUTE MUST BE APPROVED BY THE","1","Modified","SOP_TEXT"
"2026/05/14","IR","049","ZMA","5","ALL REQUESTS FOR USE OF THIS ROUTE MUST BE APPROVED BY THE","2","Modified","SOP_TEXT"
"2026/03/19","IR","050","ZMA","5","(1) ALL REQUESTS FOR USE OF THIS ROUTE MUST BE APPROVED BY THE","1","Modified","SOP_TEXT"
"2026/05/14","IR","050","ZMA","5","ALL REQUESTS FOR USE OF THIS ROUTE MUST BE APPROVED BY THE","2","Modified","SOP_TEXT"
"2026/03/19","IR","051","ZMA","5","(1) ALL REQUESTS FOR USE OF THIS ROUTE MUST BE APPROVED BY THE","1","Modified","SOP_TEXT"
"2026/05/14","IR","051","ZMA","5","ALL REQUESTS FOR USE OF THIS ROUTE MUST BE APPROVED BY THE","2","Modified","SOP_TEXT"
"2026/03/19","IR","053","ZMA","5","(1) ALL REQUESTS FOR USE OF THIS ROUTE MUST BE APPROVED BY THE","1","Modified","SOP_TEXT"
"2026/05/14","IR","053","ZMA","5","ALL REQUESTS FOR USE OF THIS ROUTE MUST BE APPROVED BY THE","2","Modified","SOP_TEXT"
"2026/03/19","IR","055","ZMA","5","(1)   ALL REQUESTS FOR USE OF THIS ROUTE MUST BE APPROVED BY THE","1","Modified","SOP_TEXT"
