"EFF_DATE","NAV_ID","NAV_TYPE","STATE_CODE","CITY","COUNTRY_CODE","NAV_STATUS","NAME","STATE_NAME","REGION_CODE","COUNTRY_NAME","FAN_MARKER","OWNER","OPERATOR","NAS_USE_FLAG","PUBLIC_USE_FLAG","NDB_CLASS_CODE","OPER_HOURS","HIGH_ALT_ARTCC_ID","HIGH_ARTCC_NAME","LOW_ALT_ARTCC_ID","LOW_ARTCC_NAME","LAT_DEG","LAT_MIN","LAT_SEC","LAT_HEMIS","LAT_DECIMAL","LONG_DEG","LONG_MIN","LONG_SEC","LONG_HEMIS","LONG_DECIMAL","SURVEY_ACCURACY_CODE","TACAN_DME_STATUS","TACAN_DME_LAT_DEG","TACAN_DME_LAT_MIN","TACAN_DME_LAT_SEC","TACAN_DME_LAT_HEMIS","TACAN_DME_LAT_DECIMAL","TACAN_DME_LONG_DEG","TACAN_DME_LONG_MIN","TACAN_DME_LONG_SEC","TACAN_DME_LONG_HEMIS","TACAN_DME_LONG_DECIMAL","ELEV","MAG_VARN","MAG_VARN_HEMIS","MAG_VARN_YEAR","SIMUL_VOICE_FLAG","PWR_OUTPUT","AUTO_VOICE_ID_FLAG","MNT_CAT_CODE","VOICE_CALL","CHAN","FREQ","MKR_IDENT","MKR_SHAPE","MKR_BRG","ALT_CODE","DME_SSV","LOW_NAV_ON_HIGH_CHART_FLAG","Z_MKR_FLAG","FSS_ID","FSS_NAME","FSS_HOURS","NOTAM_ID","QUAD_IDENT","PITCH_FLAG","CATCH_FLAG","SUA_ATCAA_FLAG","RESTRICTION_FLAG","HIWAS_FLAG","File","Action","Mods"
"2026/04/16","BZM","VOR/DME","NC","HICKORY","US","OPERATIONAL RESTRICTED","BARRETTS MOUNTAIN","NORTH CAROLINA","ASO","UNITED STATES","","F-FEDERAL AVIATION ADMIN","F-FEDERAL AVIATION ADMIN","Y","Y","","24","ZTL","ATLANTA","ZTL","ATLANTA","35","52","7.874","N","35.86885388","81","14","25.904","W","-81.24052888","6","OPERATIONAL IFR","35","52","7.874","N","35.86885388","81","14","25.904","W","-81.24052888","1880","6","W","1990","Y","","N","1","RALEIGH RADIO","84Y","113.75","","","","H","H","","","RDU","RALEIGH","24","RDU","","N","N","N","","","1","Modified","ALT_CODE DME_SSV"
"2026/05/14","BZM","VOR/DME","NC","HICKORY","US","OPERATIONAL RESTRICTED","BARRETTS MOUNTAIN","NORTH CAROLINA","ASO","UNITED STATES","","F-FEDERAL AVIATION ADMIN","F-FEDERAL AVIATION ADMIN","Y","Y","","24","ZTL","ATLANTA","ZTL","ATLANTA","35","52","7.874","N","35.86885388","81","14","25.904","W","-81.24052888","6","OPERATIONAL IFR","35","52","7.874","N","35.86885388","81","14","25.904","W","-81.24052888","1880","6","W","1990","Y","","N","1","RALEIGH RADIO","84Y","113.75","","","","VL","DH","","","RDU","RALEIGH","24","RDU","","N","N","N","","","2","Modified","ALT_CODE DME_SSV"
"2026/04/16","CCV","VORTAC","VA","CAPE CHARLES","US","OPERATIONAL RESTRICTED","CAPE CHARLES","VIRGINIA","AEA","UNITED STATES","","F-FEDERAL AVIATION ADMIN","F-FEDERAL AVIATION ADMIN","Y","Y","","24","ZDC","WASHINGTON","ZDC","WASHINGTON","37","20","51.14","N","37.34753888","75","59","51.55","W","-75.99765277","7","","37","20","51.14","N","37.34753888","75","59","51.55","W","-75.99765277","9.7","10","W","1985","N","","N","1","NONE","59X","112.2","","","","L","L","Y","","DCA","LEESBURG","24","DCA","","N","N","N","","","2","Deleted",""
"2026/04/16","CMI","VORTAC","IL","CHAMPAIGN/URBANA","US","OPERATIONAL IFR","CHAMPAIGN","ILLINOIS","AGL","UNITED STATES","","F-FEDERAL AVIATION ADMIN","F-FEDERAL AVIATION ADMIN","Y","Y","","24","ZAU","CHICAGO","ZAU","CHICAGO","40","2","4.3125","N","40.03453125","88","16","33.8718","W","-88.2760755","7","","40","2","4.3125","N","40.03453125","88","16","33.8718","W","-88.2760755","745.3","3","E","1965","Y","","N","1","ST LOUIS RADIO","104Y","115.75","","","","L","L","","","STL","SAINT LOUIS","24","CMI","","N","N","N","","","1","Modified","NAV_STATUS ALT_CODE"
"2026/05/14","CMI","VORTAC","IL","CHAMPAIGN/URBANA","US","OPERATIONAL RESTRICTED","CHAMPAIGN","ILLINOIS","AGL","UNITED STATES","","F-FEDERAL AVIATION ADMIN","F-FEDERAL AVIATION ADMIN","Y","Y","","24","ZAU","CHICAGO","ZAU","CHICAGO","40","2","4.3125","N","40.03453125","88","16","33.8718","W","-88.2760755","7","","40","2","4.3125","N","40.03453125","88","16","33.8718","W","-88.2760755","745.3","3","E","1965","Y","","N","1","ST LOUIS RADIO","104Y","115.75","","","","VL","L","","","STL","SAINT LOUIS","24","CMI","","N","N","N","","","2","Modified","NAV_STATUS ALT_CODE"
"2026/04/16","CZJ","NDB","TX","CENTER","US","OPERATIONAL IFR","AMASON","TEXAS","ASW","UNITED STATES","","O-CITY OF CENTER","O-CITY OF CENTER","Y","Y","MHW","24","ZFW","FORT WORTH","ZFW","FORT WORTH","31","49","58.3559","N","31.83287663","94","9","13.6221","W","-94.15378391","5","","","","","","","","","","","","328.7","4","E","1995","N","25","N","1","NONE","","341","","","","","","","N","CXO","MONTGOMERY COUNTY","24","CXO","","N","N","N","","","2","Deleted",""
"2026/04/16","ELW","VORTAC","SC","ANDERSON","US","OPERATIONAL IFR","ELECTRIC CITY","SOUTH CAROLINA","ASO","UNITED STATES","","F-FEDERAL AVIATION ADMIN","F-FEDERAL AVIATION ADMIN","Y","Y","","24","ZTL","ATLANTA","ZTL","ATLANTA","34","25","9.0702","N","34.41918616","82","47","4.8614","W","-82.78468372","6","","34","25","9.0702","N","34.41918616","82","47","4.8614","W","-82.78468372","736.2","0","E","1975","N","","Y","1","NONE","23X","108.6","","","","L","L","","","AND","ANDERSON","24","AND","","N","N","N","","","1","Modified","NAV_STATUS ALT_CODE"
"2026/05/14","ELW","VORTAC","SC","ANDERSON","US","OPERATIONAL RESTRICTED","ELECTRIC CITY","SOUTH CAROLINA","ASO","UNITED STATES","","F-FEDERAL AVIATION ADMIN","F-FEDERAL AVIATION ADMIN","Y","Y","","24","ZTL","ATLANTA","ZTL","ATLANTA","34","25","9.0702","N","34.41918616","82","47","4.8614","W","-82.78468372","6","","34","25","9.0702","N","34.41918616","82","47","4.8614","W","-82.78468372","736.2","0","E","1975","N","","Y","1","NONE","23X","108.6","","","","VL","L","","","AND","ANDERSON","24","AND","","N","N","N","","","2","Modified","NAV_STATUS ALT_CODE"
"2026/04/16","FTZ","VORTAC","MO","FORISTELL","US","OPERATIONAL RESTRICTED","FORISTELL","MISSOURI","ACE","UNITED STATES","","F-FEDERAL AVIATION ADMIN","F-FEDERAL AVIATION ADMIN","Y","Y","","24","ZKC","KANSAS CITY","ZKC","KANSAS CITY","38","41","39.6013","N","38.69433369","90","58","16.5696","W","-90.97126933","5","","38","41","39.6013","N","38.69433369","90","58","16.5696","W","-90.97126933","818.9","5","E","1965","N","","N","1","NONE","45X","110.8","","","","L","L","Y","","STL","SAINT LOUIS","24","STL","","N","N","N","","","1","Modified","CHAN FREQ"
"2026/05/14","FTZ","VORTAC","MO","FORISTELL","US","OPERATIONAL RESTRICTED","FORISTELL","MISSOURI","ACE","UNITED STATES","","F-FEDERAL AVIATION ADMIN","F-FEDERAL AVIATION ADMIN","Y","Y","","24","ZKC","KANSAS CITY","ZKC","KANSAS CITY","38","41","39.6013","N","38.69433369","90","58","16.5696","W","-90.97126933","5","","38","41","39.6013","N","38.69433369","90","58","16.5696","W","-90.97126933","818.9","5","E","1965","N","","N","1","NONE","90Y","114.35","","","","L","L","Y","","STL","SAINT LOUIS","24","STL","","N","N","N","","","2","Modified","CHAN FREQ"
