"EFF_DATE","NAV_ID","NAV_TYPE","STATE_CODE","CITY","COUNTRY_CODE","TAB_NAME","REF_COL_NAME","REF_COL_SEQ_NO","REMARK","File","Action","Mods"
"2026/04/16","BZM","VOR/DME","NC","HICKORY","US","NAVIGATION_AID","GENERAL_REMARK","1","VOR UNUSBL 030-040 BYD 15 NM BLW 8500 FT; 107-117 BYD 30 NM.","1","Modified","REMARK"
"2026/05/14","BZM","VOR/DME","NC","HICKORY","US","NAVIGATION_AID","GENERAL_REMARK","1","VOR UNUSBL 020-025 BYD 40 NM; 030-040 BYD 15 NM BLW 8500 FT; 107-117 BYD 30 NM; 300-305 BYD 54 NM; 335-340 BYD 40 NM.","2","Modified","REMARK"
"2026/04/16","CCV","VORTAC","VA","CAPE CHARLES","US","NAVIGATION_AID","GENERAL_REMARK","1","TACAN AZM UNUSBL 005-015 BYD 20 NM BLW 4000 FT.","2","Deleted",""
"2026/04/16","CCV","VORTAC","VA","CAPE CHARLES","US","NAVIGATION_AID","GENERAL_REMARK","2","VOR UNUSBL 137-322 BYD 17 NM BLW 2000 FT, 137-322 BYD 22 NM BLW 3000 FT.","2","Deleted",""
"2026/04/16","CCV","VORTAC","VA","CAPE CHARLES","US","NAVIGATION_AID","GENERAL_REMARK","3","DME UNUSBL 005-015 BYD 20 NM BLW 4000 FT.","2","Deleted",""
"2026/04/16","CKV","VOR/DME","TN","CLARKSVILLE","US","NAVIGATION_AID","GENERAL_REMARK","1","VOR PORTION UNUSBL 090-110 BYD 20 NM.","1","Modified","REMARK"
"2026/05/14","CKV","VOR/DME","TN","CLARKSVILLE","US","NAVIGATION_AID","GENERAL_REMARK","1","VOR UNUSBL 090-110 BYD 20 NM; 245-260 BYD 10 NM BLW 5000 FT; 265-285 BYD 10 NM; 265-285 BLW 5000 FT.","2","Modified","REMARK"
"2026/04/16","CVE","VOR/DME","TX","DALLAS","US","NAVIGATION_AID","GENERAL_REMARK","1","VOR UNUSBL 030-035 BYD 40 NM; 055-060 BYD 40 NM; 130-140 BYD 40 NM.","1","Modified","REMARK"
"2026/05/14","CVE","VOR/DME","TX","DALLAS","US","NAVIGATION_AID","GENERAL_REMARK","1","VOR UNUSBL 055-057 BYD 57 NM BLW 7500 FT; 131-137 BYD 38 NM.","2","Modified","REMARK"
"2026/04/16","EMI","VORTAC","MD","WESTMINSTER","US","NAVIGATION_AID","GENERAL_REMARK","4","VOR UNUSBL 009-056 BYD 40 NM; 128-161 BYD 20 NM BLW 6500 FT; 221-231 BLW 4500 FT; 221-231 BYD 13 NM BLW 16000 FT; 284-294 BYD 40 NM; 295-334 BLW 5500 FT.","1","Modified","REMARK"
