"EFF_DATE","ORIGIN_ID","ORIGIN_CITY","ORIGIN_STATE_CODE","ORIGIN_COUNTRY_CODE","DSTN_ID","DSTN_CITY","DSTN_STATE_CODE","DSTN_COUNTRY_CODE","PFR_TYPE_CODE","ROUTE_NO","SPECIAL_AREA_DESCRIP","ALT_DESCRIP","AIRCRAFT","HOURS","ROUTE_DIR_DESCRIP","DESIGNATOR","NAR_TYPE","INLAND_FAC_FIX","COASTAL_FIX","DESTINATION","ROUTE_STRING","File","Action","Mods"
"2026/03/19","ABQ","ALBUQUERQUE","NM","US","HOU","HOUSTON","TX","US","H","1","KHOU, KEFD, KGLS, KLBX","","TURBOJETS - DME/DME/IRU OR GPS","","","","","","","","DILLO KIDDZ5","1","Modified","SPECIAL_AREA_DESCRIP AIRCRAFT ROUTE_STRING"
"2026/05/14","ABQ","ALBUQUERQUE","NM","US","HOU","HOUSTON","TX","US","H","1","TO KHOU, KEFD, KGLS, KLBX","","JETS ONLY - RNAV 1 - DME/DME/IRU OR GPS","","","","","","","","MNZNO3 CME HOB DILLO KIDDZ5","2","Modified","SPECIAL_AREA_DESCRIP AIRCRAFT ROUTE_STRING"
"2026/03/19","AJO","CORONA","CA","US","AVX","AVALON","CA","US","TEC","1","CCB CNO EMT HMT REI L65 AJO RAL RIR RIV SBD F70 ONT POC TO AVX","JMPQ70","","","","ONTP8","","","","","PDZ PDZ270013 RNDAL V363 DANAH SXC","1","Modified","DESIGNATOR ROUTE_STRING"
"2026/05/14","AJO","CORONA","CA","US","AVX","AVALON","CA","US","TEC","1","CCB CNO EMT HMT REI L65 AJO RAL RIR RIV SBD F70 ONT POC TO AVX","JMPQ70","","","","ONTQ8","","","","","PDZ V388 RNDAL V363 DANAH SXC","2","Modified","DESIGNATOR ROUTE_STRING"
"2026/03/19","AJO","CORONA","CA","US","BUR","BURBANK","CA","US","TEC","1","CCB CNO EMT HMT REI L65 AJO RAL RIR RIV SBD F70 ONT POC TO BUR VNY WHP","PQ60","","","","ONTP1","","","","","PDZ V186 VNY","1","Modified","DESIGNATOR"
"2026/05/14","AJO","CORONA","CA","US","BUR","BURBANK","CA","US","TEC","1","CCB CNO EMT HMT REI L65 AJO RAL RIR RIV SBD F70 ONT POC TO BUR VNY WHP","PQ60","","","","ONTQ1","","","","","PDZ V186 VNY","2","Modified","DESIGNATOR"
"2026/03/19","AJO","CORONA","CA","US","BUR","BURBANK","CA","US","TEC","2","CCB CNO EMT HMT REI L65 AJO RAL RIR RIV SBD F70 ONT POC TO BUR VNY WHP","JM80","","","","ONTP2","","","","","PDZ V197 POM V264 ITSME V186 VNY","1","Modified","DESIGNATOR"
"2026/05/14","AJO","CORONA","CA","US","BUR","BURBANK","CA","US","TEC","2","CCB CNO EMT HMT REI L65 AJO RAL RIR RIV SBD F70 ONT POC TO BUR VNY WHP","JM80","","","","ONTQ2","","","","","PDZ V197 POM V264 ITSME V186 VNY","2","Modified","DESIGNATOR"
"2026/03/19","AJO","CORONA","CA","US","CMA","CAMARILLO","CA","US","TEC","1","CCB CNO EMT HMT REI L65 AJO RAL RIR RIV SBD F70 ONT POC TO CMA OXR NTD","PQ60","","","","ONTP14","","","","","PDZ V186 FIM","1","Modified","DESIGNATOR"
"2026/05/14","AJO","CORONA","CA","US","CMA","CAMARILLO","CA","US","TEC","1","CCB CNO EMT HMT REI L65 AJO RAL RIR RIV SBD F70 ONT POC TO CMA OXR NTD","PQ60","","","","ONTQ14","","","","","PDZ V186 FIM","2","Modified","DESIGNATOR"
"2026/03/19","AJO","CORONA","CA","US","CMA","CAMARILLO","CA","US","TEC","2","CCB CNO EMT HMT REI L65 AJO RAL RIR RIV SBD F70 ONT POC TO CMA OXR NTD","JM80","","","","ONTP15","","","","","PDZ V197 POM V264 ITSME V186 FIM","1","Modified","DESIGNATOR"
"2026/05/14","AJO","CORONA","CA","US","CMA","CAMARILLO","CA","US","TEC","2","CCB CNO EMT HMT REI L65 AJO RAL RIR RIV SBD F70 ONT POC TO CMA OXR NTD","JM80","","","","ONTQ15","","","","","PDZ V197 POM V264 ITSME V186 FIM","2","Modified","DESIGNATOR"
"2026/03/19","AJO","CORONA","CA","US","CRQ","CARLSBAD","CA","US","TEC","1","CCB CNO EMT HMT REI L65 AJO RAL RIR RIV SBD F70 ONT POC TO CRQ NFG NKX OKB","JM110PQ70","","","","ONTP11","","","","","PDZ V186 ROBNN V458 OCN","1","Modified","DESIGNATOR"
"2026/05/14","AJO","CORONA","CA","US","CRQ","CARLSBAD","CA","US","TEC","1","CCB CNO EMT HMT REI L65 AJO RAL RIR RIV SBD F70 ONT POC TO CRQ NFG NKX OKB","JM110PQ70","","","","ONTQ11","","","","","PDZ V186 ROBNN V458 OCN","2","Modified","DESIGNATOR"
