"EFF_DATE","ORIGIN_ID","DSTN_ID","PFR_TYPE_CODE","ROUTE_NO","SEGMENT_SEQ","SEG_VALUE","SEG_TYPE","STATE_CODE","COUNTRY_CODE","ICAO_REGION_CODE","NAV_TYPE","NEXT_SEG","File","Action","Mods"
"2026/03/19","ABQ","HOU","H","1","5","DILLO","FIX","TX","US","K4","","KIDDZ5","1","Modified","SEGMENT_SEQ"
"2026/05/14","ABQ","HOU","H","1","20","DILLO","FIX","TX","US","K4","","KIDDZ5","2","Modified","SEGMENT_SEQ"
"2026/03/19","ABQ","HOU","H","1","10","KIDDZ5","STAR","","","","","","1","Modified","SEGMENT_SEQ"
"2026/05/14","ABQ","HOU","H","1","25","KIDDZ5","STAR","","","","","","2","Modified","SEGMENT_SEQ"
"2026/03/19","AJO","AVX","TEC","1","5","PDZ","NAVAID","CA","US","","VORTAC","PDZ270013","2","Deleted",""
"2026/03/19","AJO","AVX","TEC","1","10","PDZ270013","FRD","CA","US","","VORTAC","RNDAL","2","Deleted",""
"2026/03/19","AJO","LAX","TEC","1","15","DOWDD","FIX","CA","US","K2","","","2","Deleted",""
"2026/03/19","ALB","CLT","H","1","25","AIROW","FIX","VA","US","K6","","CHSLY6","2","Deleted",""
"2026/03/19","ALB","CLT","H","1","30","CHSLY6","STAR","","","","","","2","Deleted",""
"2026/03/19","ALLEX","CLT","NAR","1","30","AIROW","FIX","VA","US","K6","","CHSLY6","2","Deleted",""
"2026/03/19","ALLEX","CLT","NAR","1","35","CHSLY6","STAR","","","","","","2","Deleted",""
"2026/03/19","ALLEX","MSY","NAR","1","55","MERDN","FIX","MS","US","K7","","TRSSH1","2","Deleted",""
"2026/03/19","ALLEX","MSY","NAR","1","60","TRSSH1","STAR","","","","","","2","Deleted",""
"2026/03/19","ATL","BWI","H","2","25","THHMP","FIX","VA","US","K6","","RAVNN8","2","Deleted",""
"2026/03/19","ATL","BWI","H","2","30","RAVNN8","STAR","","","","","","2","Deleted",""
"2026/03/19","ATL","CLT","H","3","15","CNTLR","FIX","GA","US","K7","","JONZE5","2","Deleted",""
"2026/03/19","ATL","CLT","H","3","20","JONZE5","STAR","","","","","","2","Deleted",""
"2026/03/19","AUS","BWI","H","1","55","THHMP","FIX","VA","US","K6","","RAVNN8","2","Deleted",""
"2026/03/19","AUS","BWI","H","1","60","RAVNN8","STAR","","","","","","2","Deleted",""
"2026/03/19","AUS","BWI","H","2","50","CJAAE","FIX","WV","US","K6","","RAVNN8","2","Deleted",""
"2026/03/19","AUS","BWI","H","2","55","RAVNN8","STAR","","","","","","2","Deleted",""
"2026/03/19","BDL","BWI","H","1","40","LAFLN","FIX","DE","US","K6","","MIIDY3","2","Deleted",""
"2026/03/19","BDL","BWI","H","1","45","MIIDY3","STAR","","","","","","2","Deleted",""
"2026/03/19","BDL","CLT","H","1","30","AIROW","FIX","VA","US","K6","","CHSLY6","2","Deleted",""
"2026/03/19","BDL","CLT","H","1","35","CHSLY6","STAR","","","","","","2","Deleted",""
"2026/03/19","BDR","BWI","H","1","35","LAFLN","FIX","DE","US","K6","","MIIDY3","2","Deleted",""
"2026/03/19","BDR","BWI","H","1","40","MIIDY3","STAR","","","","","","2","Deleted",""
"2026/03/19","BED","BWI","H","1","40","LAFLN","FIX","DE","US","K6","","MIIDY3","2","Deleted",""
"2026/03/19","BED","BWI","H","1","45","MIIDY3","STAR","","","","","","2","Deleted",""
"2026/03/19","BED","CLT","H","1","25","AIROW","FIX","VA","US","K6","","CHSLY6","2","Deleted",""
"2026/03/19","BED","CLT","H","1","30","CHSLY6","STAR","","","","","","2","Deleted",""
"2026/03/19","BGR","CLT","H","1","30","AIROW","FIX","VA","US","K6","","CHSLY6","2","Deleted",""
"2026/03/19","BGR","CLT","H","1","35","CHSLY6","STAR","","","","","","2","Deleted",""
"2026/03/19","BHM","BWI","H","2","30","THHMP","FIX","VA","US","K6","","RAVNN8","2","Deleted",""
"2026/03/19","BHM","BWI","H","2","35","RAVNN8","STAR","","","","","","2","Deleted",""
"2026/03/19","BNA","BWI","H","2","30","CJAAE","FIX","WV","US","K6","","RAVNN8","2","Deleted",""
"2026/03/19","BNA","BWI","H","2","35","RAVNN8","STAR","","","","","","2","Deleted",""
"2026/03/19","BOS","CLT","H","1","30","AIROW","FIX","VA","US","K6","","CHSLY6","2","Deleted",""
"2026/03/19","BOS","CLT","H","1","35","CHSLY6","STAR","","","","","","2","Deleted",""
"2026/03/19","BOS","MSY","H","1","55","MERDN","FIX","MS","US","K7","","TRSSH1","2","Deleted",""
"2026/03/19","BOS","MSY","H","1","60","TRSSH1","STAR","","","","","","2","Deleted",""
"2026/03/19","BRADD","CLT","NAR","1","20","AIROW","FIX","VA","US","K6","","CHSLY6","2","Deleted",""
"2026/03/19","BRADD","CLT","NAR","1","25","CHSLY6","STAR","","","","","","2","Deleted",""
"2026/03/19","BRADD","MSY","NAR","1","50","MERDN","FIX","MS","US","K7","","TRSSH1","2","Deleted",""
"2026/03/19","BRADD","MSY","NAR","1","55","TRSSH1","STAR","","","","","","2","Deleted",""
"2026/03/19","BTV","CLT","H","1","30","AIROW","FIX","VA","US","K6","","CHSLY6","2","Deleted",""
"2026/03/19","BTV","CLT","H","1","35","CHSLY6","STAR","","","","","","2","Deleted",""
"2026/03/19","BUF","CLT","H","1","15","LNDIZ","FIX","VA","US","K6","","PARQR4","2","Deleted",""
"2026/03/19","BUF","CLT","H","1","20","PARQR4","STAR","","","","","","2","Deleted",""
"2026/03/19","BWI","BTV","H","1","45","GRNMT","FIX","VT","US","K6","","BTV","2","Deleted",""
