"EFF_DATE","STAR_COMPUTER_CODE","ARTCC","BODY_NAME","BODY_SEQ","ARPT_ID","RWY_END_ID","File","Action","Mods"
"2026/03/19","APLES.EMMLN2","ZLA","APLES-RNDAL","1","HHR","ALL","2","Deleted",""
"2026/03/19","APLES.EMMLN2","ZLA","APLES-SLI","1","FUL","ALL","2","Deleted",""
"2026/03/19","APLES.EMMLN2","ZLA","APLES-SLI","1","LGB","ALL","2","Deleted",""
"2026/03/19","APLES.EMMLN2","ZLA","APLES-SLI","1","SLI","ALL","2","Deleted",""
"2026/03/19","APLES.EMMLN2","ZLA","APLES-SLI","2","SNA","ALL","2","Deleted",""
"2026/03/19","BANKR.BANKR5","ZTL","BANKR-BLNCE","1","CLT","36C","2","Deleted",""
"2026/03/19","BANKR.BANKR5","ZTL","BANKR-BLNCE","1","CLT","36L","2","Deleted",""
"2026/03/19","BANKR.BANKR5","ZTL","BANKR-BLNCE","1","CLT","36R","2","Deleted",""
"2026/03/19","BANKR.BANKR5","ZTL","BANKR-JRDEN","1","CLT","18C","2","Deleted",""
"2026/03/19","BANKR.BANKR5","ZTL","BANKR-JRDEN","1","CLT","18L","2","Deleted",""
"2026/03/19","BANKR.BANKR5","ZTL","BANKR-JRDEN","1","CLT","18R","2","Deleted",""
"2026/03/19","CAPKO.RAVNN8","ZDC","CAPKO-AMRTN","1","MTN","ALL","2","Deleted",""
"2026/03/19","CAPKO.RAVNN8","ZDC","CAPKO-DUDDS","1","BWI","33R","2","Deleted",""
"2026/03/19","CAPKO.RAVNN8","ZDC","CAPKO-FHRST","1","BWI","28","2","Deleted",""
"2026/03/19","CAPKO.RAVNN8","ZDC","CAPKO-HUTOO","1","BWI","10","2","Deleted",""
"2026/03/19","CAPKO.RAVNN8","ZDC","CAPKO-KOOLZ","1","BWI","33L","2","Deleted",""
"2026/03/19","CAPKO.RAVNN8","ZDC","CAPKO-RYJON","1","BWI","15L","2","Deleted",""
"2026/03/19","CAPKO.RAVNN8","ZDC","CAPKO-ZOEYY","1","BWI","15R","2","Deleted",""
"2026/03/19","CCR.CCR2","ZOA","CCR-ELKOE","1","SMF","ALL","2","Deleted",""
"2026/03/19","CHSLY.CHSLY6","ZTL","CHSLY-EPAYE","1","CLT","36C","2","Deleted",""
"2026/03/19","CHSLY.CHSLY6","ZTL","CHSLY-EPAYE","1","CLT","36L","2","Deleted",""
"2026/03/19","CHSLY.CHSLY6","ZTL","CHSLY-EPAYE","1","CLT","36R","2","Deleted",""
"2026/03/19","CHSLY.CHSLY6","ZTL","CHSLY-HEELZ","1","CLT","18C","2","Deleted",""
"2026/03/19","CHSLY.CHSLY6","ZTL","CHSLY-HEELZ","1","CLT","18L","2","Deleted",""
"2026/03/19","CHSLY.CHSLY6","ZTL","CHSLY-HEELZ","1","CLT","18R","2","Deleted",""
"2026/03/19","CLANG.CLANG7","ZID","CLANG","1","EYE","ALL","2","Deleted",""
"2026/03/19","CLANG.CLANG7","ZID","CLANG","1","IND","ALL","2","Deleted",""
"2026/03/19","CLANG.CLANG7","ZID","CLANG","1","MQJ","ALL","2","Deleted",""
"2026/03/19","FLLGG.STOCR4","ZTL","FLLGG-GATEE","1","CLT","36C","2","Deleted",""
"2026/03/19","FLLGG.STOCR4","ZTL","FLLGG-GATEE","1","CLT","36L","2","Deleted",""
"2026/03/19","FLLGG.STOCR4","ZTL","FLLGG-GATEE","1","CLT","36R","2","Deleted",""
"2026/03/19","FLLGG.STOCR4","ZTL","FLLGG-HANDO","1","CLT","18C","2","Deleted",""
"2026/03/19","FLLGG.STOCR4","ZTL","FLLGG-HANDO","1","CLT","18L","2","Deleted",""
"2026/03/19","FLLGG.STOCR4","ZTL","FLLGG-HANDO","1","CLT","18R","2","Deleted",""
"2026/03/19","JJENY.FILPZ4","ZTL","JJENY-FISHN","1","CLT","18C","2","Deleted",""
"2026/03/19","JJENY.FILPZ4","ZTL","JJENY-FISHN","1","CLT","18L","2","Deleted",""
"2026/03/19","JJENY.FILPZ4","ZTL","JJENY-FISHN","1","CLT","18R","2","Deleted",""
"2026/03/19","JJENY.FILPZ4","ZTL","JJENY-VALLL","1","CLT","36C","2","Deleted",""
"2026/03/19","JJENY.FILPZ4","ZTL","JJENY-VALLL","1","CLT","36L","2","Deleted",""
"2026/03/19","JJENY.FILPZ4","ZTL","JJENY-VALLL","1","CLT","36R","2","Deleted",""
"2026/03/19","JONZE.JONZE5","ZTL","JONZE-CHELE","1","CLT","36C","2","Deleted",""
"2026/03/19","JONZE.JONZE5","ZTL","JONZE-CHELE","1","CLT","36L","2","Deleted",""
"2026/03/19","JONZE.JONZE5","ZTL","JONZE-CHELE","1","CLT","36R","2","Deleted",""
"2026/03/19","JONZE.JONZE5","ZTL","JONZE-JRDEN","1","CLT","18C","2","Deleted",""
"2026/03/19","JONZE.JONZE5","ZTL","JONZE-JRDEN","1","CLT","18L","2","Deleted",""
"2026/03/19","JONZE.JONZE5","ZTL","JONZE-JRDEN","1","CLT","18R","2","Deleted",""
"2026/03/19","JOOLS.JOOLS1","ZTL","JOOLS-KEGGG","1","AFP","ALL","2","Deleted",""
