"EFF_DATE","ARRIVAL_NAME","AMENDMENT_NO","ARTCC","STAR_AMEND_EFF_DATE","RNAV_FLAG","STAR_COMPUTER_CODE","SERVED_ARPT","File","Action","Mods"
"2026/03/19","EMMLN","TWO","ZLA","2026/01/22","N","APLES.EMMLN2","FUL HHR LGB SLI SNA","2","Deleted",""
"2026/03/19","BANKR","FIVE","ZTL","2024/05/16","Y","BANKR.BANKR5","CLT","2","Deleted",""
"2026/03/19","RAVNN","EIGHT","ZDC","2025/04/17","Y","CAPKO.RAVNN8","BWI MTN","2","Deleted",""
"2026/03/19","CONCORD","TWO","ZOA","2012/11/15","N","CCR.CCR2","SMF","2","Deleted",""
"2026/03/19","CHSLY","SIX","ZTL","2024/05/16","Y","CHSLY.CHSLY6","CLT","2","Deleted",""
"2026/03/19","CLANG","SEVEN","ZID","2017/04/27","N","CLANG.CLANG7","EYE IND MQJ","2","Deleted",""
"2026/03/19","STOCR","FOUR","ZTL","2024/05/16","Y","FLLGG.STOCR4","CLT","2","Deleted",""
"2026/03/19","FILPZ","FOUR","ZTL","2024/05/16","Y","JJENY.FILPZ4","CLT","2","Deleted",""
"2026/03/19","JONZE","FIVE","ZTL","2024/05/16","Y","JONZE.JONZE5","CLT","2","Deleted",""
"2026/03/19","JOOLS","ONE","ZTL","2023/06/15","Y","JOOLS.JOOLS1","AFP AKH CLT DCM EHO EQY IPJ JQF LKR N52 RUQ UZA VUJ","2","Deleted",""
"2026/03/19","MIIDY","THREE","ZDC","2024/09/05","Y","MIIDY.MIIDY3","BWI MTN","2","Deleted",""
"2026/03/19","MNSTR","ONE","ZHU","2023/02/23","Y","MNSTR.MNSTR1","MSY NBG NEW","2","Deleted",""
"2026/03/19","QWENN","SIX","ZLC","2025/02/20","Y","QWENN.QWENN6","SLC","2","Deleted",""
"2026/03/19","RICED","FOUR","ZNY","2008/02/14","N","RICED.RICED4","DXR HPN","2","Deleted",""
"2026/03/19","MLLET","THREE","ZTL","2024/05/16","Y","RYFLE.MLLET3","CLT","2","Deleted",""
"2026/03/19","PARQR","FOUR","ZTL","2024/05/16","Y","SUZNN.PARQR4","CLT","2","Deleted",""
"2026/03/19","TAYTR","THREE","ZLC","2026/03/19","Y","TAYTR.TAYTR3","PVU","2","Deleted",""
"2026/03/19","TRSSH","ONE","ZHU","2023/10/05","Y","TRSSH.TRSSH1","MSY NBG NEW","2","Deleted",""
"2026/05/14","EMMLN","THREE","ZLA","2026/05/14","N","APLES.EMMLN3","FUL HHR LGB SLI SNA","2","Added",""
"2026/05/14","BANKR","SIX","ZTL","2026/05/14","Y","BANKR.BANKR6","CLT","2","Added",""
"2026/05/14","RAVNN","NINE","ZDC","2026/05/14","Y","CAPKO.RAVNN9","BWI MTN","2","Added",""
"2026/05/14","CHSLY","SEVEN","ZTL","2026/05/14","Y","CHSLY.CHSLY7","CLT","2","Added",""
"2026/05/14","MNSTR","TWO","ZHU","2026/05/14","Y","CLERY.MNSTR2","MSY NBG NEW","2","Added",""
"2026/05/14","EEGOR","ONE","ZNY","2026/05/14","Y","EEGOR.EEGOR1","DXR HPN","2","Added",""
"2026/05/14","FEVTA","ONE","ZOA","2026/05/14","Y","FEVTA.FEVTA1","SMF","2","Added",""
"2026/05/14","STOCR","FIVE","ZTL","2026/05/14","Y","FLLGG.STOCR5","CLT","2","Added",""
"2026/05/14","QWENN","SEVEN","ZLC","2026/05/14","Y","JAMMN.QWENN7","SLC","2","Added",""
"2026/05/14","FILPZ","FIVE","ZTL","2026/05/14","Y","JJENY.FILPZ5","CLT","2","Added",""
"2026/05/14","JONZE","SIX","ZTL","2026/05/14","Y","JONZE.JONZE6","CLT","2","Added",""
"2026/05/14","JOOLS","TWO","ZTL","2026/05/14","Y","JOOLS.JOOLS2","AFP AKH CLT DCM EHO EQY IPJ JQF LKR N52 RUQ UZA VUJ","2","Added",""
"2026/05/14","MIIDY","FOUR","ZDC","2026/05/14","Y","MIIDY.MIIDY4","BWI MTN","2","Added",""
"2026/05/14","MLLET","FOUR","ZTL","2026/05/14","Y","RYFLE.MLLET4","CLT","2","Added",""
"2026/05/14","CLANG","ONE","ZID","2026/05/14","Y","SNKPT.CLANG1","EYE GEZ HFY MQJ TYQ UMP","2","Added",""
"2026/05/14","PARQR","FIVE","ZTL","2026/05/14","Y","SUZNN.PARQR5","CLT","2","Added",""
"2026/05/14","TAYTR","FOUR","ZLC","2026/05/14","Y","TAYTR.TAYTR4","PVU","2","Added",""
"2026/05/14","TRSSH","TWO","ZHU","2026/05/14","Y","TRSSH.TRSSH2","MSY NBG NEW","2","Added",""
