"EFF_DATE","STAR_COMPUTER_CODE","ARTCC","ROUTE_PORTION_TYPE","ROUTE_NAME","BODY_SEQ","TRANSITION_COMPUTER_CODE","POINT_SEQ","POINT","ICAO_REGION_CODE","POINT_TYPE","NEXT_POINT","ARPT_RWY_ASSOC","File","Action","Mods"
"2026/03/19","APLES.EMMLN2","ZLA","BODY","APLES-RNDAL","1","","10","RNDAL","K2","RP   ","PDZ","HHR","2","Deleted",""
"2026/03/19","APLES.EMMLN2","ZLA","BODY","APLES-RNDAL","1","","20","PDZ","","VORTAC","RRIZE","HHR","2","Deleted",""
"2026/03/19","APLES.EMMLN2","ZLA","BODY","APLES-RNDAL","1","","30","RRIZE","K2","RP   ","CAPTZ","HHR","2","Deleted",""
"2026/03/19","APLES.EMMLN2","ZLA","BODY","APLES-RNDAL","1","","40","CAPTZ","K2","RP   ","APLES","HHR","2","Deleted",""
"2026/03/19","APLES.EMMLN2","ZLA","BODY","APLES-RNDAL","1","","50","APLES","K2","RP   ","","HHR","2","Deleted",""
"2026/03/19","APLES.EMMLN2","ZLA","BODY","APLES-SLI","1","","10","SLI","","VORTAC","AHEIM","FUL, LGB, SLI","2","Deleted",""
"2026/03/19","APLES.EMMLN2","ZLA","BODY","APLES-SLI","1","","20","AHEIM","K2","RP   ","DOWDD","FUL, LGB, SLI","2","Deleted",""
"2026/03/19","APLES.EMMLN2","ZLA","BODY","APLES-SLI","1","","30","DOWDD","K2","RP   ","PDZ","FUL, LGB, SLI","2","Deleted",""
"2026/03/19","APLES.EMMLN2","ZLA","BODY","APLES-SLI","1","","40","PDZ","","VORTAC","RRIZE","FUL, LGB, SLI","2","Deleted",""
"2026/03/19","APLES.EMMLN2","ZLA","BODY","APLES-SLI","1","","50","RRIZE","K2","RP   ","CAPTZ","FUL, LGB, SLI","2","Deleted",""
"2026/03/19","APLES.EMMLN2","ZLA","BODY","APLES-SLI","1","","60","CAPTZ","K2","RP   ","APLES","FUL, LGB, SLI","2","Deleted",""
"2026/03/19","APLES.EMMLN2","ZLA","BODY","APLES-SLI","1","","70","APLES","K2","RP   ","","FUL, LGB, SLI","2","Deleted",""
"2026/03/19","APLES.EMMLN2","ZLA","BODY","APLES-SLI","2","","10","SLI","","VORTAC","POXKU","SNA","2","Deleted",""
