"EFF_DATE","WEA_ID","CITY","STATE_CODE","COUNTRY_CODE","LAT_DEG","LAT_MIN","LAT_SEC","LAT_HEMIS","LAT_DECIMAL","LONG_DEG","LONG_MIN","LONG_SEC","LONG_HEMIS","LONG_DECIMAL","ELEV","SURVEY_METHOD_CODE","File","Action","Mods"
"2026/03/19","AQP","APPLETON","MN","US","45","13","39.0063","N","45.22750175","96","0","16.3059","W","-96.00452941","1021","E","1","Modified","LAT_SEC LAT_DECIMAL LONG_SEC LONG_DECIMAL"
"2026/05/14","AQP","APPLETON","MN","US","45","13","41.6001","N","45.22822225","96","0","10.2695","W","-96.00285263","1021","E","2","Modified","LAT_SEC LAT_DECIMAL LONG_SEC LONG_DECIMAL"
"2026/03/19","D95","LAPEER","MI","US","43","3","59.3","N","43.06647222","83","16","17.6","W","-83.27155555","835","E","1","Modified","LAT_MIN LAT_SEC LAT_DECIMAL LONG_SEC LONG_DECIMAL ELEV"
"2026/05/14","D95","LAPEER","MI","US","43","4","3.2016","N","43.067556","83","16","12.867","W","-83.27024083","829","E","2","Modified","LAT_MIN LAT_SEC LAT_DECIMAL LONG_SEC LONG_DECIMAL ELEV"
"2026/03/19","DTN","SHREVEPORT","LA","US","32","32","23.4492","N","32.539847","93","44","46.2724","W","-93.74618677","172","S","1","Modified","LAT_SEC LAT_DECIMAL LONG_SEC LONG_DECIMAL"
"2026/05/14","DTN","SHREVEPORT","LA","US","32","32","23.5267","N","32.53986852","93","44","46.1308","W","-93.74614744","172","S","2","Modified","LAT_SEC LAT_DECIMAL LONG_SEC LONG_DECIMAL"
"2026/03/19","ELO","ELY","MN","US","47","49","26.4471","N","47.82401308","91","49","45.5541","W","-91.82932058","1456","E","1","Modified","LAT_SEC LAT_DECIMAL LONG_SEC LONG_DECIMAL ELEV"
"2026/05/14","ELO","ELY","MN","US","47","49","5.8999","N","47.81830552","91","49","59.4804","W","-91.833189","1452","E","2","Modified","LAT_SEC LAT_DECIMAL LONG_SEC LONG_DECIMAL ELEV"
"2026/03/19","FOZ","BIGFORK","MN","US","47","46","59.4","N","47.78316666","93","39","11.8","W","-93.65327777","1345","E","1","Modified","LAT_SEC LAT_DECIMAL LONG_SEC LONG_DECIMAL ELEV"
"2026/05/14","FOZ","BIGFORK","MN","US","47","46","59.4881","N","47.78319113","93","39","11.8744","W","-93.65329844","1344","E","2","Modified","LAT_SEC LAT_DECIMAL LONG_SEC LONG_DECIMAL ELEV"
"2026/03/19","FSE","FOSSTON","MN","US","47","35","34.187","N","47.59282972","95","46","24.552","W","-95.77348666","1279","E","1","Modified","LAT_SEC LAT_DECIMAL LONG_SEC LONG_DECIMAL ELEV"
"2026/05/14","FSE","FOSSTON","MN","US","47","35","29.4834","N","47.59152316","95","46","15.0111","W","-95.77083641","1273","E","2","Modified","LAT_SEC LAT_DECIMAL LONG_SEC LONG_DECIMAL ELEV"
"2026/03/19","FSO","HIGHGATE","VT","US","44","56","27.9516","N","44.94109766","73","5","58.8524","W","-73.09968122","230","S","1","Modified","LAT_SEC LAT_DECIMAL LONG_SEC LONG_DECIMAL"
"2026/05/14","FSO","HIGHGATE","VT","US","44","56","27.9631","N","44.94110086","73","5","58.853","W","-73.09968138","230","S","2","Modified","LAT_SEC LAT_DECIMAL LONG_SEC LONG_DECIMAL"
"2026/03/19","FWQ","MONONGAHELA","PA","US","40","12","38.25","N","40.210625","79","50","4.69","W","-79.83463611","1228","S","2","Deleted",""
"2026/03/19","HWY","WARRENTON","VA","US","38","35","15","N","38.5875","77","42","54","W","-77.715","305","S","1","Modified","LAT_SEC LAT_DECIMAL LONG_SEC LONG_DECIMAL ELEV"
"2026/05/14","HWY","WARRENTON","VA","US","38","35","15.4719","N","38.58763108","77","42","54.2304","W","-77.715064","304","S","2","Modified","LAT_SEC LAT_DECIMAL LONG_SEC LONG_DECIMAL ELEV"
"2026/03/19","I23","WASHINGTON COURT HOUSE","OH","US","39","34","10.9231","N","39.56970086","83","25","26.0753","W","-83.4239098","978","S","1","Modified","LAT_SEC LAT_DECIMAL LONG_SEC LONG_DECIMAL ELEV SURVEY_METHOD_CODE"
"2026/05/14","I23","WASHINGTON COURT HOUSE","OH","US","39","34","19.08","N","39.57196666","83","25","28.34","W","-83.42453888","980","E","2","Modified","LAT_SEC LAT_DECIMAL LONG_SEC LONG_DECIMAL ELEV SURVEY_METHOD_CODE"
"2026/03/19","ILE","KILLEEN","TX","US","31","5","9","N","31.08583333","97","41","11.4","W","-97.6865","845","S","1","Modified","ELEV SURVEY_METHOD_CODE"
