"EFF_DATE","WEA_ID","CITY","STATE_CODE","COUNTRY_CODE","WEA_SVC_TYPE_CODE","WEA_AFFECT_AREA","File","Action","Mods"
"2026/03/19","FWQ","MONONGAHELA","PA","US","METAR","","2","Deleted",""
"2026/03/19","FWQ","MONONGAHELA","PA","US","NOTAM","","2","Deleted",""
"2026/03/19","FWQ","MONONGAHELA","PA","US","SA","","2","Deleted",""
"2026/03/19","FWQ","MONONGAHELA","PA","US","UA","","2","Deleted",""
"2026/05/14","1NA","ASHEVILLE","NC","US","METAR","","2","Added",""
"2026/05/14","1NA","ASHEVILLE","NC","US","SPECI","","2","Added",""
"2026/05/14","68S","DAVENPORT","WA","US","METAR","","2","Added",""
"2026/05/14","68S","DAVENPORT","WA","US","NOTAM","","2","Added",""
"2026/05/14","68S","DAVENPORT","WA","US","SA","","2","Added",""
"2026/05/14","68S","DAVENPORT","WA","US","SPECI","","2","Added",""
"2026/05/14","68S","DAVENPORT","WA","US","UA","","2","Added",""
"2026/05/14","AQP","APPLETON","MN","US","METAR","","2","Added",""
"2026/05/14","AQP","APPLETON","MN","US","SPECI","","2","Added",""
"2026/05/14","ARV","MINOCQUA-WOODRUFF","WI","US","METAR","","2","Added",""
"2026/05/14","ARV","MINOCQUA-WOODRUFF","WI","US","SPECI","","2","Added",""
"2026/05/14","BIL","BILLINGS","MT","US","METAR","","2","Added",""
"2026/05/14","CDD","CRANE LAKE","MN","US","METAR","","2","Added",""
"2026/05/14","CDD","CRANE LAKE","MN","US","SPECI","","2","Added",""
"2026/05/14","EKM","ELKHART","IN","US","METAR","","2","Added",""
"2026/05/14","ELO","ELY","MN","US","METAR","","2","Added",""
"2026/05/14","ELO","ELY","MN","US","SPECI","","2","Added",""
"2026/05/14","FGN","FLAG ISLAND","MN","US","METAR","","2","Added",""
"2026/05/14","FGN","FLAG ISLAND","MN","US","SPECI","","2","Added",""
"2026/05/14","GFK","GRAND FORKS","ND","US","METAR","","2","Added",""
"2026/05/14","JVY","JEFFERSONVILLE","IN","US","TAF","","2","Added",""
"2026/05/14","LKP","LAKE PLACID","NY","US","METAR","","2","Added",""
"2026/05/14","LKP","LAKE PLACID","NY","US","SPECI","","2","Added",""
"2026/05/14","MIE","MUNCIE","IN","US","METAR","","2","Added",""
"2026/05/14","MIE","MUNCIE","IN","US","SPECI","","2","Added",""
"2026/05/14","MWK","MOUNT AIRY","NC","US","METAR","","2","Added",""
"2026/05/14","OIC","NORWICH","NY","US","METAR","","2","Added",""
"2026/05/14","OIC","NORWICH","NY","US","SPECI","","2","Added",""
"2026/05/14","ONP","NEWPORT","OR","US","METAR","","2","Added",""
"2026/05/14","ONP","NEWPORT","OR","US","SPECI","","2","Added",""
"2026/05/14","OXI","KNOX","IN","US","METAR","","2","Added",""
"2026/05/14","SXU","SANTA ROSA","NM","US","SA","","2","Added",""
