"EFF_DATE","HP_NAME","HP_NO","STATE_CODE","COUNTRY_CODE","CHARTING_TYPE_DESC"
"2026/05/14","AABEE INT*GA*K7",1,"GA","US","IAP"
"2026/05/14","AADEN WP*GA*K7",1,"GA","US","ENROUTE HIGH"
"2026/05/14","AADEN WP*GA*K7",1,"GA","US","STAR"
"2026/05/14","AALAN WP*AZ*K2",1,"AZ","US","STAR"
"2026/05/14","AALLE WP*CO*K2",1,"CO","US","STAR"
"2026/05/14","AAMMO WP*NC*K7",1,"NC","US","MILITARY IAP"
"2026/05/14","AANNE INT*CA*K2",1,"CA","US","IAP"
"2026/05/14","AANZA WP*MN*K3",1,"MN","US","IAP"
"2026/05/14","AARCH WP*IL*K5",1,"IL","US","STAR"
"2026/05/14","AARGH WP*OK*K4",1,"OK","US","IAP"
"2026/05/14","AARNN WP*NC*K7",1,"NC","US","ENROUTE HIGH"
"2026/05/14","AASEN INT*WA*K1",1,"WA","US","MILITARY IAP"
"2026/05/14","AASEN INT*WA*K1",2,"WA","US","IAP"
"2026/05/14","AATAT WP*GA*K7",1,"GA","US","STAR"
"2026/05/14","AAYDE WP*WI*K5",1,"WI","US","SPECIAL IAP"
"2026/05/14","AAYDE WP*WI*K5",2,"WI","US","SPECIAL IAP"
"2026/05/14","AAYRR WP*WA*K1",1,"WA","US","STAR"
"2026/05/14","ABBEVILLE NDB*LA",1,"LA","US","IAP"
"2026/05/14","ABERDEEN VOR/DME*SD",1,"SD","US","IAP"
"2026/05/14","ABILENE VORTAC*TX",1,"TX","US","IAP"
"2026/05/14","ACACE WP*MN*K3",1,"MN","US","IAP"
"2026/05/14","ACAKO WP*MT*K1",1,"MT","US","IAP"
"2026/05/14","ACAPU WP*FL*K7",1,"FL","US","IAP"
"2026/05/14","ACDIV WP*MO*K3",1,"MO","US","IAP"
"2026/05/14","ACEBO WP*MN*K3",1,"MN","US","IAP"
"2026/05/14","ACEDI WP*KY*K5",1,"KY","US","IAP"
"2026/05/14","ACEDI WP*KY*K5",1,"KY","US","MILITARY IAP"
"2026/05/14","ACELA INT*CT*K6",1,"CT","US","IAP"
"2026/05/14","ACENO INT*NC*K7",1,"NC","US","MILITARY IAP"
"2026/05/14","ACENO WP*NC*K7",2,"NC","US","MILITARY IAP"
"2026/05/14","ACERT WP*OK*K4",1,"OK","US","IAP"
"2026/05/14","ACETY WP*CA*K2",1,"CA","US","IAP"
"2026/05/14","ACIDU WP*WI*K5",1,"WI","US","IAP"
"2026/05/14","ACINI WP*AZ*K2",1,"AZ","US","MILITARY IAP"
"2026/05/14","ACISA INT*IN*K5",1,"IN","US","IAP"
"2026/05/14","ACKEG WP*NE*K3",1,"NE","US","IAP"
"2026/05/14","ACKLE WP*TX*K4",1,"TX","US","IAP"
"2026/05/14","ACKME INT*TX*K4",1,"TX","US","STAR"
"2026/05/14","ACLIN INT*TX*K4",1,"TX","US","MILITARY IAP"
"2026/05/14","ACOKO WP*OK*K4",1,"OK","US","IAP"
"2026/05/14","ACOLA WP*TX*K4",1,"TX","US","IAP"
"2026/05/14","ACOLA WP*TX*K4",2,"TX","US","IAP"
"2026/05/14","ACORE INT*IL*K5",1,"IL","US","IAP"
"2026/05/14","ACOSI WP*UT*K2",1,"UT","US","IAP"
"2026/05/14","ACOSU WP*MN*K3",1,"MN","US","SPECIAL IAP"
"2026/05/14","ACOVE INT*NY*K6",1,"NY","US","ENROUTE HIGH"
"2026/05/14","ACOVE INT*NY*K6",1,"NY","US","ENROUTE LOW"
"2026/05/14","ACOVE INT*NY*K6",3,"NY","US","STAR"
"2026/05/14","ACOVE WP*NY*K6",2,"NY","US","STAR"
"2026/05/14","ACOVY WP*NV*K2",1,"NV","US","IAP"
"2026/05/14","ACOVY WP*NV*K2",1,"NV","US","MILITARY IAP"
"2026/05/14","ACROW WP*VA*K6",1,"VA","US","STAR"
"2026/05/14","ACTED WP*TX*K4",1,"TX","US","IAP"
"2026/05/14","ACUBO WP*KS*K3",1,"KS","US","IAP"
"2026/05/14","ACUFF INT*TX*K4",1,"TX","US","NOT REQUIRED"
"2026/05/14","ACUFF WP*TX*K4",2,"TX","US","IAP"
"2026/05/14","ACUGI WP*OK*K4",1,"OK","US","IAP"
"2026/05/14","ACUGO WP*ME*K6",1,"ME","US","SPECIAL IAP"
"2026/05/14","ACYOG WP*ME*K6",1,"ME","US","IAP"
"2026/05/14","ACZUP INT*MS*K7",1,"MS","US","IAP"
"2026/05/14","ACZUP WP*MS*K7",2,"MS","US","IAP"
"2026/05/14","ADAAM WP*FL*K7",1,"FL","US","IAP"
"2026/05/14","ADABE INT*MICRONESIA, FED STATES OF*K2",1,"","FM","IAP"
"2026/05/14","ADABN WP*KY*K5",1,"KY","US","IAP"
"2026/05/14","ADABY WP*NM*K2",1,"NM","US","IAP"
"2026/05/14","ADAMM WP*CA*K2",1,"CA","US","IAP"
"2026/05/14","ADANE INT*CO*K2",2,"CO","US","IAP"
"2026/05/14","ADANE WP*CO*K2",1,"CO","US","IAP"
"2026/05/14","ADANE WP*CO*K2",3,"CO","US","IAP"
"2026/05/14","ADAPT WP*GA*K7",1,"GA","US","MILITARY IAP"
"2026/05/14","ADAYI INT*GU*PG",1,"GU","US","IAP"
"2026/05/14","ADCOM INT*SC*K7",1,"SC","US","IAP"
"2026/05/14","ADDAY WP*OR*K1",1,"OR","US","IAP"
"2026/05/14","ADDERS VORTAC*IL",1,"IL","US","IAP"
"2026/05/14","ADDEY INT*NE*K3",1,"NE","US","NOT REQUIRED"
"2026/05/14","ADDIL WP*TX*K4",1,"TX","US","IAP"
"2026/05/14","ADEIN WP*TN*K7",1,"TN","US","ENROUTE HIGH"
"2026/05/14","ADEIN WP*TN*K7",1,"TN","US","STAR"
"2026/05/14","ADELA WP*KS*K3",1,"KS","US","IAP"
"2026/05/14","ADELE INT*WI*K5",1,"WI","US","IAP"
"2026/05/14","ADENO WP*MI*K5",1,"MI","US","IAP"
"2026/05/14","ADEXE WP*ID*K1",1,"ID","US","IAP"
"2026/05/14","ADEXE WP*ID*K1",1,"ID","US","SID"
"2026/05/14","ADEYO WP*WI*K5",1,"WI","US","SPECIAL IAP"
"2026/05/14","ADICA WP*KS*K3",1,"KS","US","IAP"
"2026/05/14","ADIER WP*MN*K3",1,"MN","US","IAP"
"2026/05/14","ADIOS WP*VA*K6",1,"VA","US","IAP"
"2026/05/14","ADIUM WP*NJ*K6",1,"NJ","US","IAP"
"2026/05/14","ADIVE WP*MS*K7",1,"MS","US","IAP"
"2026/05/14","ADIXE WP*OK*K4",1,"OK","US","IAP"
"2026/05/14","ADKAW WP*NC*K7",1,"NC","US","IAP"
"2026/05/14","ADLYN WP*GA*K7",1,"GA","US","STAR"
"2026/05/14","ADOBE WP*OK*K4",1,"OK","US","IAP"
"2026/05/14","ADOKE WP*AR*K4",1,"AR","US","IAP"
"2026/05/14","ADOMY WP*MN*K3",1,"MN","US","IAP"
"2026/05/14","ADOSE INT*IL*K5",2,"IL","US","IAP"
"2026/05/14","ADOSE WP*IL*K5",1,"IL","US","IAP"
"2026/05/14","ADOWS INT*OK*K4",1,"OK","US","MILITARY IAP"
"2026/05/14","ADOWS WP*OK*K4",2,"OK","US","MILITARY IAP"
"2026/05/14","ADOZO WP*NM*K2",1,"NM","US","IAP"
"2026/05/14","ADRYN WP*CA*K2",1,"CA","US","IAP"
"2026/05/14","ADTIN INT*GU*PG",1,"GU","US","MILITARY IAP"
"2026/05/14","ADUCA WP*AR*K4",1,"AR","US","IAP"
"2026/05/14","ADUGE WP*CA*K2",1,"CA","US","SPECIAL IAP"
"2026/05/14","ADUTE WP*ND*K3",1,"ND","US","IAP"
"2026/05/14","ADUVE WP*WA*K1",1,"WA","US","SPECIAL IAP"
"2026/05/14","ADUWU WP*NE*K3",1,"NE","US","IAP"
"2026/05/14","ADVAY INT*IN*K5",1,"IN","US","NOT REQUIRED"
"2026/05/14","ADVLL WP*PR*TJ",1,"PR","US","MILITARY IAP"
"2026/05/14","AECIA WP*CA*K2",1,"CA","US","MILITARY IAP"
"2026/05/14","AFAYA WP*IN*K5",1,"IN","US","SPECIAL IAP"
"2026/05/14","AFGUZ WP*IL*K5",1,"IL","US","IAP"
"2026/05/14","AFLAK WP*OH*K5",1,"OH","US","SPECIAL IAP"
"2026/05/14","AFLIH WP*KS*K3",1,"KS","US","IAP"
"2026/05/14","AFORD INT*OK*K4",1,"OK","US","IAP"
"2026/05/14","AFRED WP*VT*K6",1,"VT","US","IAP"
"2026/05/14","AFSIC WP*NE*K3",1,"NE","US","IAP"
"2026/05/14","AFUWA WP*TX*K4",1,"TX","US","SPECIAL IAP"
"2026/05/14","AFVEK WP*AK*PA",1,"AK","US","IAP"
"2026/05/14","AFWAV WP*ND*K3",1,"ND","US","IAP"
"2026/05/14","AGACI INT*IN*K5",2,"IN","US","IAP"
"2026/05/14","AGACI WP*IN*K5",1,"IN","US","IAP"
"2026/05/14","AGAIN WP*TX*K4",1,"TX","US","STAR"
"2026/05/14","AGAIN WP*TX*K4",2,"TX","US","STAR"
"2026/05/14","AGAZY INT*TX*K4",1,"TX","US","SPECIAL IAP"
"2026/05/14","AGEGE WP*AR*K4",1,"AR","US","IAP"
"2026/05/14","AGEKY WP*NE*K3",1,"NE","US","IAP"
"2026/05/14","AGENS WP*IA*K3",1,"IA","US","IAP"
"2026/05/14","AGEPE WP*AK*PA",1,"AK","US","IAP"
"2026/05/14","AGHAN WP*NE*K3",1,"NE","US","IAP"
"2026/05/14","AGIGY WP*TN*K7",1,"TN","US","IAP"
"2026/05/14","AGIVE WP*AK*PA",1,"AK","US","IAP"
"2026/05/14","AGIXE WP*ME*K6",1,"ME","US","SPECIAL IAP"
"2026/05/14","AGODY WP*NORTHERN MARIANA ISLANDS*K2",1,"","MP","IAP"
"2026/05/14","AGOLY WP*MARSHALL ISLANDS*K2",1,"","MH","MILITARY IAP"
"2026/05/14","AGOPY WP*IA*K3",1,"IA","US","SPECIAL IAP"
"2026/05/14","AGUFY WP*SD*K3",1,"SD","US","IAP"
"2026/05/14","AGUSE INT*FL*K7",1,"FL","US","MILITARY IAP"
"2026/05/14","AGUSE WP*FL*K7",2,"FL","US","MILITARY IAP"
"2026/05/14","AGVOY WP*MO*K3",1,"MO","US","IAP"
"2026/05/14","AGXAN INT*AK*PA",1,"AK","US","IAP"
"2026/05/14","AHAMU WP*OK*K4",1,"OK","US","IAP"
"2026/05/14","AHASS WP*TX*K4",1,"TX","US","IAP"
"2026/05/14","AHCUJ WP*AK*PA",1,"AK","US","IAP"
"2026/05/14","AHEIM INT*CA*K2",1,"CA","US","IAP"
"2026/05/14","AHEIM INT*CA*K2",1,"CA","US","MILITARY IAP"
"2026/05/14","AHHUJ WP*NE*K3",1,"NE","US","IAP"
"2026/05/14","AHIDO WP*GA*K7",1,"GA","US","IAP"
"2026/05/14","AHJUN WP*GA*K7",1,"GA","US","IAP"
"2026/05/14","AHLER WP*VA*K6",1,"VA","US","IAP"
"2026/05/14","AHOBY WP*OK*K4",1,"OK","US","IAP"
"2026/05/14","AHOFU WP*SD*K3",1,"SD","US","IAP"
"2026/05/14","AHOTO WP*TX*K4",1,"TX","US","IAP"
"2026/05/14","AHUFU WP*NE*K3",1,"NE","US","IAP"
"2026/05/14","AHUGE WP*TX*K4",1,"TX","US","MILITARY IAP"
"2026/05/14","AIDIN WP*AK*PA",1,"AK","US","SPECIAL IAP"
"2026/05/14","AIMEE INT*TX*K4",1,"TX","US","MILITARY IAP"
"2026/05/14","AINSWORTH VOR/DME*NE",1,"NE","US","IAP"
