fieldName,rawValue,rowCount,airwayCount,airwayPathCount,sampleAirways,sampleSourceRows
AWY_SEG_GAP_FLAG,N,19127,1469,1519,A216|A220|A221|A222|A315|A331|A332|A337|A339|A342,2|3|4|5|6|7|8|9|10|11
AWY_SEG_GAP_FLAG,Y,191,153,155,J10|J100|J101|J128|J134|J138|J146|J20|J24|J501,819|833|848|1079|1123|1157|1207|1541|1660|2028
SIGNAL_GAP_FLAG,N,19231,1469,1519,A216|A220|A221|A222|A315|A331|A332|A337|A339|A342,2|3|4|5|6|7|8|9|10|11
SIGNAL_GAP_FLAG,Y,87,72,72,J100|J101|J107|J110|J115|J123|J128|J13|J134|J146,829|831|838|905|930|933|934|988|1036|1075
DOGLEG,N,14910,1315,1365,A216|A220|A221|A222|A315|A331|A332|A337|A339|A342,2|3|4|5|6|7|8|9|10|11
DOGLEG,Y,4408,914,932,A699|AR3|AR6|AR9|BR10L|BR1L|BR21V|BR22V|BR2L|BR49V,178|179|270|293|308|460|461|466|469|479
MEA_GAP,,18977,1469,1519,A216|A220|A221|A222|A315|A331|A332|A337|A339|A342,2|3|4|5|6|7|8|9|10|11
MEA_GAP,N,218,164,166,A699|BR9L|G467|G575|G629|J1|J10|J100|J101|J126,175|176|177|612|711|736|747|789|819|833
MEA_GAP,U,123,38,38,J149|J162|J34|J50|V1|V12|V139|V154|V157|V159,1224|1225|1343|1344|1345|1346|1826|1827|1828|1829
MIN_ENROUTE_ALT_DIR,,18474,1468,1518,A216|A220|A221|A222|A315|A331|A332|A337|A339|A342,2|3|4|5|6|7|8|9|10|11
MIN_ENROUTE_ALT_DIR,E BND,134,56,58,V10|V101|V105|V120|V121|V122|V134|V137|V140|V142,9621|9670|9671|9672|9746|9747|10105|10111|10171|10172
MIN_ENROUTE_ALT_DIR,N BND,117,45,45,V11|V13|V143|V163|V165|V17|V199|V20|V21|V218,9817|9818|10302|10709|11245|11321|11426|12055|12056|12057
MIN_ENROUTE_ALT_DIR,NE BND,109,41,41,V1|V101|V12|V121|V122|V139|V14|V150|V172|V187,9565|9566|9567|9691|9692|10103|10104|10168|10170|10177
MIN_ENROUTE_ALT_DIR,NW BND,99,44,44,V101|V105|V137|V165|V17|V187|V197|V20|V23|V25,9688|9755|9756|10507|11272|11273|11296|11297|11298|11305
MIN_ENROUTE_ALT_DIR,S BND,57,27,27,V101|V133|V139|V182|V195|V23|V231|V253|V27|V327,9689|10402|10403|10552|11655|11656|11953|11954|11955|12831
MIN_ENROUTE_ALT_DIR,SE BND,91,37,37,V107|V13|V137|V165|V187|V2|V20|V217|V23|V248,9770|9778|9779|9780|9781|10331|10508|10521|10522|11300
MIN_ENROUTE_ALT_DIR,SW BND,84,37,37,V112|V113|V12|V122|V142|V150|V152|V17|V187|V190,9877|9878|9879|9880|9908|10069|10070|10188|10196|10694
MIN_ENROUTE_ALT_DIR,W BND,153,62,63,V10|V114|V12|V121|V122|V128|V134|V136|V14|V140,9610|9611|9939|10093|10094|10095|10165|10198|10257|10258
MIN_ENROUTE_ALT_OPPOSITE_DIR,,18474,1468,1518,A216|A220|A221|A222|A315|A331|A332|A337|A339|A342,2|3|4|5|6|7|8|9|10|11
MIN_ENROUTE_ALT_OPPOSITE_DIR,E BND,152,62,63,V10|V114|V12|V121|V122|V128|V134|V136|V14|V140,9610|9611|9939|10093|10094|10095|10165|10198|10257|10258
MIN_ENROUTE_ALT_OPPOSITE_DIR,N BND,57,27,27,V101|V133|V139|V182|V195|V23|V231|V253|V27|V327,9689|10402|10403|10552|11655|11656|11953|11954|11955|12831
MIN_ENROUTE_ALT_OPPOSITE_DIR,NE BND,84,37,37,V112|V113|V12|V122|V142|V150|V152|V17|V187|V190,9877|9878|9879|9880|9908|10069|10070|10188|10196|10694
MIN_ENROUTE_ALT_OPPOSITE_DIR,NW BND,95,38,38,V107|V13|V137|V165|V187|V2|V20|V217|V23|V248,9770|9778|9779|9780|9781|10331|10508|10521|10522|11300
MIN_ENROUTE_ALT_OPPOSITE_DIR,S BND,117,45,45,V11|V13|V143|V163|V165|V17|V199|V20|V21|V218,9817|9818|10302|10709|11245|11321|11426|12055|12056|12057
MIN_ENROUTE_ALT_OPPOSITE_DIR,SE BND,100,45,45,V101|V105|V137|V16|V165|V17|V187|V197|V20|V23,9688|9755|9756|10507|11154|11272|11273|11296|11297|11298
MIN_ENROUTE_ALT_OPPOSITE_DIR,SW BND,109,41,41,V1|V101|V12|V121|V122|V139|V14|V150|V172|V187,9565|9566|9567|9691|9692|10103|10104|10168|10170|10177
MIN_ENROUTE_ALT_OPPOSITE_DIR,W BND,130,56,57,V10|V101|V105|V120|V121|V122|V134|V137|V140|V142,9621|9670|9671|9672|9746|9747|10105|10111|10171|10172
GPS_MIN_ENROUTE_ALT_DIR,,19317,1469,1519,A216|A220|A221|A222|A315|A331|A332|A337|A339|A342,2|3|4|5|6|7|8|9|10|11
GPS_MIN_ENROUTE_ALT_DIR,SW BND,1,1,1,T252,6173
GPS_MEA_OPPOSITE_DIR,,19317,1469,1519,A216|A220|A221|A222|A315|A331|A332|A337|A339|A342,2|3|4|5|6|7|8|9|10|11
GPS_MEA_OPPOSITE_DIR,NE BND,1,1,1,T252,6173
