airwayId,airwayLocation,pointSeq,currentPoint,nextPoint,gapFlagActive,signalGapFlagActive,meaGapActive,doglegActive,isTerminalPoint,hasCurrentCleanNextEdge,gapPositionClass,sourceRowNumber
A699,C,10,SUMRS,LOUIZ,false,false,true,false,false,true,mea_unusable,175
A699,C,20,LOUIZ,HOOKY,false,false,true,false,false,true,mea_unusable,176
A699,C,30,HOOKY,NUCAR,false,false,true,false,false,true,mea_unusable,177
A699,C,40,NUCAR,STIFF,false,false,false,true,false,true,dogleg_turn_point,178
A699,C,50,STIFF,RAMJT,false,false,false,true,false,true,dogleg_turn_point,179
AR3,C,80,CASPR,SCOBY,false,false,false,true,false,true,dogleg_turn_point,270
AR6,C,40,APOLO,PETEE,false,false,false,true,false,true,dogleg_turn_point,293
AR9,C,70,OUTES,ETMEY,false,false,false,true,false,true,dogleg_turn_point,308
BR10L,C,30,HAANA,MRRSH,false,false,false,true,false,true,dogleg_turn_point,460
BR10L,C,40,MRRSH,BNTTZ,false,false,false,true,false,true,dogleg_turn_point,461
BR1L,C,40,MAMML,DIAZZ,false,false,false,true,false,true,dogleg_turn_point,466
BR1L,C,70,BRRGO,AVNEY,false,false,false,true,false,true,dogleg_turn_point,469
BR21V,C,30,KIXAL,WALIK,false,false,false,true,false,true,dogleg_turn_point,479
BR22V,C,30,WIERS,OYSTA,false,false,false,true,false,true,dogleg_turn_point,484
BR22V,C,40,OYSTA,CAREY,false,false,false,true,false,true,dogleg_turn_point,485
BR2L,C,30,WRECK,SOLEI,false,false,false,true,false,true,dogleg_turn_point,491
BR2L,C,70,TOMAZ,BURTZ,false,false,false,true,false,true,dogleg_turn_point,495
BR2L,C,90,GOVET,JUELE,false,false,false,true,false,true,dogleg_turn_point,497
BR49V,C,30,JUNUR,FOWEE,false,false,false,true,false,true,dogleg_turn_point,501
BR49V,C,40,FOWEE,LUCSS,false,false,false,true,false,true,dogleg_turn_point,502
BR53V,C,60,RAJAY,PRUNE,false,false,false,true,false,true,dogleg_turn_point,513
BR54V,C,50,OYSTA,CAREY,false,false,false,true,false,true,dogleg_turn_point,523
BR55V,C,30,PREDA,BEECH,false,false,false,true,false,true,dogleg_turn_point,529
BR55V,C,60,RAJAY,PRUNE,false,false,false,true,false,true,dogleg_turn_point,532
BR57V,C,50,CAREY,MAJUR,false,false,false,true,false,true,dogleg_turn_point,544
BR63V,C,50,ULAMA,ZFP,false,false,false,true,false,true,dogleg_turn_point,557
BR63V,C,100,HANKX,MELON,false,false,false,true,false,true,dogleg_turn_point,562
BR64V,C,30,QEPRO,KUCEP,false,false,false,true,false,true,dogleg_turn_point,568
BR64V,C,60,HEATT,MRLIN,false,false,false,true,false,true,dogleg_turn_point,571
BR66V,C,20,JANUS,PADUS,false,false,false,true,false,true,dogleg_turn_point,585
BR68V,C,20,MRLIN,MUNRO,false,false,false,true,false,true,dogleg_turn_point,589
BR69V,C,60,BENZI,JOLTS,false,false,false,true,false,true,dogleg_turn_point,597
BR70V,C,30,PADUS,ZFP,false,false,false,true,false,true,dogleg_turn_point,604
BR70V,C,60,MRRSH,ZQA,false,false,false,true,false,true,dogleg_turn_point,607
