airwayId,airwayLocation,pointSeq,currentSegValue,currentSegType,nextRowPointSeq,nextRowSegValue,nextSegRaw,nextSegMatchesNextRow,magCourse,oppMagCourse,magCourseDistance,gapFlag,signalGapFlag,dogleg,isTerminalPoint,segmentAttributePresent,sourceRowNumber
A216,C,10,MONPI,WP   ,20,OATSS,OATSS,true,163.39,342.23,269.2,N,N,N,false,true,2
A216,C,20,OATSS,WP   ,30,RIDLL,RIDLL,true,161.79,341.59,43.21,N,N,N,false,true,3
A216,C,30,RIDLL,WP   ,40,LOEBB,LOEBB,true,177.2,356.13,229.1,N,N,N,false,true,4
A216,C,40,LOEBB,WP   ,50,HOOVR,HOOVR,true,176.13,355.51,139.29,N,N,N,false,true,5
A216,C,50,HOOVR,WP   ,60,GALEE,GALEE,true,170.17,348.93,297.19,N,N,N,false,true,6
A216,C,60,GALEE,WP   ,70,FACED,FACED,true,173.5,352.4,299.42,N,N,N,false,true,7
A216,C,70,FACED,WP   ,,,,,,,,N,N,N,true,true,8
A220,C,10,MAEVA,WP   ,20,CRONN,CRONN,true,14.03,194.29,341.03,N,N,N,false,true,9
A220,C,20,CRONN,WP   ,30,BINGE,BINGE,true,14.29,194.41,504.35,N,N,N,false,true,10
A220,C,30,BINGE,WP   ,40,AHNDO,AHNDO,true,14.89,195.05,524.93,N,N,N,false,true,11
A220,C,40,AHNDO,WP   ,50,MANEY,MANEY,true,13.59,194.16,498.05,N,N,N,false,true,12
A220,C,50,MANEY,WP   ,60,MAFIC,MAFIC,true,14.17,194.88,255.06,N,N,N,false,true,13
A220,C,60,MAFIC,WP   ,70,CINNY,CINNY,true,15.97,196.09,30.15,N,N,N,false,true,14
A220,C,70,CINNY,WP   ,,,,,194.48,14.39,30.15,N,N,N,true,true,15
A221,C,10,CULPS,RP   ,20,ERTTS,ERTTS,true,21.84,201.89,11,N,N,N,false,true,16
A221,C,20,ERTTS,RP   ,30,MONIE,MONIE,true,21.89,201.94,13,N,N,N,false,true,17
A221,C,30,MONIE,RP   ,40,LULJY,LULJY,true,21.94,202.06,28,N,N,N,false,true,18
A221,C,40,LULJY,RP   ,50,HEXUG,HEXUG,true,22.03,202.05,3,N,N,N,false,true,19
A221,C,50,HEXUG,RP   ,60,WILLE,WILLE,true,22.07,202.1,7.97,N,N,N,false,true,20
A221,C,60,WILLE,RP   ,,,,,,,,N,N,N,true,true,21
A222,C,10,UNZ,VORTAC,20,CLANS,CLANS,true,112.3,292.02,100.23,N,N,N,false,true,22
A222,C,20,CLANS,WP   ,30,AXIDE,AXIDE,true,111.92,291.81,43.61,N,N,N,false,true,23
A222,C,30,AXIDE,WP   ,40,FIBSS,FIBSS,true,111.82,291.48,114.28,N,N,N,false,true,24
A222,C,40,FIBSS,WP   ,50,KRONK,KRONK,true,111.46,290.29,349,N,N,N,false,true,25
A222,C,50,KRONK,WP   ,60,ADUFO,ADUFO,true,116.74,295.8,249.32,N,N,N,false,true,26
A222,C,60,ADUFO,RP   ,70,PNI,PNI,true,114.35,294.4,30,N,N,N,false,true,27
A222,C,70,PNI,NDB/DME,80,AXTEN,AXTEN,true,102.91,282.82,30,N,N,N,false,true,28
A222,C,80,AXTEN,WP   ,90,UKS,UKS,true,102.81,281.93,270.36,N,N,N,false,true,29
A222,C,90,UKS,NDB/DME,100,STEFF,STEFF,true,47.3,227.28,168.46,N,N,N,false,true,30
A222,C,100,STEFF,WP   ,110,RASON,RASON,true,47.25,227.34,180.02,N,N,N,false,true,31
A222,C,110,RASON,WP   ,,,,,,,,N,N,N,true,true,32
A315,C,10,ZBV,VOR/DME,20,SWIMM,SWIMM,true,135.35,315.46,18.46,N,N,N,false,true,33
A315,C,20,SWIMM,RP   ,30,TINKY,TINKY,true,135.41,315.69,46.87,N,N,N,false,true,34
A315,C,30,TINKY,RP   ,40,PEKRE,PEKRE,true,135.69,315.81,21.77,N,N,N,false,true,35
A315,C,40,PEKRE,RP   ,50,JAYEE,JAYEE,true,135.82,315.97,27.38,N,N,N,false,true,36
A315,C,50,JAYEE,RP   ,60,HODGY,HODGY,true,135.97,316.11,24.26,N,N,N,false,true,37
A315,C,60,HODGY,RP   ,70,AMBIS,AMBIS,true,136.1,316.31,38.18,N,N,N,false,true,38
A315,C,70,AMBIS,RP   ,80,DUNNO,DUNNO,true,141.32,322.13,71.09,N,N,N,false,true,39
A315,C,80,DUNNO,WP   ,90,ACMEE,ACMEE,true,142.12,322.84,66.29,N,N,N,false,true,40
A315,C,90,ACMEE,RP   ,100,KNSLY,KNSLY,true,142.8,323.93,105.86,N,N,N,false,true,41
