airwayId,airwayLocation,airwayStringRaw,airwayStringTokens,orderedSegValues,tokenCount,pointRowCount,exactTokenMatch,normalizedTokenMatch,firstMismatchIndex,mismatchReason
A216,C,MONPI OATSS RIDLL LOEBB HOOVR GALEE FACED,MONPI|OATSS|RIDLL|LOEBB|HOOVR|GALEE|FACED,MONPI|OATSS|RIDLL|LOEBB|HOOVR|GALEE|FACED,7,7,true,true,,exact_match
A220,C,MAEVA CRONN BINGE AHNDO MANEY MAFIC CINNY,MAEVA|CRONN|BINGE|AHNDO|MANEY|MAFIC|CINNY,MAEVA|CRONN|BINGE|AHNDO|MANEY|MAFIC|CINNY,7,7,true,true,,exact_match
A221,C,CULPS ERTTS MONIE LULJY HEXUG WILLE,CULPS|ERTTS|MONIE|LULJY|HEXUG|WILLE,CULPS|ERTTS|MONIE|LULJY|HEXUG|WILLE,6,6,true,true,,exact_match
A222,C,UNZ CLANS AXIDE FIBSS KRONK ADUFO PNI AXTEN UKS STEFF RASON,UNZ|CLANS|AXIDE|FIBSS|KRONK|ADUFO|PNI|AXTEN|UKS|STEFF|RASON,UNZ|CLANS|AXIDE|FIBSS|KRONK|ADUFO|PNI|AXTEN|UKS|STEFF|RASON,11,11,true,true,,exact_match
A315,C,ZBV SWIMM TINKY PEKRE JAYEE HODGY AMBIS DUNNO ACMEE KNSLY JOSES,ZBV|SWIMM|TINKY|PEKRE|JAYEE|HODGY|AMBIS|DUNNO|ACMEE|KNSLY|JOSES,ZBV|SWIMM|TINKY|PEKRE|JAYEE|HODGY|AMBIS|DUNNO|ACMEE|KNSLY|JOSES,11,11,true,true,,exact_match
A331,C,ZIGIE ZOULU ZEMOM ZINNO ZAGER ZANNG SEDAR,ZIGIE|ZOULU|ZEMOM|ZINNO|ZAGER|ZANNG|SEDAR,ZIGIE|ZOULU|ZEMOM|ZINNO|ZAGER|ZANNG|SEDAR,7,7,true,true,,exact_match
A332,C,AUNTI HALLI HELOP HEKAB HEMLO,AUNTI|HALLI|HELOP|HEKAB|HEMLO,AUNTI|HALLI|HELOP|HEKAB|HEMLO,5,5,true,true,,exact_match
A337,C,JUNIE AXIDE FONUG SNAPP TEEDE TEGOD,JUNIE|AXIDE|FONUG|SNAPP|TEEDE|TEGOD,JUNIE|AXIDE|FONUG|SNAPP|TEEDE|TEGOD,6,6,true,true,,exact_match
A339,C,SHREE WRNNR TILLY KEITH,SHREE|WRNNR|TILLY|KEITH,SHREE|WRNNR|TILLY|KEITH,4,4,true,true,,exact_match
A342,A,NUZAN OPAKE PINSO AMOND DRAPP CRYPT CDB,NUZAN|OPAKE|PINSO|AMOND|DRAPP|CRYPT|CDB,NUZAN|OPAKE|PINSO|AMOND|DRAPP|CRYPT|CDB,7,7,true,true,,exact_match
A450,C,CAHYO TNUGE PIGFA LOEBB BUCAT UNZ BAGBE HOPPY FONUG STINE DEWSS JIMOS NGUEN NATIE RESEE SYSTA BRIUN HOOPA KATHS,CAHYO|TNUGE|PIGFA|LOEBB|BUCAT|UNZ|BAGBE|HOPPY|FONUG|STINE|DEWSS|JIMOS|NGUEN|NATIE|RESEE|SYSTA|BRIUN|HOOPA|KATHS,CAHYO|TNUGE|PIGFA|LOEBB|BUCAT|UNZ|BAGBE|HOPPY|FONUG|STINE|DEWSS|JIMOS|NGUEN|NATIE|RESEE|SYSTA|BRIUN|HOOPA|KATHS,19,19,true,true,,exact_match
A509,C,URSUS ELLEE EONNS JURER DHP MARCI,URSUS|ELLEE|EONNS|JURER|DHP|MARCI,URSUS|ELLEE|EONNS|JURER|DHP|MARCI,6,6,true,true,,exact_match
A517,C,ZPATA PJM,ZPATA|PJM,ZPATA|PJM,2,2,true,true,,exact_match
A554,C,LAMER RODRK CERDA EYSEL NETTA GTK TAANA SEKAR,LAMER|RODRK|CERDA|EYSEL|NETTA|GTK|TAANA|SEKAR,LAMER|RODRK|CERDA|EYSEL|NETTA|GTK|TAANA|SEKAR,8,8,true,true,,exact_match
A555,C,ILURI PORQE COY VEDAS TUUNA DDP IDAHO HARDE GRADI KARRN SEBUG COCBU GTK MAYAG RATTL EGANN MICAS BTLER GUANA INDEE DUKKY GEROT DONEZ BOSAR LEPAS ZQA HINZY PRUNE RAJAY ZBV,ILURI|PORQE|COY|VEDAS|TUUNA|DDP|IDAHO|HARDE|GRADI|KARRN|SEBUG|COCBU|GTK|MAYAG|RATTL|EGANN|MICAS|BTLER|GUANA|INDEE|DUKKY|GEROT|DONEZ|BOSAR|LEPAS|ZQA|HINZY|PRUNE|RAJAY|ZBV,ILURI|PORQE|COY|VEDAS|TUUNA|DDP|IDAHO|HARDE|GRADI|KARRN|SEBUG|COCBU|GTK|MAYAG|RATTL|EGANN|MICAS|BTLER|GUANA|INDEE|DUKKY|GEROT|DONEZ|BOSAR|LEPAS|ZQA|HINZY|PRUNE|RAJAY|ZBV,30,30,true,true,,exact_match
A578,C,PNI AFOYU FENSE,PNI|AFOYU|FENSE,PNI|AFOYU|FENSE,3,3,true,true,,exact_match
A579,C,CARRP CHEEM CROBY CEBUR CUFFY,CARRP|CHEEM|CROBY|CEBUR|CUFFY,CARRP|CHEEM|CROBY|CEBUR|CUFFY,5,5,true,true,,exact_match
A590,A,PASRO POWAL PLADO PINSO POOFF PINTT PTZGR PUGGY POETT SELDM PORGE HAMND,PASRO|POWAL|PLADO|PINSO|POOFF|PINTT|PTZGR|PUGGY|POETT|SELDM|PORGE|HAMND,PASRO|POWAL|PLADO|PINSO|POOFF|PINTT|PTZGR|PUGGY|POETT|SELDM|PORGE|HAMND,12,12,true,true,,exact_match
A597,C,ADBON OKOLE GALSS JUNIE OPLAR GUMGE UNZ WUVEN REEDE RICHH MONPI,ADBON|OKOLE|GALSS|JUNIE|OPLAR|GUMGE|UNZ|WUVEN|REEDE|RICHH|MONPI,ADBON|OKOLE|GALSS|JUNIE|OPLAR|GUMGE|UNZ|WUVEN|REEDE|RICHH|MONPI,11,11,true,true,,exact_match
A598,C,MARTI MAJ,MARTI|MAJ,MARTI|MAJ,2,2,true,true,,exact_match
A638,C,STT GUYRO SLUGO PJM,STT|GUYRO|SLUGO|PJM,STT|GUYRO|SLUGO|PJM,4,4,true,true,,exact_match
A699,C,SUMRS LOUIZ HOOKY NUCAR STIFF RAMJT PERMT PBI,SUMRS|LOUIZ|HOOKY|NUCAR|STIFF|RAMJT|PERMT|PBI,SUMRS|LOUIZ|HOOKY|NUCAR|STIFF|RAMJT|PERMT|PBI,8,8,true,true,,exact_match
A756,C,BODLO KNSLY ROSEA DUKKY,BODLO|KNSLY|ROSEA|DUKKY,BODLO|KNSLY|ROSEA|DUKKY,4,4,true,true,,exact_match
A766,C,SBI LAURL KLAMS KENGS KELPP KEHLI,SBI|LAURL|KLAMS|KENGS|KELPP|KEHLI,SBI|LAURL|KLAMS|KENGS|KELPP|KEHLI,6,6,true,true,,exact_match
A770,C,LEV DOLPH ALGAE KEHLI,LEV|DOLPH|ALGAE|KEHLI,LEV|DOLPH|ALGAE|KEHLI,4,4,true,true,,exact_match
AR10,C,DHP TURBO PREDA ZAPPA,DHP|TURBO|PREDA|ZAPPA,DHP|TURBO|PREDA|ZAPPA,4,4,true,true,,exact_match
