airwayId,airwayLocation,sourcePointRowCount,cleanOccurrenceCount,sourceExpectedAdjacentEdgeCount,cleanNextEdgeCount,sourceTerminalPoint,cleanTerminalPoint,pointCountMatches,edgeCountMatches,terminalPointMatches,coverageStatus
A216,C,7,7,6,6,FACED,FACED,true,true,true,exact_point_and_edge_coverage
A220,C,7,7,6,6,CINNY,CINNY,true,true,true,exact_point_and_edge_coverage
A221,C,6,6,5,5,WILLE,WILLE,true,true,true,exact_point_and_edge_coverage
A222,C,11,11,10,10,RASON,RASON,true,true,true,exact_point_and_edge_coverage
A315,C,11,11,10,10,JOSES,JOSES,true,true,true,exact_point_and_edge_coverage
A331,C,7,7,6,6,SEDAR,SEDAR,true,true,true,exact_point_and_edge_coverage
A332,C,5,5,4,4,HEMLO,HEMLO,true,true,true,exact_point_and_edge_coverage
A337,C,6,6,5,5,TEGOD,TEGOD,true,true,true,exact_point_and_edge_coverage
A339,C,4,4,3,3,KEITH,KEITH,true,true,true,exact_point_and_edge_coverage
A342,A,7,7,6,6,CDB,CDB,true,true,true,exact_point_and_edge_coverage
A450,C,19,19,18,18,KATHS,KATHS,true,true,true,exact_point_and_edge_coverage
A509,C,6,6,5,5,MARCI,MARCI,true,true,true,exact_point_and_edge_coverage
A517,C,2,2,1,1,PJM,PJM,true,true,true,exact_point_and_edge_coverage
A554,C,8,8,7,7,SEKAR,SEKAR,true,true,true,exact_point_and_edge_coverage
A555,C,30,30,29,29,ZBV,ZBV,true,true,true,exact_point_and_edge_coverage
A578,C,3,3,2,2,FENSE,FENSE,true,true,true,exact_point_and_edge_coverage
A579,C,5,5,4,4,CUFFY,CUFFY,true,true,true,exact_point_and_edge_coverage
A590,A,12,12,11,11,HAMND,HAMND,true,true,true,exact_point_and_edge_coverage
A597,C,11,11,10,10,MONPI,MONPI,true,true,true,exact_point_and_edge_coverage
A598,C,2,2,1,1,MAJ,MAJ,true,true,true,exact_point_and_edge_coverage
A638,C,4,4,3,3,PJM,PJM,true,true,true,exact_point_and_edge_coverage
A699,C,8,8,7,7,PBI,PBI,true,true,true,gap_requires_policy
A756,C,4,4,3,3,DUKKY,DUKKY,true,true,true,exact_point_and_edge_coverage
A766,C,6,6,5,5,KEHLI,KEHLI,true,true,true,exact_point_and_edge_coverage
A770,C,4,4,3,3,KEHLI,KEHLI,true,true,true,exact_point_and_edge_coverage
AR10,C,4,4,3,3,ZAPPA,ZAPPA,true,true,true,exact_point_and_edge_coverage
AR11,C,3,3,2,2,VALLY,VALLY,true,true,true,exact_point_and_edge_coverage
AR12,C,9,9,8,8,JAINS,JAINS,true,true,true,exact_point_and_edge_coverage
AR15,C,6,6,5,5,ORL,ORL,true,true,true,exact_point_and_edge_coverage
AR16,C,5,5,4,4,SEELO,SEELO,true,true,true,exact_point_and_edge_coverage
AR17,C,8,8,7,7,VKZ,VKZ,true,true,true,exact_point_and_edge_coverage
AR18,C,7,7,6,6,FLRDA,FLRDA,true,true,true,exact_point_and_edge_coverage
AR19,C,7,7,6,6,CHIEZ,CHIEZ,true,true,true,exact_point_and_edge_coverage
AR22,C,6,6,5,5,SKARP,SKARP,true,true,true,exact_point_and_edge_coverage
AR23,C,4,4,3,3,OZENA,OZENA,true,true,true,exact_point_and_edge_coverage
AR24,C,7,7,6,6,JAZZI,JAZZI,true,true,true,exact_point_and_edge_coverage
AR3,C,18,18,17,17,GARIC,GARIC,true,true,true,exact_point_and_edge_coverage
AR5,C,9,9,8,8,TROUT,TROUT,true,true,true,exact_point_and_edge_coverage
AR6,C,8,8,7,7,HOBEE,HOBEE,true,true,true,exact_point_and_edge_coverage
AR8,C,4,4,3,3,OXANA,OXANA,true,true,true,exact_point_and_edge_coverage
AR9,C,12,12,11,11,ZIBUT,ZIBUT,true,true,true,exact_point_and_edge_coverage
B200,C,7,7,6,6,FICKY,FICKY,true,true,true,exact_point_and_edge_coverage
B233,A,3,3,2,2,KUTAL,KUTAL,true,true,true,exact_point_and_edge_coverage
B24,C,13,13,12,12,WEBBB,WEBBB,true,true,true,exact_point_and_edge_coverage
B240,A,4,4,3,3,ENM,ENM,true,true,true,exact_point_and_edge_coverage
B241,A,4,4,3,3,RUSOR,RUSOR,true,true,true,exact_point_and_edge_coverage
B244,A,2,2,1,1,OTZ,OTZ,true,true,true,exact_point_and_edge_coverage
B326,C,5,5,4,4,NIXAM,NIXAM,true,true,true,exact_point_and_edge_coverage
B452,C,5,5,4,4,DOHRT,DOHRT,true,true,true,exact_point_and_edge_coverage
B453,C,12,12,11,11,MDO,MDO,true,true,true,exact_point_and_edge_coverage
B454,C,5,5,4,4,TONYS,TONYS,true,true,true,exact_point_and_edge_coverage
B474,C,5,5,4,4,ARTOP,ARTOP,true,true,true,exact_point_and_edge_coverage
B503,C,4,4,3,3,ZQA,ZQA,true,true,true,exact_point_and_edge_coverage
B520,C,11,11,10,10,ANU,ANU,true,true,true,exact_point_and_edge_coverage
B577,C,8,8,7,7,FICKY,FICKY,true,true,true,exact_point_and_edge_coverage
B580,C,5,5,4,4,BOILS,BOILS,true,true,true,exact_point_and_edge_coverage
