sourceTable,keyType,key,count,sourceRowIds
APT_BASE,airportKey,AIRPORT:0.00E+00,3,5354|10177|10224
NAV_BASE,legacyNavIdTypeKey,POINT:NAVAID:AA:NDB,2,2|3
NAV_BASE,legacyNavIdTypeKey,POINT:NAVAID:AB:NDB,2,6|7
NAV_BASE,legacyNavIdTypeKey,POINT:NAVAID:AI:NDB,2,33|34
NAV_BASE,legacyNavIdTypeKey,POINT:NAVAID:BR:NDB,3,165|166|167
NAV_BASE,legacyNavIdTypeKey,POINT:NAVAID:BT:NDB,2,178|179
NAV_BASE,legacyNavIdTypeKey,POINT:NAVAID:BU:NDB,2,185|186
NAV_BASE,legacyNavIdTypeKey,POINT:NAVAID:CO:NDB,2,274|275
NAV_BASE,legacyNavIdTypeKey,POINT:NAVAID:GB:NDB,3,564|565|566
NAV_BASE,legacyNavIdTypeKey,POINT:NAVAID:GF:NDB,2,584|585
NAV_BASE,legacyNavIdTypeKey,POINT:NAVAID:GM:NDB,2,602|603
NAV_BASE,legacyNavIdTypeKey,POINT:NAVAID:GR:NDB,2,619|620
NAV_BASE,legacyNavIdTypeKey,POINT:NAVAID:HO:NDB,2,694|695
NAV_BASE,legacyNavIdTypeKey,POINT:NAVAID:HU:NDB,2,718|719
NAV_BASE,legacyNavIdTypeKey,POINT:NAVAID:IL:NDB,4,763|764|765|766
NAV_BASE,legacyNavIdTypeKey,POINT:NAVAID:JN:NDB,2,815|816
NAV_BASE,legacyNavIdTypeKey,POINT:NAVAID:LF:NDB,2,856|857
NAV_BASE,legacyNavIdTypeKey,POINT:NAVAID:MA:NDB,2,921|922
NAV_BASE,legacyNavIdTypeKey,POINT:NAVAID:MB:NDB,2,933|934
NAV_BASE,legacyNavIdTypeKey,POINT:NAVAID:MD:NDB,2,949|950
NAV_BASE,legacyNavIdTypeKey,POINT:NAVAID:MF:NDB,2,958|959
NAV_BASE,legacyNavIdTypeKey,POINT:NAVAID:MW:NDB,3,1038|1039|1040
NAV_BASE,legacyNavIdTypeKey,POINT:NAVAID:OS:NDB,2,1138|1139
