airwayKey,airwayPathKey,fromOccurrenceKey,toOccurrenceKey,fromPointKey,toPointKey,fromPointSeq,toPointSeq,magCourse,oppositeMagCourse,minEnrouteAltFt,minEnrouteAltOppositeFt,gpsMinEnrouteAltFt,gapFlag,signalGapFlag,dogleg,forwardEndpointResolved,reverseDirectionEvidence,reverseEvidenceStatus,sourceTable,sourceRowId
AIRWAY:A216,AIRWAY_PATH:A216:C,AWY_OCC:A216:C:10,AWY_OCC:A216:C:20,POINT:FIX:MONPI:P,POINT:FIX:OATSS:P,10,20,163.39,342.23,18000,,,N,N,N,true,oppositeMagCourse,explicit_opposite_fields_present,AWY_SEG_ALT,2
AIRWAY:A216,AIRWAY_PATH:A216:C,AWY_OCC:A216:C:20,AWY_OCC:A216:C:30,POINT:FIX:OATSS:P,POINT:FIX:RIDLL:P,20,30,161.79,341.59,18000,,,N,N,N,true,oppositeMagCourse,explicit_opposite_fields_present,AWY_SEG_ALT,3
AIRWAY:A216,AIRWAY_PATH:A216:C,AWY_OCC:A216:C:30,AWY_OCC:A216:C:40,POINT:FIX:RIDLL:P,POINT:FIX:LOEBB:P,30,40,177.2,356.13,18000,,,N,N,N,true,oppositeMagCourse,explicit_opposite_fields_present,AWY_SEG_ALT,4
AIRWAY:A216,AIRWAY_PATH:A216:C,AWY_OCC:A216:C:40,AWY_OCC:A216:C:50,POINT:FIX:LOEBB:P,POINT:FIX:HOOVR:P,40,50,176.13,355.51,18000,,,N,N,N,true,oppositeMagCourse,explicit_opposite_fields_present,AWY_SEG_ALT,5
AIRWAY:A216,AIRWAY_PATH:A216:C,AWY_OCC:A216:C:50,AWY_OCC:A216:C:60,POINT:FIX:HOOVR:P,POINT:FIX:GALEE:P,50,60,170.17,348.93,18000,,,N,N,N,true,oppositeMagCourse,explicit_opposite_fields_present,AWY_SEG_ALT,6
AIRWAY:A216,AIRWAY_PATH:A216:C,AWY_OCC:A216:C:60,AWY_OCC:A216:C:70,POINT:FIX:GALEE:P,POINT:FIX:FACED:P,60,70,173.5,352.4,18000,,,N,N,N,true,oppositeMagCourse,explicit_opposite_fields_present,AWY_SEG_ALT,7
AIRWAY:A220,AIRWAY_PATH:A220:C,AWY_OCC:A220:C:10,AWY_OCC:A220:C:20,POINT:FIX:MAEVA:P,POINT:FIX:CRONN:P,10,20,14.03,194.29,5500,,,N,N,N,true,oppositeMagCourse,explicit_opposite_fields_present,AWY_SEG_ALT,9
AIRWAY:A220,AIRWAY_PATH:A220:C,AWY_OCC:A220:C:20,AWY_OCC:A220:C:30,POINT:FIX:CRONN:P,POINT:FIX:BINGE:P,20,30,14.29,194.41,5500,,,N,N,N,true,oppositeMagCourse,explicit_opposite_fields_present,AWY_SEG_ALT,10
AIRWAY:A220,AIRWAY_PATH:A220:C,AWY_OCC:A220:C:30,AWY_OCC:A220:C:40,POINT:FIX:BINGE:P,POINT:FIX:AHNDO:P,30,40,14.89,195.05,5500,,,N,N,N,true,oppositeMagCourse,explicit_opposite_fields_present,AWY_SEG_ALT,11
AIRWAY:A220,AIRWAY_PATH:A220:C,AWY_OCC:A220:C:40,AWY_OCC:A220:C:50,POINT:FIX:AHNDO:P,POINT:FIX:MANEY:P,40,50,13.59,194.16,5500,,,N,N,N,true,oppositeMagCourse,explicit_opposite_fields_present,AWY_SEG_ALT,12
