procedureKey,procedureType,procedurePathKey,routeName,routeNameFirstToken,routeNameLastToken,operationalStartRawPoint,operationalEndRawPoint,directionNameStatus
PROCEDURE:DP:1U71.LUNDI,DP,PROC_PATH:PROCEDURE:DP:1U71.LUNDI:BODY:PAPIE:1:,PAPIE,PAPIE,PAPIE,PAPIE,PAPIE,name_not_parseable
PROCEDURE:DP:77S2.EUG,DP,PROC_PATH:PROCEDURE:DP:77S2.EUG:BODY:EUG:1:,EUG,EUG,EUG,EUG,EUG,name_not_parseable
PROCEDURE:DP:ACCRA5.ACCRA,DP,PROC_PATH:PROCEDURE:DP:ACCRA5.ACCRA:BODY:FANZI-ACCRA:1:,FANZI-ACCRA,FANZI,ACCRA,FANZI,ACCRA,matches_operational_endpoints
PROCEDURE:DP:ACONY3.ACONY,DP,PROC_PATH:PROCEDURE:DP:ACONY3.ACONY:BODY:ACONY-PALDE:1:,ACONY-PALDE,ACONY,PALDE,ACONY,PALDE,matches_operational_endpoints
PROCEDURE:DP:ADAMM3.ADAMM,DP,PROC_PATH:PROCEDURE:DP:ADAMM3.ADAMM:BODY:ADAMM:1:,ADAMM,ADAMM,ADAMM,ADAMM,ADAMM,name_not_parseable
PROCEDURE:DP:ADELL8.ADELL,DP,PROC_PATH:PROCEDURE:DP:ADELL8.ADELL:BODY:ACITO-ADELL:1:,ACITO-ADELL,ACITO,ADELL,ACITO,ADELL,matches_operational_endpoints
PROCEDURE:DP:ADEXE1.ADEXE,DP,PROC_PATH:PROCEDURE:DP:ADEXE1.ADEXE:BODY:ADEXE:1:,ADEXE,ADEXE,ADEXE,ADEXE,ADEXE,name_not_parseable
PROCEDURE:DP:ADIBE1.ADIBE,DP,PROC_PATH:PROCEDURE:DP:ADIBE1.ADIBE:BODY:ADIBE:1:,ADIBE,ADIBE,ADIBE,ADIBE,ADIBE,name_not_parseable
PROCEDURE:DP:ADYOS3.ADYOS,DP,PROC_PATH:PROCEDURE:DP:ADYOS3.ADYOS:BODY:ABQ-ADYOS:1:,ABQ-ADYOS,ABQ,ADYOS,ABQ,ADYOS,matches_operational_endpoints
PROCEDURE:DP:ADYOS3.ADYOS,DP,PROC_PATH:PROCEDURE:DP:ADYOS3.ADYOS:BODY:ASTAH-ADYOS:1:,ASTAH-ADYOS,ASTAH,ADYOS,ASTAH,ADYOS,matches_operational_endpoints
PROCEDURE:DP:AEROZ2.AEROZ,DP,PROC_PATH:PROCEDURE:DP:AEROZ2.AEROZ:BODY:AMUSE-AEROZ:1:,AMUSE-AEROZ,AMUSE,AEROZ,AMUSE,AEROZ,matches_operational_endpoints
