procedureKey,procedureType,bodyPathKey,transitionPathKey,interfacePointRole,interfacePointKey,interfaceRawPoint,airwayOccurrenceCount,airwayPathCount,airwayCount,interfaceStatus
PROCEDURE:DP:1U71.LUNDI,DP,PROC_PATH:PROCEDURE:DP:1U71.LUNDI:BODY:PAPIE:1:,,body_operational_end,POINT:FIX:PAPIE:K1,PAPIE,0,0,0,provisional_body_end
PROCEDURE:DP:77S2.EUG,DP,PROC_PATH:PROCEDURE:DP:77S2.EUG:BODY:EUG:1:,,body_operational_end,POINT:NAVAID:EUG:VORTAC:US:OR:EUGENE,EUG,8,8,8,provisional_body_end
PROCEDURE:DP:ACCRA5.ACCRA,DP,PROC_PATH:PROCEDURE:DP:ACCRA5.ACCRA:BODY:FANZI-ACCRA:1:,,body_operational_end,POINT:FIX:ACCRA:K5,ACCRA,0,0,0,provisional_body_end
PROCEDURE:DP:ACONY3.ACONY,DP,PROC_PATH:PROCEDURE:DP:ACONY3.ACONY:BODY:ACONY-PALDE:1:,PROC_PATH:PROCEDURE:DP:ACONY3.ACONY:TRANSITION:SAPPO_TRANSITION:1:ACONY3.SAPPO,transition_operational_end,POINT:FIX:SAPPO:K,SAPPO,3,3,3,connected_to_airway_network
PROCEDURE:DP:ADAMM3.ADAMM,DP,PROC_PATH:PROCEDURE:DP:ADAMM3.ADAMM:BODY:ADAMM:1:,,body_operational_end,POINT:FIX:ADAMM:K2,ADAMM,2,2,2,provisional_body_end
PROCEDURE:DP:ADELL8.ADELL,DP,PROC_PATH:PROCEDURE:DP:ADELL8.ADELL:BODY:ACITO-ADELL:1:,PROC_PATH:PROCEDURE:DP:ADELL8.ADELL:TRANSITION:AKMIE_TRANSITION:1:ADELL8.AKMIE,transition_operational_end,POINT:FIX:AKMIE:K5,AKMIE,0,0,0,not_found_in_airway_network
PROCEDURE:DP:ADELL8.ADELL,DP,PROC_PATH:PROCEDURE:DP:ADELL8.ADELL:BODY:ACITO-ADELL:1:,PROC_PATH:PROCEDURE:DP:ADELL8.ADELL:TRANSITION:ARLYN_TRANSITION:1:ADELL8.ARLYN,transition_operational_end,POINT:FIX:ARLYN:K5,ARLYN,0,0,0,not_found_in_airway_network
PROCEDURE:DP:ADEXE1.ADEXE,DP,PROC_PATH:PROCEDURE:DP:ADEXE1.ADEXE:BODY:ADEXE:1:,,body_operational_end,POINT:FIX:ADEXE:K1,ADEXE,1,1,1,provisional_body_end
PROCEDURE:DP:ADIBE1.ADIBE,DP,PROC_PATH:PROCEDURE:DP:ADIBE1.ADIBE:BODY:ADIBE:1:,,body_operational_end,POINT:FIX:ADIBE:K2,ADIBE,1,1,1,provisional_body_end
PROCEDURE:DP:ADYOS3.ADYOS,DP,PROC_PATH:PROCEDURE:DP:ADYOS3.ADYOS:BODY:ABQ-ADYOS:1:,PROC_PATH:PROCEDURE:DP:ADYOS3.ADYOS:TRANSITION:GALLUP_TRANSITION:1:ADYOS3.GUP,transition_operational_end,POINT:NAVAID:GUP:VORTAC:US:NM:GALLUP,GUP,10,10,10,connected_to_airway_network
PROCEDURE:DP:ADYOS3.ADYOS,DP,PROC_PATH:PROCEDURE:DP:ADYOS3.ADYOS:BODY:ABQ-ADYOS:1:,PROC_PATH:PROCEDURE:DP:ADYOS3.ADYOS:TRANSITION:ZUNI_TRANSITION:1:ADYOS3.ZUN,transition_operational_end,POINT:NAVAID:ZUN:VORTAC:US:NM:ZUNI_PUEBLO,ZUN,7,7,7,connected_to_airway_network
PROCEDURE:DP:ADYOS3.ADYOS,DP,PROC_PATH:PROCEDURE:DP:ADYOS3.ADYOS:BODY:ASTAH-ADYOS:1:,PROC_PATH:PROCEDURE:DP:ADYOS3.ADYOS:TRANSITION:GALLUP_TRANSITION:1:ADYOS3.GUP,transition_operational_end,POINT:NAVAID:GUP:VORTAC:US:NM:GALLUP,GUP,10,10,10,connected_to_airway_network
PROCEDURE:DP:ADYOS3.ADYOS,DP,PROC_PATH:PROCEDURE:DP:ADYOS3.ADYOS:BODY:ASTAH-ADYOS:1:,PROC_PATH:PROCEDURE:DP:ADYOS3.ADYOS:TRANSITION:ZUNI_TRANSITION:1:ADYOS3.ZUN,transition_operational_end,POINT:NAVAID:ZUN:VORTAC:US:NM:ZUNI_PUEBLO,ZUN,7,7,7,connected_to_airway_network
PROCEDURE:DP:AEROZ2.AEROZ,DP,PROC_PATH:PROCEDURE:DP:AEROZ2.AEROZ:BODY:AMUSE-AEROZ:1:,PROC_PATH:PROCEDURE:DP:AEROZ2.AEROZ:TRANSITION:SAN_ANGELO_TRANSITION:1:AEROZ2.SJT,transition_operational_end,POINT:NAVAID:SJT:VORTAC:US:TX:SAN_ANGELO,SJT,6,6,6,connected_to_airway_network
PROCEDURE:DP:AEX3.AEX,DP,PROC_PATH:PROCEDURE:DP:AEX3.AEX:BODY:RAECN-AEX:1:,PROC_PATH:PROCEDURE:DP:AEX3.AEX:TRANSITION:CRESTVIEW_TRANSITION:1:AEX3.CEW,transition_operational_end,POINT:NAVAID:CEW:VORTAC:US:FL:CRESTVIEW,CEW,5,5,5,connected_to_airway_network
PROCEDURE:DP:AEX3.AEX,DP,PROC_PATH:PROCEDURE:DP:AEX3.AEX:BODY:RAECN-AEX:1:,PROC_PATH:PROCEDURE:DP:AEX3.AEX:TRANSITION:MCCOMB_TRANSITION:1:AEX3.MCB,transition_operational_end,POINT:NAVAID:MCB:VORTAC:US:MS:MC_COMB,MCB,8,8,8,connected_to_airway_network
PROCEDURE:DP:AFTON4.GIGSE,DP,PROC_PATH:PROCEDURE:DP:AFTON4.GIGSE:BODY:WOLEN-GIGSE:1:,,body_operational_end,POINT:FIX:GIGSE:K1,GIGSE,1,1,1,provisional_body_end
PROCEDURE:DP:AGERS1.AGERS,DP,PROC_PATH:PROCEDURE:DP:AGERS1.AGERS:BODY:DREDS-AGERS:1:,PROC_PATH:PROCEDURE:DP:AGERS1.AGERS:TRANSITION:DUCEN_TRANSITION:1:AGERS1.DUCEN,transition_operational_end,POINT:FIX:DUCEN:K7,DUCEN,1,1,1,connected_to_airway_network
PROCEDURE:DP:AGERS1.AGERS,DP,PROC_PATH:PROCEDURE:DP:AGERS1.AGERS:BODY:DREDS-AGERS:1:,PROC_PATH:PROCEDURE:DP:AGERS1.AGERS:TRANSITION:HURGI_TRANSITION:1:AGERS1.HURGI,transition_operational_end,POINT:FIX:HURGI:K7,HURGI,0,0,0,not_found_in_airway_network
PROCEDURE:DP:AGERS1.AGERS,DP,PROC_PATH:PROCEDURE:DP:AGERS1.AGERS:BODY:LLBOW-AGERS:1:,PROC_PATH:PROCEDURE:DP:AGERS1.AGERS:TRANSITION:DUCEN_TRANSITION:1:AGERS1.DUCEN,transition_operational_end,POINT:FIX:DUCEN:K7,DUCEN,1,1,1,connected_to_airway_network
PROCEDURE:DP:AGERS1.AGERS,DP,PROC_PATH:PROCEDURE:DP:AGERS1.AGERS:BODY:LLBOW-AGERS:1:,PROC_PATH:PROCEDURE:DP:AGERS1.AGERS:TRANSITION:HURGI_TRANSITION:1:AGERS1.HURGI,transition_operational_end,POINT:FIX:HURGI:K7,HURGI,0,0,0,not_found_in_airway_network
PROCEDURE:DP:AHABB1.AHABB,DP,PROC_PATH:PROCEDURE:DP:AHABB1.AHABB:BODY:AHABB:1:,,body_operational_end,POINT:FIX:AHABB:K7,AHABB,0,0,0,provisional_body_end
PROCEDURE:DP:AHC1.AHC,DP,PROC_PATH:PROCEDURE:DP:AHC1.AHC:BODY:AHC:1:,,body_operational_end,POINT:NAVAID:AHC:VOR/DME:US:CA:HERLONG,AHC,0,0,0,provisional_body_end
PROCEDURE:DP:AHEHU3.AHEHU,DP,PROC_PATH:PROCEDURE:DP:AHEHU3.AHEHU:BODY:OMIXE-AHEHU:1:,PROC_PATH:PROCEDURE:DP:AHEHU3.AHEHU:TRANSITION:FANID_TRANSITION:1:AHEHU3.FANID,transition_operational_end,POINT:FIX:FANID:K1,FANID,1,1,1,connected_to_airway_network
PROCEDURE:DP:AHEHU3.AHEHU,DP,PROC_PATH:PROCEDURE:DP:AHEHU3.AHEHU:BODY:OMIXE-AHEHU:1:,PROC_PATH:PROCEDURE:DP:AHEHU3.AHEHU:TRANSITION:FIPFE_TRANSITION:1:AHEHU3.FIPFE,transition_operational_end,POINT:FIX:FIPFE:K1,FIPFE,1,1,1,connected_to_airway_network
PROCEDURE:DP:AHMET5.KKIDS,DP,PROC_PATH:PROCEDURE:DP:AHMET5.KKIDS:BODY:AHMET-KKIDS:1:,PROC_PATH:PROCEDURE:DP:AHMET5.KKIDS:TRANSITION:ELLWOOD_CITY_TRANSITION:1:AHMET5.EWC,transition_operational_end,POINT:NAVAID:EWC:VOR/DME:US:PA:ELLWOOD_CITY,EWC,2,2,2,connected_to_airway_network
PROCEDURE:DP:AHMET5.KKIDS,DP,PROC_PATH:PROCEDURE:DP:AHMET5.KKIDS:BODY:AHMET-KKIDS:1:,PROC_PATH:PROCEDURE:DP:AHMET5.KKIDS:TRANSITION:NUSMM_TRANSITION:1:AHMET5.NUSMM,transition_operational_end,POINT:FIX:NUSMM:K5,NUSMM,0,0,0,not_found_in_airway_network
PROCEDURE:DP:AJOFY1.AJOFY,DP,PROC_PATH:PROCEDURE:DP:AJOFY1.AJOFY:BODY:UWUHI-AJOFY:1:,,body_operational_end,POINT:FIX:AJOFY:PA,AJOFY,0,0,0,provisional_body_end
PROCEDURE:DP:AKIAK1.BET,DP,PROC_PATH:PROCEDURE:DP:AKIAK1.BET:BODY:WEEKE-BET:1:,,body_operational_end,POINT:NAVAID:BET:VORTAC:US:AK:BETHEL,BET,19,19,19,provisional_body_end
PROCEDURE:DP:AKUMY5.AKUMY,DP,PROC_PATH:PROCEDURE:DP:AKUMY5.AKUMY:BODY:MUSDE-AKUMY:1:,,body_operational_end,POINT:FIX:AKUMY:PA,AKUMY,1,1,1,provisional_body_end
PROCEDURE:DP:AKUNA9.AKUNA,DP,PROC_PATH:PROCEDURE:DP:AKUNA9.AKUNA:BODY:AKUNA:1:,PROC_PATH:PROCEDURE:DP:AKUNA9.AKUNA:TRANSITION:MCALESTER_TRANSITION:1:AKUNA9.MLC,transition_operational_end,POINT:NAVAID:MLC:TACAN:US:OK:MC_ALESTER,MLC,0,0,0,not_found_in_airway_network
PROCEDURE:DP:AKUNA9.AKUNA,DP,PROC_PATH:PROCEDURE:DP:AKUNA9.AKUNA:BODY:BPARK-AKUNA:1:,PROC_PATH:PROCEDURE:DP:AKUNA9.AKUNA:TRANSITION:MCALESTER_TRANSITION:1:AKUNA9.MLC,transition_operational_end,POINT:NAVAID:MLC:TACAN:US:OK:MC_ALESTER,MLC,0,0,0,not_found_in_airway_network
PROCEDURE:DP:AKUNA9.AKUNA,DP,PROC_PATH:PROCEDURE:DP:AKUNA9.AKUNA:BODY:CUZEN-AKUNA:1:,PROC_PATH:PROCEDURE:DP:AKUNA9.AKUNA:TRANSITION:MCALESTER_TRANSITION:1:AKUNA9.MLC,transition_operational_end,POINT:NAVAID:MLC:TACAN:US:OK:MC_ALESTER,MLC,0,0,0,not_found_in_airway_network
PROCEDURE:DP:AKUNA9.AKUNA,DP,PROC_PATH:PROCEDURE:DP:AKUNA9.AKUNA:BODY:HAZKL-AKUNA:1:,PROC_PATH:PROCEDURE:DP:AKUNA9.AKUNA:TRANSITION:MCALESTER_TRANSITION:1:AKUNA9.MLC,transition_operational_end,POINT:NAVAID:MLC:TACAN:US:OK:MC_ALESTER,MLC,0,0,0,not_found_in_airway_network
PROCEDURE:DP:AKUNA9.AKUNA,DP,PROC_PATH:PROCEDURE:DP:AKUNA9.AKUNA:BODY:SPERA-AKUNA:1:,PROC_PATH:PROCEDURE:DP:AKUNA9.AKUNA:TRANSITION:MCALESTER_TRANSITION:1:AKUNA9.MLC,transition_operational_end,POINT:NAVAID:MLC:TACAN:US:OK:MC_ALESTER,MLC,0,0,0,not_found_in_airway_network
PROCEDURE:DP:ALAMO5.ALAMO,DP,PROC_PATH:PROCEDURE:DP:ALAMO5.ALAMO:BODY:SAT:1:,PROC_PATH:PROCEDURE:DP:ALAMO5.ALAMO:TRANSITION:GOBBY_TRANSITION:1:ALAMO5.GOBBY,transition_operational_end,POINT:FIX:GOBBY:K4,GOBBY,3,3,3,connected_to_airway_network
PROCEDURE:DP:ALAMO5.ALAMO,DP,PROC_PATH:PROCEDURE:DP:ALAMO5.ALAMO:BODY:SAT:1:,PROC_PATH:PROCEDURE:DP:ALAMO5.ALAMO:TRANSITION:GOOCH_SPRINGS_TRANSITION:1:ALAMO5.AGJ,transition_operational_end,POINT:NAVAID:AGJ:VORTAC:US:TX:LAMPASAS,AGJ,3,3,3,connected_to_airway_network
PROCEDURE:DP:ALAMO5.ALAMO,DP,PROC_PATH:PROCEDURE:DP:ALAMO5.ALAMO:BODY:SAT:1:,PROC_PATH:PROCEDURE:DP:ALAMO5.ALAMO:TRANSITION:HENLY_TRANSITION:1:ALAMO5.HENLY,transition_operational_end,POINT:FIX:HENLY:K4,HENLY,2,2,2,connected_to_airway_network
PROCEDURE:DP:ALAMO5.ALAMO,DP,PROC_PATH:PROCEDURE:DP:ALAMO5.ALAMO:BODY:SAT:1:,PROC_PATH:PROCEDURE:DP:ALAMO5.ALAMO:TRANSITION:JUMBO_TRANSITION:1:ALAMO5.JUMBO,transition_operational_end,POINT:FIX:JUMBO:K4,JUMBO,2,2,2,connected_to_airway_network
PROCEDURE:DP:ALCOS6.ALCOS,DP,PROC_PATH:PROCEDURE:DP:ALCOS6.ALCOS:BODY:ALCOS:1:,PROC_PATH:PROCEDURE:DP:ALCOS6.ALCOS:TRANSITION:CHEROKEE_TRANSITION:1:ALCOS6.CKW,transition_operational_end,POINT:NAVAID:CKW:VOR/DME:US:WY:CHEROKEE,CKW,5,5,5,connected_to_airway_network
PROCEDURE:DP:ALCOS6.ALCOS,DP,PROC_PATH:PROCEDURE:DP:ALCOS6.ALCOS:BODY:ALCOS:1:,PROC_PATH:PROCEDURE:DP:ALCOS6.ALCOS:TRANSITION:MEDICINE_BOW_TRANSITION:1:ALCOS6.MBW,transition_operational_end,POINT:NAVAID:MBW:VOR/DME:US:WY:MEDICINE_BOW,MBW,11,11,11,connected_to_airway_network
PROCEDURE:DP:ALIAN2.ALIAN,DP,PROC_PATH:PROCEDURE:DP:ALIAN2.ALIAN:BODY:GVINE-ALIAN:1:,,body_operational_end,POINT:FIX:ALIAN:K4,ALIAN,0,0,0,provisional_body_end
PROCEDURE:DP:ALIAN2.ALIAN,DP,PROC_PATH:PROCEDURE:DP:ALIAN2.ALIAN:BODY:LARRN-ALIAN:1:,,body_operational_end,POINT:FIX:ALIAN:K4,ALIAN,0,0,0,provisional_body_end
PROCEDURE:DP:ALIAN2.ALIAN,DP,PROC_PATH:PROCEDURE:DP:ALIAN2.ALIAN:BODY:RBBIT-ALIAN:1:,,body_operational_end,POINT:FIX:ALIAN:K4,ALIAN,0,0,0,provisional_body_end
PROCEDURE:DP:ALISS7.ALISS,DP,PROC_PATH:PROCEDURE:DP:ALISS7.ALISS:BODY:TREVA-ALISS:1:,,body_operational_end,POINT:FIX:ALISS:K4,ALISS,0,0,0,provisional_body_end
PROCEDURE:DP:ALKAL1.ALKAL,DP,PROC_PATH:PROCEDURE:DP:ALKAL1.ALKAL:BODY:ALKAL:1:,,body_operational_end,POINT:FIX:ALKAL:K1,ALKAL,4,4,4,provisional_body_end
PROCEDURE:DP:ALMDN4.ALMDN,DP,PROC_PATH:PROCEDURE:DP:ALMDN4.ALMDN:BODY:NEVSE-ALMDN:1:,PROC_PATH:PROCEDURE:DP:ALMDN4.ALMDN:TRANSITION:HRNER_TRANSITION:1:ALMDN4.HRNER,transition_operational_end,POINT:FIX:HRNER:K2,HRNER,0,0,0,not_found_in_airway_network
PROCEDURE:DP:ALMDN4.ALMDN,DP,PROC_PATH:PROCEDURE:DP:ALMDN4.ALMDN:BODY:NEVSE-ALMDN:1:,PROC_PATH:PROCEDURE:DP:ALMDN4.ALMDN:TRANSITION:MOGEE_TRANSITION:1:ALMDN4.MOGEE,transition_operational_end,POINT:FIX:MOGEE:K2,MOGEE,2,2,2,connected_to_airway_network
PROCEDURE:DP:ALMDN4.ALMDN,DP,PROC_PATH:PROCEDURE:DP:ALMDN4.ALMDN:BODY:NEVSE-ALMDN:1:,PROC_PATH:PROCEDURE:DP:ALMDN4.ALMDN:TRANSITION:ORRCA_TRANSITION:1:ALMDN4.ORRCA,transition_operational_end,POINT:FIX:ORRCA:K2,ORRCA,1,1,1,connected_to_airway_network
PROCEDURE:DP:ALMDN4.ALMDN,DP,PROC_PATH:PROCEDURE:DP:ALMDN4.ALMDN:BODY:NEVSE-ALMDN:1:,PROC_PATH:PROCEDURE:DP:ALMDN4.ALMDN:TRANSITION:SYRAH_TRANSITION:1:ALMDN4.SYRAH,transition_operational_end,POINT:FIX:SYRAH:K2,SYRAH,2,2,2,connected_to_airway_network
PROCEDURE:DP:ALMDN4.ALMDN,DP,PROC_PATH:PROCEDURE:DP:ALMDN4.ALMDN:BODY:NEVSE-ALMDN:1:,PROC_PATH:PROCEDURE:DP:ALMDN4.ALMDN:TRANSITION:TIPRE_TRANSITION:1:ALMDN4.TIPRE,transition_operational_end,POINT:FIX:TIPRE:K2,TIPRE,4,4,4,connected_to_airway_network
PROCEDURE:DP:ALMON1.ALMON,DP,PROC_PATH:PROCEDURE:DP:ALMON1.ALMON:BODY:JUPIN-ALMON:1:,,body_operational_end,POINT:FIX:ALMON:K2,ALMON,5,5,5,provisional_body_end
PROCEDURE:DP:ALMON1.ALMON,DP,PROC_PATH:PROCEDURE:DP:ALMON1.ALMON:BODY:ZILIG-ALMON:1:,,body_operational_end,POINT:FIX:ALMON:K2,ALMON,5,5,5,provisional_body_end
