procedureKey,procedureType,bodyPathKey,transitionPathKey,bodyStartPointKey,bodyEndPointKey,transitionStartPointKey,transitionEndPointKey,joinPointKey,joinStatus
PROCEDURE:DP:ACONY3.ACONY,DP,PROC_PATH:PROCEDURE:DP:ACONY3.ACONY:BODY:ACONY-PALDE:1:,PROC_PATH:PROCEDURE:DP:ACONY3.ACONY:TRANSITION:SAPPO_TRANSITION:1:ACONY3.SAPPO,POINT:FIX:ACONY:K,POINT:FIX:PALDE:K,POINT:FIX:PALDE:K,POINT:FIX:SAPPO:K,POINT:FIX:PALDE:K,matched
PROCEDURE:DP:ADELL8.ADELL,DP,PROC_PATH:PROCEDURE:DP:ADELL8.ADELL:BODY:ACITO-ADELL:1:,PROC_PATH:PROCEDURE:DP:ADELL8.ADELL:TRANSITION:AKMIE_TRANSITION:1:ADELL8.AKMIE,POINT:FIX:ACITO:K5,POINT:FIX:ADELL:K5,POINT:FIX:ADELL:K5,POINT:FIX:AKMIE:K5,POINT:FIX:ADELL:K5,matched
PROCEDURE:DP:ADELL8.ADELL,DP,PROC_PATH:PROCEDURE:DP:ADELL8.ADELL:BODY:ACITO-ADELL:1:,PROC_PATH:PROCEDURE:DP:ADELL8.ADELL:TRANSITION:ARLYN_TRANSITION:1:ADELL8.ARLYN,POINT:FIX:ACITO:K5,POINT:FIX:ADELL:K5,POINT:FIX:ADELL:K5,POINT:FIX:ARLYN:K5,POINT:FIX:ADELL:K5,matched
PROCEDURE:DP:ADYOS3.ADYOS,DP,PROC_PATH:PROCEDURE:DP:ADYOS3.ADYOS:BODY:ABQ-ADYOS:1:,PROC_PATH:PROCEDURE:DP:ADYOS3.ADYOS:TRANSITION:GALLUP_TRANSITION:1:ADYOS3.GUP,POINT:NAVAID:ABQ:VORTAC:US:NM:ALBUQUERQUE,POINT:FIX:ADYOS:K2,POINT:FIX:ADYOS:K2,POINT:NAVAID:GUP:VORTAC:US:NM:GALLUP,POINT:FIX:ADYOS:K2,matched
PROCEDURE:DP:ADYOS3.ADYOS,DP,PROC_PATH:PROCEDURE:DP:ADYOS3.ADYOS:BODY:ABQ-ADYOS:1:,PROC_PATH:PROCEDURE:DP:ADYOS3.ADYOS:TRANSITION:ZUNI_TRANSITION:1:ADYOS3.ZUN,POINT:NAVAID:ABQ:VORTAC:US:NM:ALBUQUERQUE,POINT:FIX:ADYOS:K2,POINT:FIX:ADYOS:K2,POINT:NAVAID:ZUN:VORTAC:US:NM:ZUNI_PUEBLO,POINT:FIX:ADYOS:K2,matched
PROCEDURE:DP:ADYOS3.ADYOS,DP,PROC_PATH:PROCEDURE:DP:ADYOS3.ADYOS:BODY:ASTAH-ADYOS:1:,PROC_PATH:PROCEDURE:DP:ADYOS3.ADYOS:TRANSITION:GALLUP_TRANSITION:1:ADYOS3.GUP,POINT:FIX:ASTAH:K2,POINT:FIX:ADYOS:K2,POINT:FIX:ADYOS:K2,POINT:NAVAID:GUP:VORTAC:US:NM:GALLUP,POINT:FIX:ADYOS:K2,matched
PROCEDURE:DP:ADYOS3.ADYOS,DP,PROC_PATH:PROCEDURE:DP:ADYOS3.ADYOS:BODY:ASTAH-ADYOS:1:,PROC_PATH:PROCEDURE:DP:ADYOS3.ADYOS:TRANSITION:ZUNI_TRANSITION:1:ADYOS3.ZUN,POINT:FIX:ASTAH:K2,POINT:FIX:ADYOS:K2,POINT:FIX:ADYOS:K2,POINT:NAVAID:ZUN:VORTAC:US:NM:ZUNI_PUEBLO,POINT:FIX:ADYOS:K2,matched
PROCEDURE:DP:AEROZ2.AEROZ,DP,PROC_PATH:PROCEDURE:DP:AEROZ2.AEROZ:BODY:AMUSE-AEROZ:1:,PROC_PATH:PROCEDURE:DP:AEROZ2.AEROZ:TRANSITION:SAN_ANGELO_TRANSITION:1:AEROZ2.SJT,POINT:FIX:AMUSE:K4,POINT:FIX:AEROZ:K4,POINT:FIX:AEROZ:K4,POINT:NAVAID:SJT:VORTAC:US:TX:SAN_ANGELO,POINT:FIX:AEROZ:K4,matched
PROCEDURE:DP:AEX3.AEX,DP,PROC_PATH:PROCEDURE:DP:AEX3.AEX:BODY:RAECN-AEX:1:,PROC_PATH:PROCEDURE:DP:AEX3.AEX:TRANSITION:CRESTVIEW_TRANSITION:1:AEX3.CEW,POINT:FIX:RAECN:K4,POINT:NAVAID:AEX:VORTAC:US:LA:ALEXANDRIA,POINT:NAVAID:AEX:VORTAC:US:LA:ALEXANDRIA,POINT:NAVAID:CEW:VORTAC:US:FL:CRESTVIEW,POINT:NAVAID:AEX:VORTAC:US:LA:ALEXANDRIA,matched
PROCEDURE:DP:AEX3.AEX,DP,PROC_PATH:PROCEDURE:DP:AEX3.AEX:BODY:RAECN-AEX:1:,PROC_PATH:PROCEDURE:DP:AEX3.AEX:TRANSITION:MCCOMB_TRANSITION:1:AEX3.MCB,POINT:FIX:RAECN:K4,POINT:NAVAID:AEX:VORTAC:US:LA:ALEXANDRIA,POINT:NAVAID:AEX:VORTAC:US:LA:ALEXANDRIA,POINT:NAVAID:MCB:VORTAC:US:MS:MC_COMB,POINT:NAVAID:AEX:VORTAC:US:LA:ALEXANDRIA,matched
PROCEDURE:DP:AGERS1.AGERS,DP,PROC_PATH:PROCEDURE:DP:AGERS1.AGERS:BODY:DREDS-AGERS:1:,PROC_PATH:PROCEDURE:DP:AGERS1.AGERS:TRANSITION:DUCEN_TRANSITION:1:AGERS1.DUCEN,POINT:FIX:DREDS:K7,POINT:FIX:AGERS:K7,POINT:FIX:AGERS:K7,POINT:FIX:DUCEN:K7,POINT:FIX:AGERS:K7,matched
PROCEDURE:DP:AGERS1.AGERS,DP,PROC_PATH:PROCEDURE:DP:AGERS1.AGERS:BODY:DREDS-AGERS:1:,PROC_PATH:PROCEDURE:DP:AGERS1.AGERS:TRANSITION:HURGI_TRANSITION:1:AGERS1.HURGI,POINT:FIX:DREDS:K7,POINT:FIX:AGERS:K7,POINT:FIX:AGERS:K7,POINT:FIX:HURGI:K7,POINT:FIX:AGERS:K7,matched
PROCEDURE:DP:AGERS1.AGERS,DP,PROC_PATH:PROCEDURE:DP:AGERS1.AGERS:BODY:LLBOW-AGERS:1:,PROC_PATH:PROCEDURE:DP:AGERS1.AGERS:TRANSITION:DUCEN_TRANSITION:1:AGERS1.DUCEN,POINT:FIX:LLBOW:K7,POINT:FIX:AGERS:K7,POINT:FIX:AGERS:K7,POINT:FIX:DUCEN:K7,POINT:FIX:AGERS:K7,matched
PROCEDURE:DP:AGERS1.AGERS,DP,PROC_PATH:PROCEDURE:DP:AGERS1.AGERS:BODY:LLBOW-AGERS:1:,PROC_PATH:PROCEDURE:DP:AGERS1.AGERS:TRANSITION:HURGI_TRANSITION:1:AGERS1.HURGI,POINT:FIX:LLBOW:K7,POINT:FIX:AGERS:K7,POINT:FIX:AGERS:K7,POINT:FIX:HURGI:K7,POINT:FIX:AGERS:K7,matched
