metric,value
airway_edge_candidate_rows,17799
airway_resolved_endpoint_rows,17799
airway_explicit_opposite_field_rows,17358
airway_no_opposite_field_rows,167
procedure_path_rows,7434
procedure_path_endpoint_unresolved_rows,1
procedure_join_candidate_rows,8282
procedure_join_matched_rows,8279
procedure_variant_candidate_rows,9119
dp_interface_connected_rows,2020
dp_interface_not_connected_rows,1403
star_interface_connected_rows,2320
star_interface_not_connected_rows,2747
procedure_direction_name_match_rows,2857
procedure_direction_name_reversed_rows,0
procedure_direction_name_mismatch_rows,8
