airwayKey,airwayPathKey,anyGapActive,gapFlagRaw,signalGapFlagRaw,doglegRaw,sourceTable,rowCount,sampleFromPointKeys,sampleToPointKeys,sampleSourceRowIds
AIRWAY:J1,AIRWAY_PATH:J1:C,false,N,N,N,AWY_SEG_ALT,1,POINT:BOUNDARY:U.S._MEXICAN_BORDER-2,POINT:FIX:TEYON:K2,790
AIRWAY:J100,AIRWAY_PATH:J100:C,true,Y,N,N,AWY_SEG_ALT,1,POINT:NAVAID:SNY:VOR/DME:US:NE:SIDNEY,POINT:NAVAID:DBQ:VORTAC:US:IA:DUBUQUE,833
AIRWAY:J101,AIRWAY_PATH:J101:C,true,Y,N,N,AWY_SEG_ALT,1,POINT:NAVAID:SPI:VORTAC:US:IL:SPRINGFIELD,POINT:NAVAID:OBK:VOR/DME:US:IL:NORTHBROOK,848
AIRWAY:J126,AIRWAY_PATH:J126:C,false,N,N,N,AWY_SEG_ALT,3,POINT:BOUNDARY:U.S._CANADIAN_BORDER-2|POINT:BOUNDARY:U.S._CANADIAN_BORDER-3|POINT:FIX:CFGFX:K1,POINT:BOUNDARY:U.S._CANADIAN_BORDER-3|POINT:FIX:CFQLS:K1|POINT:BOUNDARY:U.S._CANADIAN_BORDER-4,1058|1059|1061
AIRWAY:J128,AIRWAY_PATH:J128:C,true,Y,N,N,AWY_SEG_ALT,1,POINT:NAVAID:HCT:VORTAC:US:NE:HAYES_CENTER,POINT:NAVAID:DBQ:VORTAC:US:IA:DUBUQUE,1079
AIRWAY:J13,AIRWAY_PATH:J13:C,false,N,N,N,AWY_SEG_ALT,2,POINT:BOUNDARY:U.S._MEXICAN_BORDER-2|POINT:FIX:CFNGJ:K1,POINT:FIX:BECON:K2|POINT:BOUNDARY:U.S._CANADIAN_BORDER-3,1086|1100
AIRWAY:J134,AIRWAY_PATH:J134:C,true,Y,N,N,AWY_SEG_ALT,1,POINT:NAVAID:CIM:VORTAC:US:NM:CIMARRON,POINT:NAVAID:ICT:VORTAC:US:KS:WICHITA,1123
AIRWAY:J138,AIRWAY_PATH:J138:C,true,Y,N,N,AWY_SEG_ALT,1,POINT:NAVAID:SAT:VORTAC:US:TX:SAN_ANTONIO,POINT:NAVAID:LCH:VORTAC:US:LA:LAKE_CHARLES,1157
AIRWAY:J141,AIRWAY_PATH:J141:C,false,N,N,N,AWY_SEG_ALT,1,POINT:FIX:WIPPO:K4,POINT:BOUNDARY:U.S._MEXICAN_BORDER-1,1179
AIRWAY:J167,AIRWAY_PATH:J167:A,false,N,N,N,AWY_SEG_ALT,1,POINT:FIX:POTAT:PA,POINT:BOUNDARY:U.S._CANADIAN_BORDER-2,1368
AIRWAY:J177,AIRWAY_PATH:J177:C,false,N,N,N,AWY_SEG_ALT,1,POINT:FIX:KANNA:K4,POINT:BOUNDARY:U.S._MEXICAN_BORDER-1,1405
AIRWAY:J20,AIRWAY_PATH:J20:C,true,Y,N,N,AWY_SEG_ALT,1,POINT:NAVAID:LAA:VOR/DME:US:CO:LAMAR,POINT:NAVAID:IRW:VORTAC:US:OK:OKLAHOMA_CITY,1541
