procedureKey,procedureType,variantCount,matchedVariantCount,connectedMatchedVariantCount,notConnectedMatchedVariantCount,uniqueInterfacePointCount,connectedInterfacePointCount,hasAnyMatchedVariant,hasAnyConnectedMatchedVariant,allMatchedVariantsUnconnected,onlyIncompleteVariants
PROCEDURE:DP:1U71.LUNDI,DP,1,0,0,0,1,0,false,false,false,true
PROCEDURE:DP:77S2.EUG,DP,1,0,0,0,1,0,false,false,false,true
PROCEDURE:DP:ACCRA5.ACCRA,DP,1,0,0,0,1,0,false,false,false,true
PROCEDURE:DP:ACONY3.ACONY,DP,1,1,1,0,1,1,true,true,false,false
PROCEDURE:DP:ADAMM3.ADAMM,DP,1,0,0,0,1,0,false,false,false,true
PROCEDURE:DP:ADELL8.ADELL,DP,2,2,0,2,2,0,true,false,true,false
PROCEDURE:DP:ADEXE1.ADEXE,DP,1,0,0,0,1,0,false,false,false,true
PROCEDURE:DP:ADIBE1.ADIBE,DP,1,0,0,0,1,0,false,false,false,true
PROCEDURE:DP:ADYOS3.ADYOS,DP,4,4,4,0,2,2,true,true,false,false
PROCEDURE:DP:AEROZ2.AEROZ,DP,1,1,1,0,1,1,true,true,false,false
PROCEDURE:DP:AEX3.AEX,DP,2,2,2,0,2,2,true,true,false,false
PROCEDURE:DP:AFTON4.GIGSE,DP,1,0,0,0,1,0,false,false,false,true
PROCEDURE:DP:AGERS1.AGERS,DP,4,4,2,2,2,1,true,true,false,false
PROCEDURE:DP:AHABB1.AHABB,DP,1,0,0,0,1,0,false,false,false,true
PROCEDURE:DP:AHC1.AHC,DP,1,0,0,0,1,0,false,false,false,true
PROCEDURE:DP:AHEHU3.AHEHU,DP,2,2,2,0,2,2,true,true,false,false
PROCEDURE:DP:AHMET5.KKIDS,DP,2,2,1,1,2,1,true,true,false,false
PROCEDURE:DP:AJOFY1.AJOFY,DP,1,0,0,0,1,0,false,false,false,true
PROCEDURE:DP:AKIAK1.BET,DP,1,0,0,0,1,0,false,false,false,true
PROCEDURE:DP:AKUMY5.AKUMY,DP,1,0,0,0,1,0,false,false,false,true
PROCEDURE:DP:AKUNA9.AKUNA,DP,5,5,0,5,1,0,true,false,true,false
PROCEDURE:DP:ALAMO5.ALAMO,DP,4,4,4,0,4,4,true,true,false,false
PROCEDURE:DP:ALCOS6.ALCOS,DP,2,2,2,0,2,2,true,true,false,false
PROCEDURE:DP:ALIAN2.ALIAN,DP,3,0,0,0,1,0,false,false,false,true
PROCEDURE:DP:ALISS7.ALISS,DP,1,0,0,0,1,0,false,false,false,true
PROCEDURE:DP:ALKAL1.ALKAL,DP,1,0,0,0,1,0,false,false,false,true
PROCEDURE:DP:ALMDN4.ALMDN,DP,5,5,4,1,5,4,true,true,false,false
PROCEDURE:DP:ALMON1.ALMON,DP,2,0,0,0,1,0,false,false,false,true
PROCEDURE:DP:ALPIN5.KICNE,DP,2,2,2,0,2,2,true,true,false,false
PROCEDURE:DP:ALPYN1.ALPYN,DP,1,1,1,0,1,1,true,true,false,false
PROCEDURE:DP:ALTNN2.ALTNN,DP,4,4,4,0,1,1,true,true,false,false
PROCEDURE:DP:AMEEE1.AMEEE,DP,8,8,8,0,2,2,true,true,false,false
PROCEDURE:DP:AMERY4.AMERY,DP,2,2,2,0,2,2,true,true,false,false
PROCEDURE:DP:ANAHM2.SLI,DP,3,3,3,0,3,3,true,true,false,false
PROCEDURE:DP:ANEKE2.CELAV,DP,1,0,0,0,1,0,false,false,false,true
PROCEDURE:DP:ANGIL1.ANGIL,DP,1,0,0,0,1,0,false,false,false,true
PROCEDURE:DP:ARCHZ1.ARCHZ,DP,3,3,3,0,3,3,true,true,false,false
PROCEDURE:DP:ARDIA7.ARDIA,DP,10,10,5,5,2,1,true,true,false,false
PROCEDURE:DP:ARSNL5.CSN,DP,14,14,14,0,7,7,true,true,false,false
PROCEDURE:DP:ASORT3.ASORT,DP,1,0,0,0,1,0,false,false,false,true
PROCEDURE:DP:AST3.AST,DP,1,0,0,0,1,0,false,false,false,true
PROCEDURE:DP:ATASY3.ATASY,DP,1,0,0,0,1,0,false,false,false,true
PROCEDURE:DP:ATKNN5.ATKNN,DP,8,8,4,4,4,2,true,true,false,false
PROCEDURE:DP:ATOMK3.ATOMK,DP,1,0,0,0,1,0,false,false,false,true
PROCEDURE:DP:AUS7.CWK,DP,4,0,0,0,4,4,false,false,false,true
PROCEDURE:DP:AUTMN6.AUTMN,DP,4,4,0,4,1,0,true,false,true,false
PROCEDURE:DP:AVE1.AVE,DP,1,0,0,0,1,0,false,false,false,true
PROCEDURE:DP:AVILA4.AVILA,DP,3,3,2,1,3,2,true,true,false,false
PROCEDURE:DP:AXLES1.AXLES,DP,1,0,0,0,1,0,false,false,false,true
PROCEDURE:DP:AZALA4.AZALA,DP,1,0,0,0,1,0,false,false,false,true
PROCEDURE:DP:AZONE7.AZONE,DP,3,3,0,3,1,0,true,false,true,false
PROCEDURE:DP:BACH2.TTT,DP,4,0,0,0,4,3,false,false,false,true
PROCEDURE:DP:BACHS2.BACHS,DP,4,0,0,0,1,0,false,false,false,true
PROCEDURE:DP:BACMY2.BACMY,DP,1,0,0,0,1,0,false,false,false,true
PROCEDURE:DP:BALDY3.MAXXO,DP,2,2,2,0,2,2,true,true,false,false
PROCEDURE:DP:BANGR9.BANGR,DP,12,12,6,6,2,1,true,true,false,false
PROCEDURE:DP:BANNG3.BANNG,DP,5,5,0,5,1,0,true,false,true,false
PROCEDURE:DP:BANZI1.BANZI,DP,1,0,0,0,1,0,false,false,false,true
PROCEDURE:DP:BARII3.BARII,DP,6,6,0,6,1,0,true,false,true,false
PROCEDURE:DP:BARMY6.BARMY,DP,3,3,3,0,3,3,true,true,false,false
PROCEDURE:DP:BAYLR6.BAYLR,DP,6,6,3,3,2,1,true,true,false,false
PROCEDURE:DP:BAYPO2.BAYPO,DP,8,8,4,4,2,1,true,true,false,false
PROCEDURE:DP:BBKNG7.BBKNG,DP,3,3,3,0,1,1,true,true,false,false
PROCEDURE:DP:BCHN2.CCR,DP,5,5,5,0,5,5,true,true,false,false
PROCEDURE:DP:BDN2.BDN,DP,1,0,0,0,1,0,false,false,false,true
PROCEDURE:DP:BEACH4.BEACH,DP,2,2,2,0,2,2,true,true,false,false
PROCEDURE:DP:BEAVY7.BEAVY,DP,2,2,0,2,2,0,true,false,true,false
PROCEDURE:DP:BEMAR3.BEMAR,DP,1,0,0,0,1,0,false,false,false,true
PROCEDURE:DP:BERNI3.BERNI,DP,8,8,8,0,4,4,true,true,false,false
PROCEDURE:DP:BERYY6.BERYY,DP,4,4,4,0,1,1,true,true,false,false
PROCEDURE:DP:BET2.BET,DP,1,0,0,0,1,0,false,false,false,true
PROCEDURE:DP:BEVVR1.BEVVR,DP,3,3,0,3,3,0,true,false,true,false
PROCEDURE:DP:BEXGO5.BEXGO,DP,1,1,1,0,1,1,true,true,false,false
PROCEDURE:DP:BGOOD5.BGOOD,DP,5,5,5,0,1,1,true,true,false,false
PROCEDURE:DP:BGQ2.BGQ,DP,1,0,0,0,1,0,false,false,false,true
PROCEDURE:DP:BGSKY2.BGSKY,DP,3,3,2,1,3,2,true,true,false,false
PROCEDURE:DP:BIBNE3.BIBNE,DP,2,0,0,0,1,0,false,false,false,true
PROCEDURE:DP:BIMMR3.BIMMR,DP,2,2,0,2,2,0,true,false,true,false
PROCEDURE:DP:BINAL2.BINAL,DP,1,0,0,0,1,0,false,false,false,true
PROCEDURE:DP:BINKY6.BINKY,DP,4,4,0,4,1,0,true,false,true,false
PROCEDURE:DP:BIXBY1.BIXBY,DP,2,2,1,1,2,1,true,true,false,false
PROCEDURE:DP:BKA4.BKA,DP,1,0,0,0,1,0,false,false,false,true
PROCEDURE:DP:BKT1.BKT,DP,3,3,3,0,3,3,true,true,false,false
PROCEDURE:DP:BLD1.BLD,DP,1,0,0,0,1,0,false,false,false,true
PROCEDURE:DP:BLECO8.BLECO,DP,15,15,10,5,3,2,true,true,false,false
PROCEDURE:DP:BLI1.SQURL,DP,1,0,0,0,1,0,false,false,false,true
PROCEDURE:DP:BLOKR8.BLOKR,DP,2,2,1,1,2,1,true,true,false,false
PROCEDURE:DP:BLTWY7.BLTWY,DP,1,1,1,0,1,1,true,true,false,false
PROCEDURE:DP:BLUEF1.BLF,DP,1,0,0,0,1,0,false,false,false,true
PROCEDURE:DP:BLUSH2.BLUSH,DP,1,0,0,0,1,0,false,false,false,true
PROCEDURE:DP:BLZZR6.BLZZR,DP,6,0,0,0,1,0,false,false,false,true
