metric,value
procedure_endpoint_unresolved_rows,1
procedure_join_no_shared_rows,3
procedure_direction_name_mismatch_rows,8
airway_no_opposite_rows,333
airway_no_opposite_with_gap_rows,166
airway_no_opposite_without_gap_rows,167
airway_opposite_with_gap_rows,108
gap_flag_active_rows,187
signal_gap_flag_active_rows,87
dogleg_active_rows,3950
dp_matched_variant_rows,3212
dp_matched_variant_connected_rows,1890
dp_matched_variant_not_connected_rows,1322
star_matched_variant_rows,5067
star_matched_variant_connected_rows,2320
star_matched_variant_not_connected_rows,2747
dp_procedures_with_connected_matched_variant,459
dp_procedures_all_matched_variants_unconnected,133
star_procedures_with_connected_matched_variant,483
star_procedures_all_matched_variants_unconnected,166
