interfacePointKey,interfaceRawPoints,pointKind,usedByDP,usedBySTAR,procedureCount,matchedProcedureCount,matchedVariantCount,incompleteVariantCount,connectedToAirwayNetwork,airwayOccurrenceCount,airwayPathCount,airwayCount,procedureKeys,variantStatuses
POINT:FIX:AARPS:K7,AARPS,FIX,true,false,1,0,0,1,false,0,0,0,PROCEDURE:DP:FLL2.FLL,transition_only_no_body
POINT:FIX:AASTN:K6,AASTN,FIX,true,false,1,1,1,0,false,0,0,0,PROCEDURE:DP:SETHY5.SETHY,matched_body_transition
POINT:FIX:ABASN:K2,ABASN,FIX,false,true,1,1,5,0,false,0,0,0,PROCEDURE:STAR:SSKII.SSKII4,matched_body_transition
POINT:FIX:ACCRA:K5,ACCRA,FIX,true,false,1,0,0,1,false,0,0,0,PROCEDURE:DP:ACCRA5.ACCRA,body_only_no_transition
POINT:FIX:ACERB:K7,ACERB,FIX,true,false,1,1,1,0,false,0,0,0,PROCEDURE:DP:BIMMR3.BIMMR,matched_body_transition
POINT:FIX:ACORI:K7,ACORI,FIX,false,true,6,6,26,0,false,0,0,0,PROCEDURE:STAR:BANGZ.BANGZ2|PROCEDURE:STAR:CUURT.CUURT1|PROCEDURE:STAR:FROGZ.FROGZ5|PROCEDURE:STAR:MAATY.MAATY5|PROCEDURE:STAR:TEEKY.TEEKY4|PROCEDURE:STAR:VUUDU.VUUDU1,matched_body_transition
POINT:FIX:ADAMM:K2,ADAMM,FIX,true,false,1,0,0,1,false,2,2,2,PROCEDURE:DP:ADAMM3.ADAMM,body_only_no_transition
POINT:FIX:ADEXE:K1,ADEXE,FIX,true,false,1,0,0,1,false,1,1,1,PROCEDURE:DP:ADEXE1.ADEXE,body_only_no_transition
POINT:FIX:ADIBE:K2,ADIBE,FIX,true,false,1,0,0,1,false,1,1,1,PROCEDURE:DP:ADIBE1.ADIBE,body_only_no_transition
POINT:FIX:ADWAT:K2,ADWAT,FIX,false,true,1,1,1,0,false,0,0,0,PROCEDURE:STAR:AMRVR.AMRVR2,matched_body_transition
