sourceTable,sourceRowId,sourceObjectKey,rawValue,normalizedValue,referenceType,resolveStatus,reason
STAR_RTE,13883,PROC_OCC:PROC_PATH:PROCEDURE:STAR:SETER.SETER5:BODY:SETER-SB:1::10,SB,SB,NDB,unresolved,missing_or_ambiguous_navaid
PFR_BASE,360,TEMPLATE:PFR:ANATI:CYMX:NAR:1,CYMX,CYMX,destination,unresolved,missing_or_ambiguous_point
PFR_BASE,676,TEMPLATE:PFR:BDL:CYHU:H:1,CYHU,CYHU,destination,unresolved,missing_or_ambiguous_point
PFR_BASE,767,TEMPLATE:PFR:BDL:TJSJ:H:1,TJSJ,TJSJ,destination,unresolved,missing_or_ambiguous_point
PFR_BASE,768,TEMPLATE:PFR:BDL:TJSJ:H:2,TJSJ,TJSJ,destination,unresolved,missing_or_ambiguous_point
PFR_BASE,1080,TEMPLATE:PFR:BOS:CYHU:H:1,CYHU,CYHU,destination,unresolved,missing_or_ambiguous_point
PFR_BASE,1082,TEMPLATE:PFR:BOS:CYUL:H:1,CYUL,CYUL,destination,unresolved,missing_or_ambiguous_point
PFR_BASE,1228,TEMPLATE:PFR:BOS:TJSJ:H:1,TJSJ,TJSJ,destination,unresolved,missing_or_ambiguous_point
PFR_BASE,1229,TEMPLATE:PFR:BOS:TJSJ:H:2,TJSJ,TJSJ,destination,unresolved,missing_or_ambiguous_point
PFR_BASE,1578,TEMPLATE:PFR:BWI:CYUL:H:1,CYUL,CYUL,destination,unresolved,missing_or_ambiguous_point
PFR_BASE,1977,TEMPLATE:PFR:CLT:CYUL:H:1,CYUL,CYUL,destination,unresolved,missing_or_ambiguous_point
PFR_BASE,2337,TEMPLATE:PFR:CYUL:BWI:H:1,CYUL,CYUL,origin,unresolved,missing_or_ambiguous_point
PFR_BASE,2338,TEMPLATE:PFR:CYUL:CLT:H:1,CYUL,CYUL,origin,unresolved,missing_or_ambiguous_point
PFR_BASE,2339,TEMPLATE:PFR:CYUL:DCA:H:1,CYUL,CYUL,origin,unresolved,missing_or_ambiguous_point
PFR_BASE,2340,TEMPLATE:PFR:CYUL:EWR:H:3,CYUL,CYUL,origin,unresolved,missing_or_ambiguous_point
PFR_BASE,2341,TEMPLATE:PFR:CYUL:EWR:H:4,CYUL,CYUL,origin,unresolved,missing_or_ambiguous_point
PFR_BASE,2342,TEMPLATE:PFR:CYUL:EWR:L:1,CYUL,CYUL,origin,unresolved,missing_or_ambiguous_point
