navId,navType,groupSize,sourceRowIds,distinctNameCount,nameList,distinctCityCount,cityList,distinctStateCount,stateList,distinctCountryCount,countryList,distinctFreqCount,freqList,distinctChanCount,chanList,latLonList,navStatusList,nasUseFlagList,publicUseFlagList,appearsInAwySegCount,appearsInDpRteCount,appearsInStarRteCount,appearsInPfrSegCount,preliminaryPattern,nameConflict,cityConflict,stateConflict,countryConflict,freqConflict,coordConflict,referencedInAnyRouteData
AA,NDB,2,2|3,2,CEDAR|KENIE,2,FARGO|THOMSON,2,GA|ND,1,US,2,341|365,0,,"33.53328333,-82.61436944|47.00905216,-96.8151835",OPERATIONAL IFR|OPERATIONAL RESTRICTED,Y,Y,0,0,0,0,same_id_type_different_freq,true,true,true,false,true,true,false
AB,NDB,2,6|7,2,RENEY|TOMHI,2,ABERDEEN|ABILENE,2,SD|TX,1,US,2,203|353,0,,"32.29886325,-99.67422802|45.38610597,-98.32851091",OPERATIONAL IFR,Y,Y,0,0,0,0,same_id_type_different_freq,true,true,true,false,true,true,false
AI,NDB,2,33|34,2,ADDMO|VIDEO,2,ANDERSON|ARDMORE,2,IN|OK,1,US,2,394|400,0,,"34.23234622,-96.93310883|40.0695273,-85.51068694",OPERATIONAL IFR,Y,Y,0,0,0,0,same_id_type_different_freq,true,true,true,false,true,true,false
BR,NDB,3,165|166|167,3,BURNS|DEPOO|LAREW,3,BRAINERD|BROWNSVILLE|BURLINGTON,3,IA|MN|TX,1,US,3,251|390|393,0,,"25.98366283,-97.50909794|40.65435738,-91.12322608|46.4566203,-94.02243002",OPERATIONAL IFR,Y,Y,0,0,0,0,same_id_type_different_freq,true,true,true,false,true,true,false
BT,NDB,2,178|179,2,BATOL|RUNDI,2,BATON ROUGE|BATTLE CREEK,2,LA|MI,1,US,2,272|284,0,,"30.58291925,-91.21107913|42.36196208,-85.18432102",OPERATIONAL IFR,Y,Y,0,0,0,0,same_id_type_different_freq,true,true,true,false,true,true,false
BU,NDB,2,185|186,2,BOUTN|KLUMP,2,BUFFALO|COLUMBUS,2,NY|OH,1,US,2,230|231,0,,"39.819279,-83.204632|43.00031536,-78.65077272",OPERATIONAL IFR,Y,Y,0,0,0,0,same_id_type_different_freq,true,true,true,false,true,true,false
CO,NDB,2,274|275,2,EPSOM|PETEY,2,COLORADO SPRINGS|CONCORD,2,CO|NH,1,US,2,216|407,0,,"38.6944033,-104.71634602|43.11877694,-71.45242944",OPERATIONAL IFR|OPERATIONAL RESTRICTED,Y,Y,0,0,0,0,same_id_type_different_freq,true,true,true,false,true,true,false
GB,NDB,3,564|565|566,3,BABSY|GARNO|PLAZZ,3,BUFFALO|GREAT BEND|MARSHALL,3,KS|MN|NY,1,US,3,204|253|419,0,,"38.25164827,-98.85587094|42.87388811,-78.81645197|44.50206313,-95.91097344",OPERATIONAL IFR,N|Y,N|Y,0,0,0,0,same_id_type_different_freq,true,true,true,false,true,true,false
GF,NDB,2,584|585,2,GANSE|HISER,2,GLENS FALLS|GRAND FORKS,2,ND|NY,1,US,2,209|345,0,,"43.25501361,-73.60511111|47.84646475,-97.18151691",OPERATIONAL IFR,Y,Y,0,0,0,0,same_id_type_different_freq,true,true,true,false,true,true,false
GM,NDB,2,602|603,2,JUDKY|WILZE,2,GREENVILLE|WILMINGTON,2,NC|SC,1,US,2,205|521,0,,"34.33729627,-77.81178238|34.78016758,-82.3497875",OPERATIONAL IFR,Y,Y,0,0,0,0,same_id_type_different_freq,true,true,true,false,true,true,false
GR,NDB,2,619|620,2,FAMIS|KNOBS,2,GRAND RAPIDS|GREEN BAY,2,MI|WI,1,US,2,263|356,0,,"42.89564205,-85.37864311|44.44047108,-88.23951983",OPERATIONAL IFR,Y,Y,0,0,0,0,same_id_type_different_freq,true,true,true,false,true,true,false
HO,NDB,2,694|695,2,BEADY|HOSSY,2,HOT SPRINGS|HURON,2,AR|SD,1,US,2,302|385,0,,"34.42255691,-93.18967619|44.44386933,-98.33678772",OPERATIONAL IFR,Y,Y,0,0,0,0,same_id_type_different_freq,true,true,true,false,true,true,false
HU,NDB,2,718|719,2,SALTT|YINNO,2,HUTCHINSON|TERRE HAUTE,2,IN|KS,1,US,2,245|404,0,,"38.12361886,-97.92688413|39.38781766,-87.39772322",OPERATIONAL IFR|OPERATIONAL RESTRICTED,Y,Y,0,0,0,0,same_id_type_different_freq,true,true,true,false,true,true,false
IL,NDB,4,763|764|765|766,4,AIRBO|AIRLI|HADIN|IRESH,4,"KILLEEN|WILMINGTON, DE|WILMINGTON, NC|WILMINGTON, OH",4,DE|NC|OH|TX,1,US,4,248|278|281|407,0,,"31.02409525,-97.70812358|34.19136627,-77.86631266|39.49303261,-83.73818113|39.58126152,-75.61394222",OPERATIONAL IFR,Y,Y,0,0,0,0,same_id_type_different_freq,true,true,true,false,true,true,false
JN,NDB,2,815|816,2,BALLL|JURLY,2,MUNCIE|SMITHFIELD,2,IN|NC,1,US,2,263|365,0,,"35.47499913,-78.42528563|40.18092288,-85.32098216",OPERATIONAL IFR|OPERATIONAL RESTRICTED,Y,Y,0,0,0,0,same_id_type_different_freq,true,true,true,false,true,true,false
