navId,navType,groupSize,sourceRowIds,distinctNameCount,nameList,distinctCityCount,cityList,distinctStateCount,stateList,distinctCountryCount,countryList,distinctFreqCount,freqList,distinctChanCount,chanList,latLonList,navStatusList,nasUseFlagList,publicUseFlagList,appearsInAwySegCount,appearsInDpRteCount,appearsInStarRteCount,appearsInPfrSegCount,preliminaryPattern
AA,NDB,2,2|3,2,CEDAR|KENIE,2,FARGO|THOMSON,2,GA|ND,1,US,2,341|365,0,,"33.53328333,-82.61436944|47.00905216,-96.8151835",OPERATIONAL IFR|OPERATIONAL RESTRICTED,Y,Y,0,0,0,0,same_id_type_different_freq
AAA,NDB,1,4,1,ABRAHAM,1,LINCOLN,1,IL,1,US,1,329,0,,"40.16011666,-89.33801561",OPERATIONAL IFR,Y,Y,0,0,0,0,single_record
AAT,DME,1,5,1,ALTURAS,1,ALTURAS,1,CA,1,US,1,116.65,1,113Y,"41.48335388,-120.56154166",OPERATIONAL RESTRICTED,Y,Y,0,0,0,0,single_record
AB,NDB,2,6|7,2,RENEY|TOMHI,2,ABERDEEN|ABILENE,2,SD|TX,1,US,2,203|353,0,,"32.29886325,-99.67422802|45.38610597,-98.32851091",OPERATIONAL IFR,Y,Y,0,0,0,0,same_id_type_different_freq
ABG,NDB,1,8,1,AMBASSADOR,1,BIG SANDY,1,TX,1,US,1,404,0,,"32.58549538,-95.11311944",OPERATIONAL VFR ONLY,Y,Y,0,0,0,0,single_record
ABI,VORTAC,1,9,1,ABILENE,1,ABILENE,1,TX,1,US,1,113.7,1,84X,"32.48133058,-99.86345369",OPERATIONAL RESTRICTED,Y,Y,11,8,1,6,single_record
ABQ,VORTAC,1,10,1,ALBUQUERQUE,1,ALBUQUERQUE,1,NM,1,US,1,113.2,1,79X,"35.04379558,-106.81631191",OPERATIONAL RESTRICTED,Y,Y,16,11,4,5,single_record
ABQ,VOT,1,11,1,ALBUQUERQUE,1,ALBUQUERQUE,1,NM,1,US,1,111,0,,"35.03819,-106.60841805",OPERATIONAL IFR,N,Y,0,0,0,0,single_record
ABR,VOR/DME,1,12,1,ABERDEEN,1,ABERDEEN,1,SD,1,US,1,113,1,77X,"45.41735666,-98.36871961",OPERATIONAL RESTRICTED,Y,Y,12,0,0,7,single_record
ACH,VORTAC,1,13,1,ANTON CHICO,1,ANTON CHICO,1,NM,1,US,1,117.8,1,125X,"35.11170611,-105.03992888",OPERATIONAL IFR,Y,Y,4,2,1,1,single_record
