navId,navType,sourceRowId,name,city,stateCode,countryCode,regionCode,lat,lon,freq,chan,navStatus,nasUseFlag,publicUseFlag,highAltArtccId,lowAltArtccId,legacyNavIdTypeKey,currentPointKey
AA,NDB,2,KENIE,FARGO,ND,US,AGL,47.00905216,-96.8151835,365,,OPERATIONAL IFR,Y,Y,ZMP,ZMP,POINT:NAVAID:AA:NDB,POINT:NAVAID:AA:NDB:US:ND:FARGO
AA,NDB,3,CEDAR,THOMSON,GA,US,ASO,33.53328333,-82.61436944,341,,OPERATIONAL RESTRICTED,Y,Y,ZTL,ZTL,POINT:NAVAID:AA:NDB,POINT:NAVAID:AA:NDB:US:GA:THOMSON
AAA,NDB,4,ABRAHAM,LINCOLN,IL,US,AGL,40.16011666,-89.33801561,329,,OPERATIONAL IFR,Y,Y,ZAU,ZAU,POINT:NAVAID:AAA:NDB,POINT:NAVAID:AAA:NDB:US:IL:LINCOLN
AAT,DME,5,ALTURAS,ALTURAS,CA,US,AWP,41.48335388,-120.56154166,116.65,113Y,OPERATIONAL RESTRICTED,Y,Y,ZSE,ZSE,POINT:NAVAID:AAT:DME,POINT:NAVAID:AAT:DME:US:CA:ALTURAS
AB,NDB,6,RENEY,ABERDEEN,SD,US,AGL,45.38610597,-98.32851091,203,,OPERATIONAL IFR,Y,Y,,,POINT:NAVAID:AB:NDB,POINT:NAVAID:AB:NDB:US:SD:ABERDEEN
AB,NDB,7,TOMHI,ABILENE,TX,US,ASW,32.29886325,-99.67422802,353,,OPERATIONAL IFR,Y,Y,,,POINT:NAVAID:AB:NDB,POINT:NAVAID:AB:NDB:US:TX:ABILENE
ABG,NDB,8,AMBASSADOR,BIG SANDY,TX,US,ASW,32.58549538,-95.11311944,404,,OPERATIONAL VFR ONLY,Y,Y,ZFW,ZFW,POINT:NAVAID:ABG:NDB,POINT:NAVAID:ABG:NDB:US:TX:BIG_SANDY
ABI,VORTAC,9,ABILENE,ABILENE,TX,US,ASW,32.48133058,-99.86345369,113.7,84X,OPERATIONAL RESTRICTED,Y,Y,ZFW,ZFW,POINT:NAVAID:ABI:VORTAC,POINT:NAVAID:ABI:VORTAC:US:TX:ABILENE
ABQ,VORTAC,10,ALBUQUERQUE,ALBUQUERQUE,NM,US,ASW,35.04379558,-106.81631191,113.2,79X,OPERATIONAL RESTRICTED,Y,Y,ZAB,ZAB,POINT:NAVAID:ABQ:VORTAC,POINT:NAVAID:ABQ:VORTAC:US:NM:ALBUQUERQUE
ABQ,VOT,11,ALBUQUERQUE,ALBUQUERQUE,NM,US,ASW,35.03819,-106.60841805,111,,OPERATIONAL IFR,N,Y,,,POINT:NAVAID:ABQ:VOT,POINT:NAVAID:ABQ:VOT:US:NM:ALBUQUERQUE
