airportKey,arptId,icaoId,siteNo,siteTypeCode,airportName,city,stateCode,countryCode,regionCode,lat,lon,elevationFt,airportStatus,facilityUseCode,towerTypeCode,notamId,notamFlag,responsibleArtcc,artccName,sourceCycle,sourceTable,sourceRowId
AIRPORT:00A,00A,,19827,H,TOTAL RF,BENSALEM,PA,US,AEA,40.07083333,-74.93361111,9,O,PU,NON-ATCT,IPT,Y,ZNY,NEW YORK,2026-05-14,APT_BASE,13058
AIRPORT:00AA,00AA,,6728.62,A,AERO B RANCH,LEOTI,KS,US,ACE,38.70402222,-101.4739111,3435,O,PR,NON-ATCT,,,ZDV,DENVER,2026-05-14,APT_BASE,5781
AIRPORT:00AK,00AK,,50037.31,A,LOWELL FLD,ANCHOR POINT,AK,US,AAL,59.94888888,-151.6922222,252,O,PR,NON-ATCT,,,ZAN,ANCHORAGE,2026-05-14,APT_BASE,18437
AIRPORT:00AL,00AL,,374.5,A,EPPS AIRPARK,HARVEST,AL,US,ASO,34.86481027,-86.7702775,820,O,PR,NON-ATCT,,N,ZME,MEMPHIS,2026-05-14,APT_BASE,178
AIRPORT:00AN,00AN,,50416.23,A,KATMAI LODGE,KING SALMON,AK,US,AAL,59.09347222,-156.4558333,80,O,PR,NON-ATCT,,,ZAN,ANCHORAGE,2026-05-14,APT_BASE,18735
AIRPORT:00AR,00AR,,6492.25,A,ARLAND,BENNINGTON,KS,US,ACE,38.96966027,-97.6015615,1352,O,PR,NON-ATCT,,,ZKC,KANSAS CITY,2026-05-14,APT_BASE,5619
AIRPORT:00AS,00AS,,19197.16,A,FULTON,ALEX,OK,US,ASW,34.94280277,-97.81801944,1100,O,PR,NON-ATCT,,,ZFW,FORT WORTH,2026-05-14,APT_BASE,12497
AIRPORT:00C,00C,,2586.24,A,ANIMAS AIR PARK,DURANGO,CO,US,ANM,37.20317833,-107.8691953,6684,O,PU,NON-ATCT,DEN,Y,ZDV,DENVER,2026-05-14,APT_BASE,1983
AIRPORT:00CA,00CA,,1299.87,A,GOLDSTONE /GTS/,BARSTOW,CA,US,AWP,35.35497222,-116.8852083,3038,O,PR,NON-ATCT,,N,ZLA,LOS ANGELES,2026-05-14,APT_BASE,1035
AIRPORT:00CL,00CL,,1324.23,A,WILLIAMS AG,BIGGS,CA,US,AWP,39.42718888,-121.7634278,87,O,PR,NON-ATCT,,,ZOA,OAKLAND,2026-05-14,APT_BASE,1044
AIRPORT:00CN,00CN,,2047.2,H,KITCHEN CREEK HELIBASE,PINE VALLEY,CA,US,AWP,32.72737361,-116.4597417,3350,O,PR,NON-ATCT,,,ZLA,LOS ANGELES,2026-05-14,APT_BASE,1555
AIRPORT:00F,00F,,12280.12,A,BROADUS,BROADUS,MT,US,ANM,45.47047222,-105.4571389,3282,O,PU,NON-ATCT,GTF,Y,ZLC,SALT LAKE CITY,2026-05-14,APT_BASE,9022
AIRPORT:00FA,00FA,,3093.11,A,GRASS PATCH,BUSHNELL,FL,US,ASO,28.64554722,-82.218975,53,O,PR,NON-ATCT,,,ZMA,MIAMI,2026-05-14,APT_BASE,2536
AIRPORT:00FL,00FL,,3396.02,A,RIVER OAK,OKEECHOBEE,FL,US,ASO,27.23087972,-80.96923055,35,O,PR,NON-ATCT,,N,ZMA,MIAMI,2026-05-14,APT_BASE,3050
AIRPORT:00GA,00GA,,3878,A,LT WORLD,LITHONIA,GA,US,ASO,33.7675,-84.06833333,700,O,PR,NON-ATCT,,,ZTL,ATLANTA,2026-05-14,APT_BASE,3634
AIRPORT:00GE,00GE,,3839,H,CAFFREY,HIRAM,GA,US,ASO,33.88801944,-84.73694722,957,O,PR,NON-ATCT,,,ZTL,ATLANTA,2026-05-14,APT_BASE,3603
AIRPORT:00ID,00ID,,4172.14,A,DELTA SHORES,CLARK FORK,ID,US,ANM,48.14527777,-116.2144444,2064,O,PR,NON-ATCT,,,ZSE,SEATTLE,2026-05-14,APT_BASE,3899
AIRPORT:00IG,00IG,,6741.53,A,GOLTL,MCDONALD,KS,US,ACE,39.72402777,-101.3959944,3359,O,PR,NON-ATCT,,,ZDV,DENVER,2026-05-14,APT_BASE,5792
