airwayKey,airwayId,sourceSegmentCount
AIRWAY:AR17,AR17,9
AIRWAY:B24,B24,4
AIRWAY:G437,G437,12
AIRWAY:J10,J10,3
AIRWAY:J101,J101,13
AIRWAY:J102,J102,2
AIRWAY:J107,J107,1
AIRWAY:J110,J110,43
AIRWAY:J112,J112,3
AIRWAY:J114,J114,1
AIRWAY:J116,J116,3
AIRWAY:J12,J12,1
AIRWAY:J128,J128,1
AIRWAY:J13,J13,1
AIRWAY:J131,J131,36
AIRWAY:J134,J134,2
AIRWAY:J136,J136,1
AIRWAY:J137,J137,6
AIRWAY:J146,J146,2
AIRWAY:J148,J148,5
AIRWAY:J149,J149,16
AIRWAY:J15,J15,19
AIRWAY:J151,J151,14
AIRWAY:J152,J152,2
AIRWAY:J154,J154,4
AIRWAY:J157,J157,1
AIRWAY:J158,J158,1
AIRWAY:J16,J16,12
AIRWAY:J169,J169,2
AIRWAY:J178,J178,3
AIRWAY:J18,J18,9
AIRWAY:J180,J180,2
AIRWAY:J19,J19,2
AIRWAY:J190,J190,2
AIRWAY:J2,J2,89
AIRWAY:J20,J20,2
AIRWAY:J204,J204,1
AIRWAY:J21,J21,3
AIRWAY:J211,J211,15
AIRWAY:J212,J212,3
AIRWAY:J217,J217,2
AIRWAY:J231,J231,3
AIRWAY:J233,J233,3
AIRWAY:J24,J24,33
AIRWAY:J25,J25,4
AIRWAY:J28,J28,6
AIRWAY:J29,J29,20
AIRWAY:J30,J30,10
AIRWAY:J32,J32,5
AIRWAY:J34,J34,33
AIRWAY:J35,J35,6
AIRWAY:J4,J4,13
AIRWAY:J42,J42,1
AIRWAY:J43,J43,2
AIRWAY:J45,J45,2
AIRWAY:J46,J46,2
AIRWAY:J48,J48,71
AIRWAY:J49,J49,7
AIRWAY:J5,J5,9
AIRWAY:J50,J50,22
AIRWAY:J52,J52,2
AIRWAY:J54,J54,4
AIRWAY:J58,J58,21
AIRWAY:J584,J584,12
AIRWAY:J59,J59,22
AIRWAY:J6,J6,85
AIRWAY:J60,J60,44
AIRWAY:J61,J61,2
AIRWAY:J64,J64,11
AIRWAY:J65,J65,6
