edgeKey,routeKey
AIRPORT:ABE->FIX:BUSKY,ABE:PHL:TEC:2
AIRPORT:ABE->FIX:BUSKY,ABE:PHL:TEC:3
AIRPORT:ABE->NAVAID:ETX:VOR/DME,ABE:BWI:TEC:3
AIRPORT:ABE->NAVAID:ETX:VOR/DME,ABE:DCA:TEC:1
AIRPORT:ABE->NAVAID:ETX:VOR/DME,ABE:FRG:TEC:1
AIRPORT:ABE->NAVAID:ETX:VOR/DME,ABE:IAD:TEC:1
AIRPORT:ABE->NAVAID:ETX:VOR/DME,ABE:ILG:TEC:1
AIRPORT:ABE->NAVAID:ETX:VOR/DME,ABE:LNS:TEC:1
AIRPORT:ABE->NAVAID:ETX:VOR/DME,ABE:MDT:TEC:1
AIRPORT:ABE->NAVAID:ETX:VOR/DME,ABE:PHL:TEC:1
AIRPORT:ABE->NAVAID:ETX:VOR/DME,ABE:RDG:TEC:1
AIRPORT:ABE->NAVAID:FJC:VORTAC,ABE:ACY:TEC:1
AIRPORT:ABE->NAVAID:FJC:VORTAC,ABE:ALB:TEC:1
AIRPORT:ABE->NAVAID:FJC:VORTAC,ABE:AVP:TEC:2
AIRPORT:ABE->NAVAID:FJC:VORTAC,ABE:BDL:TEC:1
AIRPORT:ABE->NAVAID:FJC:VORTAC,ABE:EWR:TEC:3
AIRPORT:ABE->NAVAID:FJC:VORTAC,ABE:HFD:TEC:1
AIRPORT:ABE->NAVAID:FJC:VORTAC,ABE:HPN:TEC:1
AIRPORT:ABE->NAVAID:FJC:VORTAC,ABE:PIT:TEC:1
AIRPORT:ABE->NAVAID:FJC:VORTAC,ABE:PNE:TEC:1
AIRPORT:ABE->NAVAID:FJC:VORTAC,ABE:TEB:TEC:1
AIRPORT:ABE->NAVAID:STW:VOR/DME,ABE:HPN:TEC:2
AIRPORT:ABQ->FIX:DIESL,ABQ:IAH:H:1
AIRPORT:ABQ->FIX:DIESL,ABQ:IAH:H:2
AIRPORT:ABQ->NAVAID:CME:VORTAC,ABQ:AUS:H:1
AIRPORT:ABQ->NAVAID:CME:VORTAC,ABQ:HOU:H:1
AIRPORT:ABQ->NAVAID:FTI:VORTAC,ABQ:ORD:H:2
AIRPORT:ACK->FIX:FREDO,ACK:AUG:TEC:1
AIRPORT:ACK->FIX:FREDO,ACK:BGR:TEC:1
AIRPORT:ACK->FIX:FREDO,ACK:BHB:TEC:1
AIRPORT:ACK->FIX:FREDO,ACK:CON:TEC:1
AIRPORT:ACK->FIX:FREDO,ACK:MHT:TEC:1
AIRPORT:ACK->FIX:FREDO,ACK:PSM:TEC:1
AIRPORT:ACK->FIX:FREDO,ACK:PWM:TEC:1
AIRPORT:ACK->NAVAID:ACK:VOR/DME,ACK:ACY:TEC:1
AIRPORT:ACK->NAVAID:ACK:VOR/DME,ACK:ACY:TEC:2
AIRPORT:ACK->NAVAID:ACK:VOR/DME,ACK:ALB:TEC:1
AIRPORT:ACK->NAVAID:ACK:VOR/DME,ACK:BDL:TEC:1
AIRPORT:ACK->NAVAID:ACK:VOR/DME,ACK:BDR:TEC:1
AIRPORT:ACK->NAVAID:ACK:VOR/DME,ACK:BDR:TEC:2
AIRPORT:ACK->NAVAID:ACK:VOR/DME,ACK:BED:TEC:1
AIRPORT:ACK->NAVAID:ACK:VOR/DME,ACK:BOS:TEC:1
AIRPORT:ACK->NAVAID:ACK:VOR/DME,ACK:BTV:TEC:1
AIRPORT:ACK->NAVAID:ACK:VOR/DME,ACK:BUF:TEC:1
AIRPORT:ACK->NAVAID:ACK:VOR/DME,ACK:BWI:TEC:1
AIRPORT:ACK->NAVAID:ACK:VOR/DME,ACK:BWI:TEC:2
AIRPORT:ACK->NAVAID:ACK:VOR/DME,ACK:DOV:TEC:1
AIRPORT:ACK->NAVAID:ACK:VOR/DME,ACK:DOV:TEC:2
AIRPORT:ACK->NAVAID:ACK:VOR/DME,ACK:DXR:TEC:2
AIRPORT:ACK->NAVAID:ACK:VOR/DME,ACK:DXR:TEC:3
AIRPORT:ACK->NAVAID:ACK:VOR/DME,ACK:EEN:TEC:1
AIRPORT:ACK->NAVAID:ACK:VOR/DME,ACK:ELM:TEC:1
AIRPORT:ACK->NAVAID:ACK:VOR/DME,ACK:ERI:L:2
AIRPORT:ACK->NAVAID:ACK:VOR/DME,ACK:ERI:TEC:1
AIRPORT:ACK->NAVAID:ACK:VOR/DME,ACK:EWR:TEC:1
AIRPORT:ACK->NAVAID:ACK:VOR/DME,ACK:EWR:TEC:2
AIRPORT:ACK->NAVAID:ACK:VOR/DME,ACK:FOK:TEC:1
AIRPORT:ACK->NAVAID:ACK:VOR/DME,ACK:FOK:TEC:2
AIRPORT:ACK->NAVAID:ACK:VOR/DME,ACK:FRG:TEC:1
AIRPORT:ACK->NAVAID:ACK:VOR/DME,ACK:FRG:TEC:2
AIRPORT:ACK->NAVAID:ACK:VOR/DME,ACK:GON:TEC:1
AIRPORT:ACK->NAVAID:ACK:VOR/DME,ACK:HFD:TEC:2
AIRPORT:ACK->NAVAID:ACK:VOR/DME,ACK:HPN:TEC:1
AIRPORT:ACK->NAVAID:ACK:VOR/DME,ACK:ISP:TEC:1
AIRPORT:ACK->NAVAID:ACK:VOR/DME,ACK:ISP:TEC:2
AIRPORT:ACK->NAVAID:ACK:VOR/DME,ACK:JFK:TEC:1
AIRPORT:ACK->NAVAID:ACK:VOR/DME,ACK:JFK:TEC:2
AIRPORT:ACK->NAVAID:ACK:VOR/DME,ACK:LEB:TEC:1
AIRPORT:ACK->NAVAID:ACK:VOR/DME,ACK:LGA:TEC:1
AIRPORT:ACK->NAVAID:ACK:VOR/DME,ACK:ORH:TEC:2
AIRPORT:ACK->NAVAID:ACK:VOR/DME,ACK:OWD:TEC:1
AIRPORT:ACK->NAVAID:ACK:VOR/DME,ACK:PHL:TEC:1
AIRPORT:ACK->NAVAID:ACK:VOR/DME,ACK:PHL:TEC:2
AIRPORT:ACK->NAVAID:ACK:VOR/DME,ACK:PNE:TEC:1
AIRPORT:ACK->NAVAID:ACK:VOR/DME,ACK:PNE:TEC:2
AIRPORT:ACK->NAVAID:ACK:VOR/DME,ACK:PVD:TEC:1
AIRPORT:ACK->NAVAID:ACK:VOR/DME,ACK:RIC:TEC:1
AIRPORT:ACK->NAVAID:ACK:VOR/DME,ACK:RIC:TEC:2
AIRPORT:ACK->NAVAID:ACK:VOR/DME,ACK:SWF:TEC:1
AIRPORT:ACK->NAVAID:ACK:VOR/DME,ACK:SYR:TEC:1
AIRPORT:ACK->NAVAID:ACK:VOR/DME,ACK:TTN:TEC:1
AIRPORT:ACK->NAVAID:ACK:VOR/DME,ACK:TTN:TEC:2
AIRPORT:ACK->NAVAID:ACK:VOR/DME,ACK:WRI:TEC:1
AIRPORT:ACK->NAVAID:ACK:VOR/DME,ACK:WRI:TEC:2
AIRPORT:ACK->NAVAID:LFV:VOR/DME,ACK:AUS:H:1
AIRPORT:ACK->NAVAID:LFV:VOR/DME,ACK:BWI:H:3
AIRPORT:ACK->NAVAID:LFV:VOR/DME,ACK:DCA:H:1
AIRPORT:ACK->NAVAID:LFV:VOR/DME,ACK:IAD:H:1
AIRPORT:ACK->NAVAID:LFV:VOR/DME,ACK:MDW:H:1
AIRPORT:ACK->NAVAID:LFV:VOR/DME,ACK:ORD:H:1
