edgeKey,fromNodeKey,toNodeKey,fromType,toType,directionType,sourceRouteCount,sourceRouteKeys
AIRPORT:ABE->FIX:BUSKY,AIRPORT:ABE,FIX:BUSKY,Airport,Fix,original,2,ABE:PHL:TEC:2|ABE:PHL:TEC:3
AIRPORT:ABE->NAVAID:ETX:VOR/DME,AIRPORT:ABE,NAVAID:ETX:VOR/DME,Airport,Navaid,original,9,ABE:BWI:TEC:3|ABE:DCA:TEC:1|ABE:FRG:TEC:1|ABE:IAD:TEC:1|ABE:ILG:TEC:1|ABE:LNS:TEC:1|ABE:MDT:TEC:1|ABE:PHL:TEC:1|ABE:RDG:TEC:1
AIRPORT:ABE->NAVAID:FJC:VORTAC,AIRPORT:ABE,NAVAID:FJC:VORTAC,Airport,Navaid,original,10,ABE:ACY:TEC:1|ABE:ALB:TEC:1|ABE:AVP:TEC:2|ABE:BDL:TEC:1|ABE:EWR:TEC:3|ABE:HFD:TEC:1|ABE:HPN:TEC:1|ABE:PIT:TEC:1|ABE:PNE:TEC:1|ABE:TEB:TEC:1
AIRPORT:ABE->NAVAID:STW:VOR/DME,AIRPORT:ABE,NAVAID:STW:VOR/DME,Airport,Navaid,original,1,ABE:HPN:TEC:2
AIRPORT:ABQ->FIX:DIESL,AIRPORT:ABQ,FIX:DIESL,Airport,Fix,original,2,ABQ:IAH:H:1|ABQ:IAH:H:2
AIRPORT:ABQ->NAVAID:CME:VORTAC,AIRPORT:ABQ,NAVAID:CME:VORTAC,Airport,Navaid,original,2,ABQ:AUS:H:1|ABQ:HOU:H:1
AIRPORT:ABQ->NAVAID:FTI:VORTAC,AIRPORT:ABQ,NAVAID:FTI:VORTAC,Airport,Navaid,original,1,ABQ:ORD:H:2
AIRPORT:ACK->FIX:FREDO,AIRPORT:ACK,FIX:FREDO,Airport,Fix,original,7,ACK:AUG:TEC:1|ACK:BGR:TEC:1|ACK:BHB:TEC:1|ACK:CON:TEC:1|ACK:MHT:TEC:1|ACK:PSM:TEC:1|ACK:PWM:TEC:1
AIRPORT:ACK->NAVAID:ACK:VOR/DME,AIRPORT:ACK,NAVAID:ACK:VOR/DME,Airport,Navaid,original,50,ACK:ACY:TEC:1|ACK:ACY:TEC:2|ACK:ALB:TEC:1|ACK:BDL:TEC:1|ACK:BDR:TEC:1|ACK:BDR:TEC:2|ACK:BED:TEC:1|ACK:BOS:TEC:1|ACK:BTV:TEC:1|ACK:BUF:TEC:1|ACK:BWI:TEC:1|ACK:BWI:TEC:2|ACK:DOV:TEC:1|ACK:DOV:TEC:2|ACK:DXR:TEC:2|ACK:DXR:TEC:3|ACK:EEN:TEC:1|ACK:ELM:TEC:1|ACK:ERI:L:2|ACK:ERI:TEC:1|ACK:EWR:TEC:1|ACK:EWR:TEC:2|ACK:FOK:TEC:1|ACK:FOK:TEC:2|ACK:FRG:TEC:1|ACK:FRG:TEC:2|ACK:GON:TEC:1|ACK:HFD:TEC:2|ACK:HPN:TEC:1|ACK:ISP:TEC:1|ACK:ISP:TEC:2|ACK:JFK:TEC:1|ACK:JFK:TEC:2|ACK:LEB:TEC:1|ACK:LGA:TEC:1|ACK:ORH:TEC:2|ACK:OWD:TEC:1|ACK:PHL:TEC:1|ACK:PHL:TEC:2|ACK:PNE:TEC:1|ACK:PNE:TEC:2|ACK:PVD:TEC:1|ACK:RIC:TEC:1|ACK:RIC:TEC:2|ACK:SWF:TEC:1|ACK:SYR:TEC:1|ACK:TTN:TEC:1|ACK:TTN:TEC:2|ACK:WRI:TEC:1|ACK:WRI:TEC:2
AIRPORT:ACK->NAVAID:LFV:VOR/DME,AIRPORT:ACK,NAVAID:LFV:VOR/DME,Airport,Navaid,original,6,ACK:AUS:H:1|ACK:BWI:H:3|ACK:DCA:H:1|ACK:IAD:H:1|ACK:MDW:H:1|ACK:ORD:H:1
AIRPORT:ACK->NAVAID:MVY:VOR/DME,AIRPORT:ACK,NAVAID:MVY:VOR/DME,Airport,Navaid,original,14,ACK:DCA:H:2|ACK:DXR:TEC:4|ACK:EWR:L:3|ACK:FRG:H:3|ACK:HPN:H:3|ACK:HPN:TEC:2|ACK:JFK:H:3|ACK:LGA:L:2|ACK:MMU:H:1|ACK:PBI:H:1|ACK:PBI:H:2|ACK:PHL:H:3|ACK:PHL:H:4|ACK:TEB:H:1
AIRPORT:ACY->FIX:BRIEF,AIRPORT:ACY,FIX:BRIEF,Airport,Fix,original,2,ACY:CXY:TEC:1|ACY:MDT:TEC:1
AIRPORT:ACY->FIX:BRIGS,AIRPORT:ACY,FIX:BRIGS,Airport,Fix,original,1,ACY:ISP:TEC:2
AIRPORT:ACY->FIX:CRESI,AIRPORT:ACY,FIX:CRESI,Airport,Fix,original,25,ACY:ABE:TEC:2|ACY:ACK:TEC:1|ACY:BDL:TEC:1|ACY:BGR:TEC:1|ACY:BHB:TEC:1|ACY:BOS:TEC:1|ACY:BOS:TEC:2|ACY:BOS:TEC:3|ACY:EWB:TEC:1|ACY:GON:TEC:1|ACY:HFD:TEC:1|ACY:HPN:TEC:1|ACY:HYA:TEC:1|ACY:ISP:TEC:1|ACY:JFK:TEC:1|ACY:LGA:TEC:1|ACY:MHT:TEC:1|ACY:MMK:TEC:1|ACY:MVY:TEC:1|ACY:OQU:TEC:1|ACY:ORH:TEC:1|ACY:PVC:TEC:1|ACY:PVD:TEC:1|ACY:PWM:TEC:1|ACY:TAN:TEC:1
