nodeKey,FIX_ID,ICAO_REGION_CODE,STATE_CODE,COUNTRY_CODE,LAT_DECIMAL,LONG_DECIMAL,FIX_USE_CODE,ARTCC_ID_HIGH,ARTCC_ID_LOW,COMPULSORY,CHARTS
FIX:AARNN,AARNN,K7,NC,US,36.378775,-78.01779166,WP,ZDC,ZDC,,"CONTROLLER HIGH,CONTROLLER LOW,ENROUTE HIGH"
FIX:ACCHE,ACCHE,K7,FL,US,29.57861666,-81.474775,WP,ZJX,ZJX,,"CONTROLLER LOW,ENROUTE LOW,SID"
FIX:ACCRA,ACCRA,K5,IL,US,41.93333333,-88.01944444,WP,ZAU,ZAU,,"CONTROLLER,ENROUTE HIGH,ENROUTE LOW,SID"
FIX:ACINS,ACINS,K2,CA,US,33.93387777,-117.16211944,RP,ZLA,ZLA,,"CONTROLLER LOW,ENROUTE LOW,IAP"
FIX:ACITO,ACITO,K5,IL,US,41.39861111,-88.18333333,WP,ZAU,ZAU,,"CONTROLLER HIGH,CONTROLLER LOW,ENROUTE HIGH,ENROUTE LOW,SID"
FIX:ACORI,ACORI,K7,AL,US,31.77315555,-85.85819722,WP,ZTL,ZTL,,"CONTROLLER HIGH,CONTROLLER LOW,ENROUTE HIGH,ENROUTE LOW,STAR"
FIX:ACOVE,ACOVE,K6,NY,US,42.23478333,-74.03183055,RP,ZBW,ZBW,,"CONTROLLER HIGH,CONTROLLER LOW,ENROUTE HIGH,ENROUTE LOW,SID,STAR"
FIX:ADAMM,ADAMM,K2,CA,US,34.01704722,-117.81681666,RP,ZLA,ZLA,,"AREA,CONTROLLER LOW,ENROUTE LOW,IAP,SID"
FIX:ADELL,ADELL,K5,IL,US,41.24972222,-88.25,WP,ZAU,ZAU,,"CONTROLLER HIGH,CONTROLLER LOW,ENROUTE HIGH,ENROUTE LOW,SID"
FIX:ADEPT,ADEPT,K7,SC,US,34.70694444,-80.15583333,WP,ZJX,ZJX,,"CONTROLLER,ENROUTE HIGH,ENROUTE LOW"
FIX:ADIME,ADIME,K5,MI,US,41.95635,-86.21430833,WP,ZAU,ZAU,,"CONTROLLER HIGH,CONTROLLER LOW,ENROUTE HIGH,ENROUTE LOW"
FIX:AEROS,AEROS,K5,OH,US,40.49241944,-81.72449444,RP,ZOB,ZOB,,"CONTROLLER,ENROUTE HIGH,ENROUTE LOW"
FIX:AEVON,AEVON,K6,NY,US,42.91317222,-77.863925,WP,ZOB,ZOB,,CONTROLLER
FIX:AGARD,AGARD,K6,MD,US,39.04358055,-76.06976111,RP,ZDC,ZDC,,"CONTROLLER HIGH,CONTROLLER LOW,ENROUTE HIGH,ENROUTE LOW,IAP,SID"
FIX:AGENT,AGENT,K3,MO,US,39.6108,-94.90571111,RP,ZKC,ZKC,,ENROUTE HIGH
FIX:AHMED,AHMED,K5,IL,US,41.49769722,-88.86446666,RP,ZAU,ZAU,,"CONTROLLER LOW,ENROUTE LOW,IAP,SID"
FIX:AHOEY,AHOEY,K7,NC,US,35.01007777,-80.09886944,WP,ZTL,ZTL,,"CONTROLLER HIGH,CONTROLLER LOW,ENROUTE HIGH"
FIX:AHTIY,AHTIY,K6,PA,US,39.91440277,-80.38478611,RP,ZOB,ZOB,,"CONTROLLER HIGH,CONTROLLER LOW,ENROUTE HIGH,ENROUTE LOW,IAP,SID"
FIX:AIRBT,AIRBT,K7,FL,US,26.78100555,-80.70606944,WP,ZMA,ZMA,,"CONTROLLER LOW,ENROUTE LOW,IAP,SECTIONAL,STAR"
FIX:AIROW,AIROW,K6,VA,US,37.24685833,-79.22985555,WP,ZDC,ZDC,,"CONTROLLER HIGH,CONTROLLER LOW,ENROUTE HIGH,ENROUTE LOW,STAR"
FIX:AIRRA,AIRRA,K6,PA,US,41.10457777,-80.06353611,WP,ZOB,ZOB,,"CONTROLLER,ENROUTE HIGH"
FIX:AKBOY,AKBOY,PA,AK,US,60.288325,-145.28846944,WP,ZAN,ZAN,,"ENROUTE HIGH,ENROUTE LOW"
FIX:AKHAT,AKHAT,PA,AK,US,57.02495833,-136.136625,WP,ZAN,ZAN,,"ENROUTE HIGH,ENROUTE LOW"
FIX:AKKID,AKKID,PA,AK,US,58.94069444,-140.32268333,WP,ZAN,ZAN,,"ENROUTE HIGH,ENROUTE LOW"
FIX:AKSEA,AKSEA,PA,AK,US,54.5277,-131.61166111,WP,ZAN,ZAN,,"ENROUTE HIGH,ENROUTE LOW"
FIX:ALBAS,ALBAS,K2,CA,US,33.59963333,-118.07782222,RP,ZLA,ZLA,,"CONTROLLER LOW,ENROUTE LOW,IAP,MILITARY IAP,SPECIAL DP,SPECIAL IAP,STAR"
FIX:ALDER,ALDER,K1,WA,US,46.82156111,-122.41421944,RP,ZSE,ZSE,,"CONTROLLER HIGH,CONTROLLER LOW,ENROUTE HIGH,ENROUTE LOW,IAP,MILITARY IAP,MILITARY SID,MILITARY STAR,SID,STAR"
FIX:ALEAN,ALEAN,K6,VA,US,36.73185277,-81.62393888,WP,ZTL,ZTL,,"CONTROLLER HIGH,CONTROLLER LOW,ENROUTE HIGH"
FIX:ALISS,ALISS,K4,TX,US,30.11296388,-99.12211666,WP,ZHU,ZHU,,"CONTROLLER LOW,ENROUTE LOW,SID"
FIX:ALIXX,ALIXX,K6,CT,US,41.18134722,-73.393025,RP,,ZBW,,"CONTROLLER LOW,ENROUTE LOW,IAP,STAR"
FIX:ALLMA,ALLMA,K7,GA,US,31.53642777,-82.50796388,WP,ZJX,ZJX,,"CONTROLLER HIGH,CONTROLLER LOW,ENROUTE HIGH,ENROUTE LOW,SID,STAR"
FIX:ALPHE,ALPHE,K5,MI,US,42.4359,-84.50991666,RP,,ZOB,,"ENROUTE HIGH,SID"
FIX:ALTAM,ALTAM,K2,CA,US,37.81217222,-121.74709444,RP,ZOA,ZOA,,"AREA,CONTROLLER,ENROUTE LOW,IAP,SID"
FIX:ALVID,ALVID,CY,,CA,43.90472222,-76.60111111,WP,ZYZ,ZYZ,,ENROUTE HIGH
FIX:ALWYS,ALWYS,K2,CA,US,37.63341944,-120.95943055,WP,ZOA,ZOA,,STAR
