nodeKey,NAV_ID,NAV_TYPE,NAV_STATUS,NAME,CITY,STATE_CODE,COUNTRY_CODE,REGION_CODE,LAT_DECIMAL,LONG_DECIMAL,FREQ,OPER_HOURS,NAS_USE_FLAG,PUBLIC_USE_FLAG
NAVAID:ABI:VORTAC,ABI,VORTAC,OPERATIONAL RESTRICTED,ABILENE,ABILENE,TX,US,ASW,32.48133058,-99.86345369,113.7,24,Y,Y
NAVAID:ABQ:VORTAC,ABQ,VORTAC,OPERATIONAL RESTRICTED,ALBUQUERQUE,ALBUQUERQUE,NM,US,ASW,35.04379558,-106.81631191,113.2,24,Y,Y
NAVAID:ABR:VOR/DME,ABR,VOR/DME,OPERATIONAL RESTRICTED,ABERDEEN,ABERDEEN,SD,US,AGL,45.41735666,-98.36871961,113,24,Y,Y
NAVAID:ACH:VORTAC,ACH,VORTAC,OPERATIONAL IFR,ANTON CHICO,ANTON CHICO,NM,US,ASW,35.11170611,-105.03992888,117.8,24,Y,Y
NAVAID:ACK:VOR/DME,ACK,VOR/DME,OPERATIONAL RESTRICTED,NANTUCKET,NANTUCKET,MA,US,ANE,41.28187505,-70.02670386,116.2,24,Y,Y
NAVAID:ACY:VORTAC,ACY,VORTAC,OPERATIONAL RESTRICTED,ATLANTIC CITY,ATLANTIC CITY,NJ,US,AEA,39.4558748,-74.57631472,117.15,24,Y,Y
NAVAID:ADM:VORTAC,ADM,VORTAC,OPERATIONAL RESTRICTED,ARDMORE,ARDMORE,OK,US,ASW,34.21158619,-97.16822802,116.7,24,Y,Y
NAVAID:AEX:VORTAC,AEX,VORTAC,OPERATIONAL RESTRICTED,ALEXANDRIA,ALEXANDRIA,LA,US,ASW,31.25673163,-92.50097241,116.1,24,Y,Y
NAVAID:AGC:VOR/DME,AGC,VOR/DME,OPERATIONAL RESTRICTED,ALLEGHENY,PITTSBURGH,PA,US,AEA,40.27864386,-80.04085469,110,24,Y,Y
NAVAID:AIR:VOR/DME,AIR,VOR/DME,OPERATIONAL IFR,BELLAIRE,BELLAIRE,OH,US,AGL,40.01702408,-80.81722894,117.1,24,Y,Y
NAVAID:ALB:VORTAC,ALB,VORTAC,OPERATIONAL RESTRICTED,ALBANY,ALBANY,NY,US,AEA,42.74728047,-73.80318397,115.3,24,Y,Y
NAVAID:ALD:VOR,ALD,VOR,OPERATIONAL RESTRICTED,ALLENDALE,ALLENDALE,SC,US,ASO,33.01249422,-81.29223222,116.7,24,Y,Y
NAVAID:ALO:VOR/DME,ALO,VOR/DME,OPERATIONAL RESTRICTED,WATERLOO,WATERLOO,IA,US,ACE,42.55649655,-92.39892391,112.2,24,Y,Y
NAVAID:ALS:VORTAC,ALS,VORTAC,OPERATIONAL RESTRICTED,ALAMOSA,ALAMOSA,CO,US,ANM,37.34915894,-105.81553269,113.9,24,Y,Y
NAVAID:AML:VOR/DME,AML,VOR/DME,OPERATIONAL RESTRICTED,ARMEL,HERNDON,VA,US,AEA,38.93459247,-77.46670175,113.5,24,Y,Y
NAVAID:APE:VORTAC,APE,VORTAC,OPERATIONAL RESTRICTED,APPLETON,APPLETON,OH,US,AGL,40.15106272,-82.58830136,116.7,24,Y,Y
NAVAID:ARD:VOR/DME,ARD,VOR/DME,OPERATIONAL RESTRICTED,YARDLEY,YARDLEY,PA,US,AEA,40.25334247,-74.90761238,108.2,24,Y,Y
NAVAID:ARG:VORTAC,ARG,VORTAC,OPERATIONAL RESTRICTED,WALNUT RIDGE,WALNUT RIDGE,AR,US,ASW,36.11001991,-90.9536933,114.5,24,Y,Y
NAVAID:ART:VORTAC,ART,VORTAC,OPERATIONAL RESTRICTED,WATERTOWN,WATERTOWN,NY,US,AEA,43.95213166,-76.06462686,109.8,24,Y,Y
NAVAID:ATR:VOR/DME,ATR,VOR/DME,OPERATIONAL RESTRICTED,WATERLOO,WATERLOO,DE,US,AEA,38.80981022,-75.21132236,112.6,24,Y,Y
NAVAID:AUG:VOR/DME,AUG,VOR/DME,OPERATIONAL RESTRICTED,AUGUSTA,AUGUSTA,ME,US,ANE,44.32002036,-69.7965643,114.95,24,Y,Y
