routeKey,ORIGIN_ID,DSTN_ID,PFR_TYPE_CODE,ROUTE_NO,ALT_DESCRIP,AIRCRAFT,HOURS,ROUTE_DIR_DESCRIP,DESIGNATOR,ROUTE_STRING,semanticStatus,searchProjectionStatus
ABE:ACY:TEC:1,ABE,ACY,TEC,1,5000,,,,,FJC ARD CYN,valid_semantic_route,projected
ABE:ALB:TEC:1,ABE,ALB,TEC,1,7000,,,,,FJC LAAYK,valid_semantic_route,projected
ABE:AVP:TEC:2,ABE,AVP,TEC,2,7000,,,,,FJC LVZ,valid_semantic_route,projected
ABE:BDL:TEC:1,ABE,BDL,TEC,1,5000,,,,,FJC T299 HUO IGN PWL BRISS,valid_semantic_route,projected
ABE:BWI:TEC:3,ABE,BWI,TEC,3,8000,,,,,ETX V39 LRP T449 KITHE,valid_semantic_route,projected
ABE:DCA:TEC:1,ABE,DCA,TEC,1,8000,,,,,ETX V39 LRP T449 KITHE BAL,valid_semantic_route,projected
ABE:EWR:TEC:3,ABE,EWR,TEC,3,6000,,,,,FJC BWZ,valid_semantic_route,projected
ABE:FRG:TEC:1,ABE,FRG,TEC,1,5000,PROPS LESS THAN 210 KTS IAS,,,,ETX T430 SBJ,valid_semantic_route,projected
ABE:HFD:TEC:1,ABE,HFD,TEC,1,5000,,,,,FJC T299 HUO IGN PWL BRISS,valid_semantic_route,projected
ABE:HPN:TEC:1,ABE,HPN,TEC,1,5000,PROPS LESS THAN 210 KTS IAS,,,,FJC T299 HUO IGN V157 HAARP,valid_semantic_route,projected
ABE:HPN:TEC:2,ABE,HPN,TEC,2,5000,JETS AND PROPS GREATER THAN 210 KTS IAS,,,,STW SAX V39 BREZY,valid_semantic_route,projected
ABE:IAD:TEC:1,ABE,IAD,TEC,1,8000,,,,,ETX LRP V143 MULRR AML,valid_semantic_route,projected
ABE:ILG:TEC:1,ABE,ILG,TEC,1,4000,,,,,ETX T447 APEER,valid_semantic_route,projected
ABE:LNS:TEC:1,ABE,LNS,TEC,1,4000,,,,,ETX V39 LRP,valid_semantic_route,projected
ABE:MDT:TEC:1,ABE,MDT,TEC,1,8000,,,,,ETX T299 HAR,valid_semantic_route,projected
ABE:PHL:TEC:1,ABE,PHL,TEC,1,4000,PISTON ONLY,,,,ETX T447 PTW,valid_semantic_route,projected
ABE:PHL:TEC:2,ABE,PHL,TEC,2,7000,RNAV EQUIPPED TURBOJETS ONLY,,,,BUSKY PTW,valid_semantic_route,projected
ABE:PHL:TEC:3,ABE,PHL,TEC,3,5000,RNAV EQUIPPED TURBOPROPS ONLY,,,,BUSKY PTW,valid_semantic_route,projected
ABE:PIT:TEC:1,ABE,PIT,TEC,1,8000,,,,,FJC V6 SEG,valid_semantic_route,projected
ABE:PNE:TEC:1,ABE,PNE,TEC,1,5000,,,,,FJC ARD,valid_semantic_route,projected
ABE:RDG:TEC:1,ABE,RDG,TEC,1,4000,,,,,ETX,valid_semantic_route,projected
ABE:TEB:TEC:1,ABE,TEB,TEC,1,5000,,,,,FJC STW,valid_semantic_route,projected
ABQ:AUS:H:1,ABQ,AUS,H,1,,,,,,MNZNO3 CME HOB UCOKA DILLO LAIKS4,valid_semantic_route,projected
ABQ:HOU:H:1,ABQ,HOU,H,1,,JETS ONLY - RNAV 1 - DME/DME/IRU OR GPS,,,,MNZNO3 CME HOB DILLO KIDDZ5,valid_semantic_route,projected
ABQ:IAH:H:1,ABQ,IAH,H,1,,TURBOJETS & TURBOPROPS - DME/DME/IRU OR GPS,,IAH EAST FLOW,,DIESL TTORO3,valid_semantic_route,projected
ABQ:IAH:H:2,ABQ,IAH,H,2,,TURBOJETS & TURBOPROPS - DME/DME/IRU OR GPS,,IAH WEST FLOW,,DIESL MSCOT4,valid_semantic_route,projected
ABQ:ORD:H:2,ABQ,ORD,H,2,,TURBOJETS - RNAV 1,1100-0400,,,FYSTA3 FTI J18 GCK J96 IRK BENKY6,valid_semantic_route,projected
ACK:ACY:TEC:1,ACK,ACY,TEC,1,10000,SINGLE ENGINE ONLY,,,,ACK V146 MVY V374 GON CCC T224 DIXIE T315 ACY,valid_semantic_route,projected
ACK:ACY:TEC:2,ACK,ACY,TEC,2,10000,,,,,ACK T216 SEY ORCHA T320 BRIGS,valid_semantic_route,projected
ACK:ALB:TEC:1,ACK,ALB,TEC,1,10000,,,,,ACK V146 ALB,valid_semantic_route,projected
ACK:AUG:TEC:1,ACK,AUG,TEC,1,10000,,,,,FREDO BOS PEASE ENE,valid_semantic_route,projected
