routeKey,ORIGIN_ID,DSTN_ID,PFR_TYPE_CODE,ROUTE_NO,ALT_DESCRIP,AIRCRAFT,HOURS,ROUTE_DIR_DESCRIP,DESIGNATOR,ROUTE_STRING
ABE:ACY:TEC:1,ABE,ACY,TEC,1,5000,,,,,FJC ARD CYN
ABE:ALB:TEC:1,ABE,ALB,TEC,1,7000,,,,,FJC LAAYK
ABE:AVP:TEC:2,ABE,AVP,TEC,2,7000,,,,,FJC LVZ
ABE:BDL:TEC:1,ABE,BDL,TEC,1,5000,,,,,FJC T299 HUO IGN PWL BRISS
ABE:BWI:TEC:3,ABE,BWI,TEC,3,8000,,,,,ETX V39 LRP T449 KITHE
ABE:DCA:TEC:1,ABE,DCA,TEC,1,8000,,,,,ETX V39 LRP T449 KITHE BAL
ABE:EWR:TEC:3,ABE,EWR,TEC,3,6000,,,,,FJC BWZ
ABE:FRG:TEC:1,ABE,FRG,TEC,1,5000,PROPS LESS THAN 210 KTS IAS,,,,ETX T430 SBJ
ABE:HFD:TEC:1,ABE,HFD,TEC,1,5000,,,,,FJC T299 HUO IGN PWL BRISS
ABE:HPN:TEC:1,ABE,HPN,TEC,1,5000,PROPS LESS THAN 210 KTS IAS,,,,FJC T299 HUO IGN V157 HAARP
ABE:HPN:TEC:2,ABE,HPN,TEC,2,5000,JETS AND PROPS GREATER THAN 210 KTS IAS,,,,STW SAX V39 BREZY
ABE:IAD:TEC:1,ABE,IAD,TEC,1,8000,,,,,ETX LRP V143 MULRR AML
ABE:ILG:TEC:1,ABE,ILG,TEC,1,4000,,,,,ETX T447 APEER
ABE:LNS:TEC:1,ABE,LNS,TEC,1,4000,,,,,ETX V39 LRP
ABE:MDT:TEC:1,ABE,MDT,TEC,1,8000,,,,,ETX T299 HAR
ABE:PHL:TEC:1,ABE,PHL,TEC,1,4000,PISTON ONLY,,,,ETX T447 PTW
ABE:PHL:TEC:2,ABE,PHL,TEC,2,7000,RNAV EQUIPPED TURBOJETS ONLY,,,,BUSKY PTW
ABE:PHL:TEC:3,ABE,PHL,TEC,3,5000,RNAV EQUIPPED TURBOPROPS ONLY,,,,BUSKY PTW
ABE:PIT:TEC:1,ABE,PIT,TEC,1,8000,,,,,FJC V6 SEG
ABE:PNE:TEC:1,ABE,PNE,TEC,1,5000,,,,,FJC ARD
ABE:RDG:TEC:1,ABE,RDG,TEC,1,4000,,,,,ETX
ABE:TEB:TEC:1,ABE,TEB,TEC,1,5000,,,,,FJC STW
ABQ:AUS:H:1,ABQ,AUS,H,1,,,,,,MNZNO3 CME HOB UCOKA DILLO LAIKS4
ABQ:HOU:H:1,ABQ,HOU,H,1,,JETS ONLY - RNAV 1 - DME/DME/IRU OR GPS,,,,MNZNO3 CME HOB DILLO KIDDZ5
ABQ:IAH:H:1,ABQ,IAH,H,1,,TURBOJETS & TURBOPROPS - DME/DME/IRU OR GPS,,IAH EAST FLOW,,DIESL TTORO3
ABQ:IAH:H:2,ABQ,IAH,H,2,,TURBOJETS & TURBOPROPS - DME/DME/IRU OR GPS,,IAH WEST FLOW,,DIESL MSCOT4
ABQ:ORD:H:2,ABQ,ORD,H,2,,TURBOJETS - RNAV 1,1100-0400,,,FYSTA3 FTI J18 GCK J96 IRK BENKY6
ACK:ACY:TEC:1,ACK,ACY,TEC,1,10000,SINGLE ENGINE ONLY,,,,ACK V146 MVY V374 GON CCC T224 DIXIE T315 ACY
ACK:ACY:TEC:2,ACK,ACY,TEC,2,10000,,,,,ACK T216 SEY ORCHA T320 BRIGS
ACK:ALB:TEC:1,ACK,ALB,TEC,1,10000,,,,,ACK V146 ALB
ACK:AUG:TEC:1,ACK,AUG,TEC,1,10000,,,,,FREDO BOS PEASE ENE
ACK:AUS:H:1,ACK,AUS,H,1,,"JETS TURBOPROPS, RNAV 1 - DME/DME/IRU OR GPS",,,,LFV CELTS BAF Q406 BWZ J6 HVQ Q68 LITTR TXK BROBB WINDU SEWZY6
ACK:BDL:TEC:1,ACK,BDL,TEC,1,10000,,,,,ACK V146 PVD
ACK:BDR:TEC:1,ACK,BDR,TEC,1,10000,,,,,ACK MVY SEY ORCHA KEYED
ACK:BDR:TEC:2,ACK,BDR,TEC,2,10000,,,LAND,,ACK V146 MVY V374 CREAM T634 DENNA
ACK:BED:TEC:1,ACK,BED,TEC,1,10000,,,,,ACK FREDO
ACK:BGR:TEC:1,ACK,BGR,TEC,1,10000,,,,,FREDO BOS PEASE ENE T295 BGR
ACK:BHB:TEC:1,ACK,BHB,TEC,1,10000,,,,,FREDO BOS PEASE ENE
ACK:BOS:TEC:1,ACK,BOS,TEC,1,10000,,,,,ACK FREDO
ACK:BTV:TEC:1,ACK,BTV,TEC,1,10000,,,,,ACK V146 PVD T393 GDM T315 BTV
ACK:BUF:TEC:1,ACK,BUF,TEC,1,10000,,,,,ACK V146 ALB T608 WOZEE
ACK:BWI:H:3,ACK,BWI,H,3,,,1100-0300,,,LFV CELTS NELIE Q75 MXE V378 NUGGY TRISH4
ACK:BWI:TEC:1,ACK,BWI,TEC,1,8000,,,,,ACK T216 SEY ORCHA T320 AVALO T358 SWANN
ACK:BWI:TEC:2,ACK,BWI,TEC,2,8000,SINGLE ENGINE ONLY,,,,ACK V146 MVY V374 GON CCC T224 ENO T358 SWANN
ACK:CON:TEC:1,ACK,CON,TEC,1,10000,,,,,FREDO BOS MANCH
ACK:DCA:H:1,ACK,DCA,H,1,,,1100-0300,,,LFV CELTS NELIE Q75 MXE CLIPR3
ACK:DCA:H:2,ACK,DCA,H,2,,TURBOJETS ONLY,,,,MVY JAWZZ Q220 RIFLE Q167 ZIZZI KNUKK ATR LAFLN DEALE3
ACK:DOV:TEC:1,ACK,DOV,TEC,1,10000,,,,,ACK T216 SEY ORCHA T320 AVALO T358 ENO
