templatePathKey,templateKey,templateType,routeString,sourceCycle,sourceTable,sourceRowId
TEMPLATE_PATH:TEMPLATE:PFR:ABE:ACY:TEC:1:MAIN,TEMPLATE:PFR:ABE:ACY:TEC:1,PFR,FJC ARD CYN,2026-05-14,PFR_BASE/PFR_SEG,2
TEMPLATE_PATH:TEMPLATE:PFR:ABE:ALB:TEC:1:MAIN,TEMPLATE:PFR:ABE:ALB:TEC:1,PFR,FJC LAAYK,2026-05-14,PFR_BASE/PFR_SEG,3
TEMPLATE_PATH:TEMPLATE:PFR:ABE:AVP:TEC:2:MAIN,TEMPLATE:PFR:ABE:AVP:TEC:2,PFR,FJC LVZ,2026-05-14,PFR_BASE/PFR_SEG,4
TEMPLATE_PATH:TEMPLATE:PFR:ABE:BDL:TEC:1:MAIN,TEMPLATE:PFR:ABE:BDL:TEC:1,PFR,FJC T299 HUO IGN PWL BRISS,2026-05-14,PFR_BASE/PFR_SEG,5
TEMPLATE_PATH:TEMPLATE:PFR:ABE:BWI:TEC:3:MAIN,TEMPLATE:PFR:ABE:BWI:TEC:3,PFR,ETX V39 LRP T449 KITHE,2026-05-14,PFR_BASE/PFR_SEG,6
TEMPLATE_PATH:TEMPLATE:PFR:ABE:DCA:TEC:1:MAIN,TEMPLATE:PFR:ABE:DCA:TEC:1,PFR,ETX V39 LRP T449 KITHE BAL,2026-05-14,PFR_BASE/PFR_SEG,7
TEMPLATE_PATH:TEMPLATE:PFR:ABE:EWR:TEC:3:MAIN,TEMPLATE:PFR:ABE:EWR:TEC:3,PFR,FJC BWZ,2026-05-14,PFR_BASE/PFR_SEG,8
TEMPLATE_PATH:TEMPLATE:PFR:ABE:FRG:TEC:1:MAIN,TEMPLATE:PFR:ABE:FRG:TEC:1,PFR,ETX T430 SBJ,2026-05-14,PFR_BASE/PFR_SEG,9
TEMPLATE_PATH:TEMPLATE:PFR:ABE:HFD:TEC:1:MAIN,TEMPLATE:PFR:ABE:HFD:TEC:1,PFR,FJC T299 HUO IGN PWL BRISS,2026-05-14,PFR_BASE/PFR_SEG,10
TEMPLATE_PATH:TEMPLATE:PFR:ABE:HPN:TEC:1:MAIN,TEMPLATE:PFR:ABE:HPN:TEC:1,PFR,FJC T299 HUO IGN V157 HAARP,2026-05-14,PFR_BASE/PFR_SEG,11
TEMPLATE_PATH:TEMPLATE:PFR:ABE:HPN:TEC:2:MAIN,TEMPLATE:PFR:ABE:HPN:TEC:2,PFR,STW SAX V39 BREZY,2026-05-14,PFR_BASE/PFR_SEG,12
TEMPLATE_PATH:TEMPLATE:PFR:ABE:IAD:TEC:1:MAIN,TEMPLATE:PFR:ABE:IAD:TEC:1,PFR,ETX LRP V143 MULRR AML,2026-05-14,PFR_BASE/PFR_SEG,13
TEMPLATE_PATH:TEMPLATE:PFR:ABE:ILG:TEC:1:MAIN,TEMPLATE:PFR:ABE:ILG:TEC:1,PFR,ETX T447 APEER,2026-05-14,PFR_BASE/PFR_SEG,14
TEMPLATE_PATH:TEMPLATE:PFR:ABE:LNS:TEC:1:MAIN,TEMPLATE:PFR:ABE:LNS:TEC:1,PFR,ETX V39 LRP,2026-05-14,PFR_BASE/PFR_SEG,15
TEMPLATE_PATH:TEMPLATE:PFR:ABE:MDT:TEC:1:MAIN,TEMPLATE:PFR:ABE:MDT:TEC:1,PFR,ETX T299 HAR,2026-05-14,PFR_BASE/PFR_SEG,16
TEMPLATE_PATH:TEMPLATE:PFR:ABE:PHL:TEC:1:MAIN,TEMPLATE:PFR:ABE:PHL:TEC:1,PFR,ETX T447 PTW,2026-05-14,PFR_BASE/PFR_SEG,17
TEMPLATE_PATH:TEMPLATE:PFR:ABE:PHL:TEC:2:MAIN,TEMPLATE:PFR:ABE:PHL:TEC:2,PFR,BUSKY PTW,2026-05-14,PFR_BASE/PFR_SEG,18
TEMPLATE_PATH:TEMPLATE:PFR:ABE:PHL:TEC:3:MAIN,TEMPLATE:PFR:ABE:PHL:TEC:3,PFR,BUSKY PTW,2026-05-14,PFR_BASE/PFR_SEG,19
TEMPLATE_PATH:TEMPLATE:PFR:ABE:PIT:TEC:1:MAIN,TEMPLATE:PFR:ABE:PIT:TEC:1,PFR,FJC V6 SEG,2026-05-14,PFR_BASE/PFR_SEG,20
TEMPLATE_PATH:TEMPLATE:PFR:ABE:PNE:TEC:1:MAIN,TEMPLATE:PFR:ABE:PNE:TEC:1,PFR,FJC ARD,2026-05-14,PFR_BASE/PFR_SEG,21
TEMPLATE_PATH:TEMPLATE:PFR:ABE:RDG:TEC:1:MAIN,TEMPLATE:PFR:ABE:RDG:TEC:1,PFR,ETX,2026-05-14,PFR_BASE/PFR_SEG,22
TEMPLATE_PATH:TEMPLATE:PFR:ABE:TEB:TEC:1:MAIN,TEMPLATE:PFR:ABE:TEB:TEC:1,PFR,FJC STW,2026-05-14,PFR_BASE/PFR_SEG,23
TEMPLATE_PATH:TEMPLATE:PFR:ABQ:AUS:H:1:MAIN,TEMPLATE:PFR:ABQ:AUS:H:1,PFR,MNZNO3 CME HOB UCOKA DILLO LAIKS4,2026-05-14,PFR_BASE/PFR_SEG,24
TEMPLATE_PATH:TEMPLATE:PFR:ABQ:HOU:H:1:MAIN,TEMPLATE:PFR:ABQ:HOU:H:1,PFR,MNZNO3 CME HOB DILLO KIDDZ5,2026-05-14,PFR_BASE/PFR_SEG,25
TEMPLATE_PATH:TEMPLATE:PFR:ABQ:IAH:H:1:MAIN,TEMPLATE:PFR:ABQ:IAH:H:1,PFR,DIESL TTORO3,2026-05-14,PFR_BASE/PFR_SEG,26
TEMPLATE_PATH:TEMPLATE:PFR:ABQ:IAH:H:2:MAIN,TEMPLATE:PFR:ABQ:IAH:H:2,PFR,DIESL MSCOT4,2026-05-14,PFR_BASE/PFR_SEG,27
TEMPLATE_PATH:TEMPLATE:PFR:ABQ:ORD:H:2:MAIN,TEMPLATE:PFR:ABQ:ORD:H:2,PFR,FYSTA3 FTI J18 GCK J96 IRK BENKY6,2026-05-14,PFR_BASE/PFR_SEG,28
TEMPLATE_PATH:TEMPLATE:PFR:ACK:ACY:TEC:1:MAIN,TEMPLATE:PFR:ACK:ACY:TEC:1,PFR,ACK V146 MVY V374 GON CCC T224 DIXIE T315 ACY,2026-05-14,PFR_BASE/PFR_SEG,29
TEMPLATE_PATH:TEMPLATE:PFR:ACK:ACY:TEC:2:MAIN,TEMPLATE:PFR:ACK:ACY:TEC:2,PFR,ACK T216 SEY ORCHA T320 BRIGS,2026-05-14,PFR_BASE/PFR_SEG,30
TEMPLATE_PATH:TEMPLATE:PFR:ACK:ALB:TEC:1:MAIN,TEMPLATE:PFR:ACK:ALB:TEC:1,PFR,ACK V146 ALB,2026-05-14,PFR_BASE/PFR_SEG,31
TEMPLATE_PATH:TEMPLATE:PFR:ACK:AUG:TEC:1:MAIN,TEMPLATE:PFR:ACK:AUG:TEC:1,PFR,FREDO BOS PEASE ENE,2026-05-14,PFR_BASE/PFR_SEG,32
TEMPLATE_PATH:TEMPLATE:PFR:ACK:AUS:H:1:MAIN,TEMPLATE:PFR:ACK:AUS:H:1,PFR,LFV CELTS BAF Q406 BWZ J6 HVQ Q68 LITTR TXK BROBB WINDU SEWZY6,2026-05-14,PFR_BASE/PFR_SEG,33
TEMPLATE_PATH:TEMPLATE:PFR:ACK:BDL:TEC:1:MAIN,TEMPLATE:PFR:ACK:BDL:TEC:1,PFR,ACK V146 PVD,2026-05-14,PFR_BASE/PFR_SEG,34
TEMPLATE_PATH:TEMPLATE:PFR:ACK:BDR:TEC:1:MAIN,TEMPLATE:PFR:ACK:BDR:TEC:1,PFR,ACK MVY SEY ORCHA KEYED,2026-05-14,PFR_BASE/PFR_SEG,35
TEMPLATE_PATH:TEMPLATE:PFR:ACK:BDR:TEC:2:MAIN,TEMPLATE:PFR:ACK:BDR:TEC:2,PFR,ACK V146 MVY V374 CREAM T634 DENNA,2026-05-14,PFR_BASE/PFR_SEG,36
TEMPLATE_PATH:TEMPLATE:PFR:ACK:BED:TEC:1:MAIN,TEMPLATE:PFR:ACK:BED:TEC:1,PFR,ACK FREDO,2026-05-14,PFR_BASE/PFR_SEG,37
TEMPLATE_PATH:TEMPLATE:PFR:ACK:BGR:TEC:1:MAIN,TEMPLATE:PFR:ACK:BGR:TEC:1,PFR,FREDO BOS PEASE ENE T295 BGR,2026-05-14,PFR_BASE/PFR_SEG,38
TEMPLATE_PATH:TEMPLATE:PFR:ACK:BHB:TEC:1:MAIN,TEMPLATE:PFR:ACK:BHB:TEC:1,PFR,FREDO BOS PEASE ENE,2026-05-14,PFR_BASE/PFR_SEG,39
TEMPLATE_PATH:TEMPLATE:PFR:ACK:BOS:TEC:1:MAIN,TEMPLATE:PFR:ACK:BOS:TEC:1,PFR,ACK FREDO,2026-05-14,PFR_BASE/PFR_SEG,40
TEMPLATE_PATH:TEMPLATE:PFR:ACK:BTV:TEC:1:MAIN,TEMPLATE:PFR:ACK:BTV:TEC:1,PFR,ACK V146 PVD T393 GDM T315 BTV,2026-05-14,PFR_BASE/PFR_SEG,41
TEMPLATE_PATH:TEMPLATE:PFR:ACK:BUF:TEC:1:MAIN,TEMPLATE:PFR:ACK:BUF:TEC:1,PFR,ACK V146 ALB T608 WOZEE,2026-05-14,PFR_BASE/PFR_SEG,42
TEMPLATE_PATH:TEMPLATE:PFR:ACK:BWI:H:3:MAIN,TEMPLATE:PFR:ACK:BWI:H:3,PFR,LFV CELTS NELIE Q75 MXE V378 NUGGY TRISH4,2026-05-14,PFR_BASE/PFR_SEG,43
TEMPLATE_PATH:TEMPLATE:PFR:ACK:BWI:TEC:1:MAIN,TEMPLATE:PFR:ACK:BWI:TEC:1,PFR,ACK T216 SEY ORCHA T320 AVALO T358 SWANN,2026-05-14,PFR_BASE/PFR_SEG,44
TEMPLATE_PATH:TEMPLATE:PFR:ACK:BWI:TEC:2:MAIN,TEMPLATE:PFR:ACK:BWI:TEC:2,PFR,ACK V146 MVY V374 GON CCC T224 ENO T358 SWANN,2026-05-14,PFR_BASE/PFR_SEG,45
TEMPLATE_PATH:TEMPLATE:PFR:ACK:CON:TEC:1:MAIN,TEMPLATE:PFR:ACK:CON:TEC:1,PFR,FREDO BOS MANCH,2026-05-14,PFR_BASE/PFR_SEG,46
TEMPLATE_PATH:TEMPLATE:PFR:ACK:DCA:H:1:MAIN,TEMPLATE:PFR:ACK:DCA:H:1,PFR,LFV CELTS NELIE Q75 MXE CLIPR3,2026-05-14,PFR_BASE/PFR_SEG,47
TEMPLATE_PATH:TEMPLATE:PFR:ACK:DCA:H:2:MAIN,TEMPLATE:PFR:ACK:DCA:H:2,PFR,MVY JAWZZ Q220 RIFLE Q167 ZIZZI KNUKK ATR LAFLN DEALE3,2026-05-14,PFR_BASE/PFR_SEG,48
TEMPLATE_PATH:TEMPLATE:PFR:ACK:DOV:TEC:1:MAIN,TEMPLATE:PFR:ACK:DOV:TEC:1,PFR,ACK T216 SEY ORCHA T320 AVALO T358 ENO,2026-05-14,PFR_BASE/PFR_SEG,49
TEMPLATE_PATH:TEMPLATE:PFR:ACK:DOV:TEC:2:MAIN,TEMPLATE:PFR:ACK:DOV:TEC:2,PFR,ACK V146 MVY V374 GON CCC T224 ENO,2026-05-14,PFR_BASE/PFR_SEG,50
TEMPLATE_PATH:TEMPLATE:PFR:ACK:DXR:TEC:2:MAIN,TEMPLATE:PFR:ACK:DXR:TEC:2,PFR,ACK V146 PVD HFD T303 MAD EEGOR ALIXX RYMES,2026-05-14,PFR_BASE/PFR_SEG,51
TEMPLATE_PATH:TEMPLATE:PFR:ACK:DXR:TEC:3:MAIN,TEMPLATE:PFR:ACK:DXR:TEC:3,PFR,ACK V146 BAF IGN V157 HAARP,2026-05-14,PFR_BASE/PFR_SEG,52
