routeKey,ORIGIN_ID,DSTN_ID,PFR_TYPE_CODE,ROUTE_NO,rejectReason
AIR:MRB:HPD:1,AIR,MRB,HPD,1,origin_airport_not_found
AIR:TRIXY:HPD:1,AIR,TRIXY,HPD,1,origin_airport_not_found|destination_airport_not_found
AJO:TIJ:TEC:1,AJO,TIJ,TEC,1,destination_airport_not_found
ALB:BDL:TEC:1,ALB,BDL,TEC,1,route_segments_not_found
ALB:HFD:TEC:1,ALB,HFD,TEC,1,route_segments_not_found
ALB:PERKS:HPD:1,ALB,PERKS,HPD,1,destination_airport_not_found
ALLEX:ADW:NAR:1,ALLEX,ADW,NAR,1,origin_airport_not_found
ALLEX:ALLRY:NAR:1,ALLEX,ALLRY,NAR,1,origin_airport_not_found|destination_airport_not_found|route_segments_not_found
ALLEX:ATL:NAR:1,ALLEX,ATL,NAR,1,origin_airport_not_found
ALLEX:AUS:NAR:1,ALLEX,AUS,NAR,1,origin_airport_not_found
ALLEX:BDL:NAR:1,ALLEX,BDL,NAR,1,origin_airport_not_found
ALLEX:BED:NAR:1,ALLEX,BED,NAR,1,origin_airport_not_found
ALLEX:BNA:NAR:1,ALLEX,BNA,NAR,1,origin_airport_not_found
ALLEX:BOS:NAR:1,ALLEX,BOS,NAR,1,origin_airport_not_found
ALLEX:BUDAR:NAR:1,ALLEX,BUDAR,NAR,1,origin_airport_not_found|destination_airport_not_found|route_segments_not_found
ALLEX:BWI:NAR:1,ALLEX,BWI,NAR,1,origin_airport_not_found
ALLEX:CARAC:NAR:1,ALLEX,CARAC,NAR,1,origin_airport_not_found|destination_airport_not_found|route_segments_not_found
ALLEX:CHS:NAR:1,ALLEX,CHS,NAR,1,origin_airport_not_found
ALLEX:CLT:NAR:1,ALLEX,CLT,NAR,1,origin_airport_not_found
ALLEX:CVG:NAR:1,ALLEX,CVG,NAR,1,origin_airport_not_found
ALLEX:DFW:NAR:1,ALLEX,DFW,NAR,1,origin_airport_not_found
ALLEX:DOV:NAR:1,ALLEX,DOV,NAR,1,origin_airport_not_found
ALLEX:DTW:NAR:1,ALLEX,DTW,NAR,1,origin_airport_not_found
ALLEX:ELSIR:NAR:1,ALLEX,ELSIR,NAR,1,origin_airport_not_found|destination_airport_not_found|route_segments_not_found
ALLEX:EWR:NAR:1,ALLEX,EWR,NAR,1,origin_airport_not_found
ALLEX:FAY:NAR:1,ALLEX,FAY,NAR,1,origin_airport_not_found
ALLEX:FLL:NAR:1,ALLEX,FLL,NAR,1,origin_airport_not_found
ALLEX:FOK:NAR:1,ALLEX,FOK,NAR,1,origin_airport_not_found
ALLEX:GSP:NAR:1,ALLEX,GSP,NAR,1,origin_airport_not_found
ALLEX:HPN:NAR:1,ALLEX,HPN,NAR,1,origin_airport_not_found
ALLEX:IAD:NAR:1,ALLEX,IAD,NAR,1,origin_airport_not_found
ALLEX:IAH:NAR:1,ALLEX,IAH,NAR,1,origin_airport_not_found
ALLEX:IBERG:NAR:1,ALLEX,IBERG,NAR,1,origin_airport_not_found|destination_airport_not_found|route_segments_not_found
ALLEX:IRLOK:NAR:1,ALLEX,IRLOK,NAR,1,origin_airport_not_found|destination_airport_not_found|route_segments_not_found
